landmass	zone	area	population	language	religion	bars	stripes	colours	circles	crosses	saltires	quarters	sunstars	crescent	triangle	icon	animate	text	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
4	#	#	-286.280;288.280	#	5	#	2	#	0	0	0	#	#	#	#	0	0	#	1101010	0.239	0.867	2	22.83	903	0	0.47		8	15
#	#	#	-80.080;192.080	10	2	3	0	2	#	#	#	0	#	0	0	#	#	#	0100100	1.000	1.000	2	25.25	904	1	0.47		8	8
#	4	4546.570;14179.430	-76.440;538.440	#	1	#	13	#	#	0	0	#	50	#	0	0	#	#	1010100	1.000	1.000	1	9.12	905	2	0.53		8	8
5	1	-5198.510;6226.510	#	10	3	0	5	#	0	#	0	0	#	0	#	0	0	0	1010100	1.000	1.000	4	31.00	906	3	0.74		8	8
5	#	#	-128.040;134.040	10	6	#	#	3	#	0	0	#	0	0	0	0	#	0	1010100	1.000	1.000	3	24.62	907	4	0.63		8	8
#	4	-6497.620;7391.620	-287.440;327.440	8	2	#	0	2	#	#	0	#	#	#	0	0	0	0	1100000	0.045	0.733	3	26.59	908	5	0.63		8	15
3	#	-7994.720;8134.720	#	1	#	#	0	3	#	0	0	#	#	#	0	#	0	0	0100101	1.000	1.000	3	14.00	909	6	0.53		8	8
4	2	-3127.360;4937.360	-264.320;320.320	#	5	0	#	#	#	#	#	0	0	0	#	#	#	0	1101001	0.000	0.354	1	41.24	910	7	0.53		8	23
#	1	-4080.390;4656.390	#	8	2	0	#	#	#	#	0	0	1	0	1	0	#	0	1010110	0.035	0.714	1	37.89	656	11	0.63		8	16
3	#	#	-146.160;146.160	#	0	#	#	4	0	#	#	#	0	0	#	1	#	#	1001110	1.000	1.000	3	11.88	915	12	0.42		8	8
6	#	4665.730;10714.270	-216.840;246.840	#	#	0	#	#	#	#	1	#	#	#	#	0	#	#	1010100	1.000	1.000	1	7.62	661	16	0.32		8	8
2	3	-3307.410;5877.410	-358.960;386.960	#	0	3	0	2	#	0	0	0	#	#	#	#	#	#	1000100	1.000	1.000	4	17.00	922	19	0.58		8	8
#	4	-4457.400;4503.400	-151.200;151.200	1	1	#	2	#	1	0	#	0	0	#	#	#	1	#	1111111	1.000	1.000	1	11.62	924	21	0.58		8	8
#	#	#	127.840;420.160	5	6	#	#	#	0	0	0	0	1	0	#	#	0	#	1001000	1.000	1.000	4	13.38	925	22	0.53		8	8
3	1	-5824.520;5824.520	#	10	#	2	#	#	0	1	#	0	0	0	#	1	#	#	1000110	1.000	1.000	2	7.75	926	23	0.58		8	8
1	4	#	-154.240;158.240	2	0	#	#	3	#	#	0	#	#	#	0	#	#	#	1010100	1.000	1.000	1	24.76	794	25	0.42		15	15
4	#	#	-175.400;177.400	10	#	#	#	#	0	0	0	1	1	#	0	0	#	#	1010100	1.000	1.000	3	19.88	930	27	0.53		8	8
#	3	#	#	#	0	#	3	2	0	#	#	0	#	0	#	0	#	0	0010100	1.000	1.000	3	26.00	931	28	0.47		8	8
3	#	#	-201.600;201.600	#	1	#	0	3	0	#	0	0	#	0	0	#	0	#	1010100	1.000	1.000	3	31.94	984	29	0.58		16	16
#	#	#	#	1	1	#	#	#	1	1	#	#	#	#	#	0	0	#	1011100	1.000	1.000	4	6.88	933	30	0.32		8	8
#	#	-2890.280;3382.280	-200.640;212.640	3	#	3	#	3	0	#	#	#	0	0	0	0	#	#	1101000	0.000	0.326	1	41.68	934	31	0.53		8	39
4	4	#	#	#	5	0	3	#	0	#	#	0	#	#	#	0	0	0	0110100	1.000	1.000	1	32.25	935	32	0.53		8	8
#	2	-6832.610;6832.610	#	#	1	#	3	3	#	#	#	0	#	0	#	0	#	0	0011100	1.000	1.000	4	20.50	936	33	0.47		8	8
6	#	#	#	#	#	0	#	#	0	0	#	#	#	#	#	#	1	#	1011101	0.127	0.814	3	16.45	938	35	0.26		15	23
#	4	-7868.720;8260.720	-220.800;232.800	3	#	3	#	#	0	0	#	#	#	0	0	#	#	0	1101000	0.004	0.581	1	36.28	934	36	0.53		15	30
#	#	#	#	10	#	#	#	#	#	#	#	#	#	#	#	0	0	0	1001000	0.000	0.162	2	52.89	940	37	0.21		23	134
#	#	-3899.350;3941.350	-241.960;251.960	2	0	#	3	2	0	#	#	0	0	0	#	#	0	0	0010100	0.006	0.602	1	33.39	931	38	0.63		15	23
5	1	-7659.700;8021.700	-281.280;293.280	10	3	0	0	#	0	#	#	0	0	#	#	1	#	#	1001000	1.000	1.000	3	34.88	813	39	0.63		8	8
6	2	-3678.330;3714.330	#	1	#	#	0	#	#	2	1	1	0	#	#	#	1	0	1111101	1.000	1.000	2	7.75	943	40	0.58		8	8
2	#	#	#	2	#	0	#	6	#	0	#	#	1	#	0	1	1	1	1111110	1.000	1.000	2	6.00	945	42	0.53		8	8
5	#	-4143.370;4145.370	-272.160;272.160	#	2	0	0	2	0	0	#	0	#	#	#	#	0	0	1000100	1.000	1.000	2	38.62	948	45	0.63		8	8
5	1	-7516.690;7940.690	-377.000;379.000	#	#	#	2	3	0	#	0	0	#	#	#	#	0	#	1100100	1.000	1.000	2	30.38	820	46	0.53		8	8
#	4	#	-351.840;363.840	3	#	#	#	#	0	#	#	#	#	0	#	0	#	0	1000010	0.000	0.299	3	40.07	951	48	0.37		8	44
#	1	#	-161.280;161.280	#	1	#	0	#	#	0	0	0	1	0	#	#	1	0	1011100	1.000	1.000	3	15.62	956	53	0.58		8	8
#	4	-4535.450;5545.450	-244.240;320.240	2	#	#	#	2	#	#	0	0	#	#	0	#	#	#	1001000	0.000	0.152	1	36.12	957	54	0.42		8	31
5	#	#	796.320;1219.680	7	#	#	#	2	0	#	#	0	#	0	#	0	#	#	1001000	1.000	1.000	3	17.88	959	56	0.42		8	8
5	#	-3914.410;5270.410	-272.440;342.440	10	3	#	0	3	#	0	#	#	14	0	#	1	#	0	1010100	1.000	1.000	2	9.62	960	57	0.63		8	8
5	#	#	-321.680;353.680	10	2	0	#	#	#	#	#	#	#	0	0	#	#	0	1101110	1.000	1.000	1	20.38	832	58	0.42		8	8
#	#	-6580.590;6636.590	-312.480;312.480	#	5	0	#	4	0	#	0	#	#	#	#	#	#	0	1110100	0.011	0.636	1	32.26	808	59	0.42		15	22
4	2	#	#	#	#	0	0	#	#	#	#	#	0	#	#	0	0	0	1100100	0.000	0.333	1	30.23	834	60	0.42		8	15
4	#	#	#	#	#	#	3	3	#	0	0	0	0	#	#	0	0	#	1101000	0.000	0.453	1	50.64	836	62	0.47		8	23
5	#	-6722.740;9854.740	-159.280;163.280	10	6	3	0	#	2	#	#	0	1	1	1	1	#	0	1011000	1.000	1.000	1	7.00	968	65	0.74		8	8
