Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)
5000	4390	5000	0.7075	0.6958	0.2389	0.000	0.000	0.000	4.25
10000	4541	5000	0.5355	0.735	0.2600	0.000	0.000	0.000	10.24
15000	4603	5000	0.533	0.762	0.2767	0.000	0.000	0.000	15.63
20000	4680	5000	0.5298	0.7764	0.2990	0.000	0.000	0.000	20.65
25000	4722	5000	0.528	0.772	0.3125	0.000	0.000	0.000	25.66
30000	4743	5000	0.5243	0.7756	0.3213	0.000	0.000	0.000	30.43
35000	4716	5000	0.5236	0.7734	0.3290	0.000	0.000	0.000	34.82
40000	4701	5000	0.523	0.7748	0.3364	0.000	0.000	0.000	39.26
45000	4719	5000	0.5221	0.7768	0.3440	0.000	0.000	0.000	43.66
50000	4718	5000	0.5214	0.7748	0.3475	0.000	0.000	0.000	47.95
