landmass	zone	area	population	language	religion	bars	stripes	colours	circles	crosses	saltires	quarters	sunstars	crescent	triangle	icon	animate	text	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
4	#	#	-281.240;283.240	#	5	1	2	4	#	0	#	#	#	0	#	#	0	0	1101010	1.000	1.000	1	21.00	903	0	0.53		8	8
4	#	-4563.490;6413.490	#	#	#	#	#	#	#	0	#	#	#	#	0	#	#	0	0100100	0.000	0.223	1	65.99	963	1	0.26		55	217
#	#	1298.280;17427.720	-126.840;588.840	#	#	#	#	#	0	0	#	1	#	0	#	0	#	0	1010100	1.000	1.000	2	9.62	905	2	0.42		8	8
#	1	#	#	#	3	#	5	3	#	0	#	0	0	#	#	#	#	0	1010100	1.000	1.000	1	42.38	906	3	0.42		8	8
#	4	-6273.600;7167.600	-267.280;307.280	8	#	0	0	#	#	0	#	#	#	#	0	0	#	#	1100000	0.045	0.733	3	28.85	908	5	0.47		8	15
#	4	#	-128.040;134.040	1	#	3	0	#	0	0	0	0	#	#	#	0	#	0	0100101	1.000	1.000	3	40.75	909	6	0.58		8	8
4	2	-7495.750;9305.750	-128.240;184.240	10	#	#	#	4	#	0	0	0	#	0	#	1	#	#	1101001	1.000	1.000	1	30.62	910	7	0.58		8	8
#	#	-6496.580;6496.580	#	1	#	0	#	6	0	#	#	1	#	0	#	#	1	0	1111101	1.000	1.000	1	17.62	782	8	0.47		8	8
4	#	-4256.380;4256.380	#	#	0	#	#	#	#	0	0	0	#	0	1	0	#	0	1101010	1.000	1.000	3	11.25	912	9	0.53		8	8
5	1	#	#	6	4	0	#	#	1	0	#	#	#	0	#	#	0	#	0110101	1.000	1.000	2	11.62	913	10	0.47		8	8
5	#	-3632.350;4208.350	-295.360;299.360	8	#	#	#	4	0	0	#	#	#	#	1	#	0	0	1010110	0.035	0.714	3	22.37	785	11	0.53		8	16
3	#	#	#	6	#	#	0	#	0	0	0	#	#	#	0	1	#	#	1001110	0.004	0.571	2	39.89	786	12	0.42		8	16
2	#	-3300.320;3868.320	#	#	0	#	#	3	0	#	0	#	0	#	#	#	#	#	1011000	0.011	0.636	2	55.75	787	13	0.37		8	22
#	2	-4287.450;5793.450	-120.000;132.000	#	#	#	0	4	0	0	0	#	0	0	#	#	#	#	1100011	0.000	0.467	1	26.33	917	14	0.53		8	15
4	1	-4020.380;4492.380	-188.600;214.600	10	#	0	#	5	#	0	0	#	0	0	#	#	#	0	1001110	1.000	1.000	1	27.50	789	15	0.63		8	8
6	#	#	-181.560;211.560	1	1	0	#	3	0	#	1	#	6	#	0	#	#	0	1010100	1.000	1.000	1	11.88	919	16	0.58		8	8
#	3	#	#	#	0	0	#	#	0	#	0	#	1	0	#	#	#	#	1010100	0.035	0.714	3	37.56	920	17	0.37		8	16
#	#	-5824.520;5824.520	#	1	#	0	#	#	0	0	0	0	#	0	#	0	0	#	1101110	0.000	0.267	2	62.25	921	18	0.53		8	39
#	#	-6443.690;9013.690	-152.320;180.320	#	0	#	0	#	0	0	0	0	0	#	#	#	#	0	1000100	0.002	0.541	2	61.39	970	19	0.53		38	61
#	1	#	#	#	6	#	#	2	#	#	#	#	1	#	#	1	#	0	1001000	1.000	1.000	3	10.12	925	22	0.32		8	8
3	1	-6272.560;6272.560	#	10	#	2	0	3	0	#	0	0	0	0	#	#	#	0	1000110	1.000	1.000	2	16.38	926	23	0.68		8	8
1	#	-6933.620;6955.620	#	#	1	#	#	3	0	0	1	0	#	0	#	#	0	#	0101010	1.000	1.000	3	16.12	927	24	0.53		8	8
#	#	#	#	2	#	#	#	#	0	#	0	#	0	0	#	0	#	0	0010100	0.000	0.436	2	60.49	923	28	0.37		38	75
3	4	-8287.740;8289.740	#	6	1	#	#	#	0	#	0	0	0	#	#	0	0	#	1010100	1.000	1.000	3	30.72	932	29	0.58		16	16
6	#	#	#	1	#	#	0	4	#	1	1	#	#	0	#	#	0	#	1011100	1.000	1.000	2	9.50	933	30	0.42		8	8
#	#	-6922.640;7414.640	#	3	2	3	0	#	#	0	#	0	#	#	#	0	#	#	1101000	1.000	1.000	2	41.35	676	31	0.42		16	16
4	4	-7880.710;8024.710	-309.480;315.480	1	#	#	#	3	#	0	0	#	0	#	0	#	#	0	0110100	1.000	1.000	1	52.75	677	32	0.58		8	8
6	2	-3472.310;3472.310	#	10	#	0	#	#	0	#	#	#	1	#	0	#	0	0	0011100	1.000	1.000	1	34.62	936	33	0.53		8	8
6	3	-8176.730;8176.730	#	#	1	0	#	#	#	0	0	#	0	0	#	#	1	#	1011101	1.000	1.000	2	10.50	938	35	0.53		8	8
#	1	-5939.560;6605.560	#	#	#	#	#	2	#	#	#	0	1	#	#	0	#	#	1001000	0.000	0.242	3	50.09	940	37	0.32		8	46
#	1	-5531.510;5893.510	#	#	#	#	0	2	#	#	0	0	0	0	0	1	0	#	1001000	1.000	1.000	1	42.00	297	39	0.58		8	8
3	1	#	#	#	6	0	3	#	0	0	#	#	#	0	#	0	#	#	1011100	0.004	0.571	1	39.58	299	41	0.47		8	16
5	1	#	-156.240;156.240	8	2	#	#	#	#	0	#	#	0	#	#	0	#	0	1000100	0.004	0.571	1	52.27	954	45	0.47		32	32
#	3	-5623.750;11177.750	#	#	#	#	3	#	0	0	0	#	#	0	0	#	#	0	0011100	0.001	0.517	2	57.47	694	49	0.47		8	29
#	1	#	-282.240;282.240	1	#	#	0	#	#	0	#	0	#	0	#	1	1	0	1011100	1.000	1.000	1	24.00	53	53	0.53		8	8
