Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	-0.193;0.343	-0.118;0.061	-0.405;0.073	#	-0.281;0.237	-0.168;0.190	#	00110000000110	0.000	0.173	2	40.57	77	0	0.50		9	52
-0.232;0.273	#	-0.095;0.353	-0.213;0.006	#	#	#	-0.254;0.177	#	-0.149;0.380	00110000000110	0.000	0.109	1	39.86	52	1	0.50		7	64
#	-0.255;0.171	#	#	-0.199;0.125	-0.248;0.047	-0.271;0.323	#	#	#	01100000000110	0.000	0.055	2	39.08	80	2	0.40		3	55
-0.204;0.091	#	-0.096;0.137	#	#	#	-0.250;0.496	#	#	#	11000000000000	0.000	0.043	1	40.07	44	3	0.30		3	70
-0.133;0.042	-0.161;0.190	-0.232;0.233	#	#	#	#	#	#	#	00001111000110	0.000	0.015	1	41.14	4	4	0.30		1	67
-0.309;0.175	#	#	-0.166;0.083	#	#	-0.439;0.216	#	#	#	10000000000000	0.000	0.014	1	40.95	5	5	0.30		1	74
#	#	#	#	#	#	-0.231;0.172	#	-0.084;0.255	-0.277;0.314	00000001100000	0.000	0.028	2	40.12	47	6	0.30		2	72
-0.179;0.108	0.119;0.313	#	-0.226;0.159	#	-0.294;0.194	#	#	-0.171;0.458	#	11000110011110	0.000	0.125	1	22.50	7	7	0.50		1	8
-0.342;0.177	#	#	-0.112;0.167	-0.294;0.180	#	-0.305;0.128	#	#	#	01100000011110	0.000	0.045	2	40.02	35	8	0.40		3	66
#	#	-0.290;0.202	#	#	-0.323;0.053	#	#	#	-0.346;0.222	01100000011110	0.000	0.048	1	40.06	35	9	0.30		3	62
-0.159;0.044	#	#	#	-0.283;0.206	#	#	-0.147;0.354	#	-0.126;0.134	01100000000110	0.000	0.053	1	41.19	80	10	0.40		3	57
#	#	-0.158;0.065	#	#	-0.350;0.280	-0.382;0.172	#	#	#	00000000011110	0.000	0.026	1	39.57	57	11	0.30		2	78
#	0.047;0.398	#	#	#	#	#	#	#	#	00000111001110	0.000	0.111	1	26.97	12	12	0.10		2	18
-0.180;0.213	-0.153;0.198	#	#	#	-0.336;0.426	-0.394;0.351	#	#	-0.322;0.175	11000000000110	0.000	0.095	1	41.28	65	13	0.50		7	74
#	#	-0.227;0.256	#	#	-0.109;0.267	-0.288;0.448	#	-0.328;0.243	#	01110000000110	0.000	0.039	2	39.77	69	14	0.40		3	77
#	-0.236;0.085	-0.008;0.627	#	#	#	-0.264;0.018	#	-0.163;0.156	#	11000000000000	0.000	0.154	2	28.18	48	16	0.40		2	13
#	#	-0.255;0.210	#	#	-0.259;0.301	#	#	#	#	11100001111000	0.000	0.013	1	39.75	18	18	0.20		1	80
#	#	#	#	#	#	-0.170;0.122	#	#	#	01100011000110	0.000	0.013	1	39.83	19	19	0.10		1	76
0.055;0.252	#	-0.056;0.221	#	0.146;0.419	-0.236;0.222	#	-0.178;0.230	#	#	00011000000110	1.000	1.000	1	9.00	20	20	0.50		1	1
-0.086;0.117	#	#	#	#	#	#	#	#	#	00011000000110	0.000	0.062	2	37.59	79	22	0.10		4	65
-0.248;0.228	#	-0.391;0.244	#	-0.376;0.156	#	#	#	-0.282;0.134	-0.337;0.167	10000001100000	0.000	0.018	1	41.03	23	23	0.50		1	55
#	#	#	#	#	#	#	#	#	-0.273;0.137	00110000000110	0.000	0.109	1	41.02	77	24	0.10		7	64
#	0.118;0.439	#	#	-0.333;0.134	-0.133;0.426	#	0.001;0.259	#	-0.243;0.089	00001100000110	0.000	0.200	1	25.20	25	25	0.50		1	5
#	#	-0.258;0.297	-0.220;0.150	#	#	-0.464;0.261	#	#	#	01100000000000	0.000	0.047	1	39.90	88	26	0.30		3	64
#	#	-0.246;0.264	-0.172;0.100	-0.122;0.087	#	-0.278;0.104	#	#	#	00110000011110	0.000	0.023	1	40.31	32	32	0.40		1	43
