-	/	0	00	04	0;	0cm	1	1-1/2	1-1/2-year	1-month	1-year	1-year-1-month	1-year-4-month	1-year-5-month	1/2	1/2/01	10	10-month	10-year	10-year-9-month	101	102	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	loss
0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	#	0	0	0	0	0	100000000000000100000000000000000000000000000	0.650	0.979	2	30.01	9497	1	0.96		13	25	0.021
0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	000000000000000000000000100000000000000100000	1.000	1.000	2	9.04	9500	4	1.00		13	13	0.000
0	0	0	0	1	#	0	0	0	0	#	0	0	0	0	#	0	0	0	0	0	0	0	000000000000000000000000000000000000000000001	0.900	0.995	1	150.73	9950	11	0.87		142	169	0.005
0	0	0	1	0	0	1	0	0	0	0	#	0	0	0	1	0	0	#	0	#	#	1	000000000000000000000000100000000000000000000	1.000	1.000	3	27.48	9509	13	0.83		25	25	0.000
0	1	0	0	0	0	0	0	0	0	0	0	0	0	#	0	0	#	0	0	0	0	#	000000000000000010000000000000001000000000000	0.676	0.981	1	161.25	9611	17	0.87		26	206	0.019
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	000000000100000000000000000000000000000000000	0.574	0.973	1	120.96	9515	19	1.00		25	65	0.027
1	0	0	0	0	0	0	0	0	#	#	1	0	1	1	0	0	1	0	0	0	1	0	000000000010000000000000000000000000000000000	0.552	0.971	2	71.99	9516	20	0.91		13	38	0.029
0	1	0	0	0	0	#	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#	0	000000000000000000000000000000001000000000000	0.944	0.997	1	167.83	9984	21	0.91		167	192	0.003
0	0	0	#	0	0	0	0	0	0	0	1	0	1	1	0	#	1	#	0	0	1	0	000000000000000000000000000000010000000000000	1.000	1.000	1	26.40	9521	25	0.87		13	13	0.000
0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	#	#	0	0	1	0	000000000000000000000000000000000000100001000	1.000	1.000	2	15.04	9524	28	0.91		13	13	0.000
1	0	#	0	0	0	0	#	0	0	0	0	0	0	1	0	#	1	0	0	0	0	0	000010000000000000000000000000000000000000000	0.638	0.978	1	101.53	9525	29	0.87		13	26	0.022
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	000000000000000000000000000000000000001000000	1.000	1.000	1	124.81	9688	31	1.00		88	88	0.000
0	0	0	0	#	0	0	0	0	0	1	1	0	0	#	0	0	0	#	1	0	0	0	000000000100000000000000000000000000000000000	1.000	1.000	1	42.04	9532	36	0.87		13	13	0.000
#	0	0	0	0	0	#	0	0	0	#	#	0	0	0	0	0	1	0	0	0	1	0	000010000000000000000000000000000000000000000	0.638	0.978	1	90.93	9533	37	0.83		13	39	0.022
0	0	0	0	0	0	#	0	1	1	1	#	0	0	0	0	#	0	0	0	0	0	0	000000000000000000000000000000000000100000000	1.000	1.000	2	12.22	9534	38	0.87		13	13	0.000
0	0	1	0	0	0	0	#	0	0	#	1	0	0	0	0	0	0	0	1	0	0	1	100000000100000000000000000000000000000000000	1.000	1.000	4	18.18	9544	48	0.91		13	13	0.000
#	0	0	1	#	0	0	#	0	0	1	1	#	0	#	1	#	0	0	0	0	0	0	000000000000000000000000000000000000010010000	1.000	1.000	2	36.96	9546	50	0.74		13	13	0.000
0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	#	0	0	0	#	000000000000100000000000000000000000010000000	0.356	0.950	2	109.92	9549	53	0.91		13	53	0.050
0	0	0	0	0	0	#	0	1	0	0	1	#	0	0	0	#	0	0	0	0	0	0	000000000000000000000001000000000000000000000	0.807	0.989	1	89.50	9979	56	0.87		38	50	0.011
1	0	0	0	0	0	0	0	0	0	0	#	0	0	1	0	0	0	#	#	0	0	#	000000000010000000000000000000000000000000000	0.512	0.967	1	124.46	9557	61	0.83		13	50	0.033
0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	000000000000000000000000000000000000100000000	1.000	1.000	3	22.60	9560	64	1.00		13	13	0.000
0	0	#	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	000000000000000000000000000000000000000001000	0.585	0.974	1	119.26	9565	69	0.96		37	89	0.026
0	0	0	#	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	#	0	000000000000000000000000000000000100000000010	1.000	1.000	4	17.63	9570	74	0.91		13	13	0.000
0	1	#	0	0	0	0	1	0	0	0	0	0	0	0	0	0	#	0	0	0	#	0	000000000100000000000000000000000000000000000	0.650	0.979	2	55.77	9571	75	0.87		13	25	0.021
0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	#	0	0	1	0	0	000000000010000000000000000000000010000000000	1.000	1.000	4	14.09	9572	76	0.96		13	13	0.000
0	#	0	0	#	0	0	0	0	1	0	1	0	0	0	0	1	#	1	0	0	0	#	000000000000000000000000000000000000100000000	1.000	1.000	6	16.42	9575	79	0.83		13	13	0.000
#	0	0	0	#	0	0	0	0	0	0	0	0	0	0	#	#	0	0	1	0	0	0	000000000000000000000000000000000001000000000	0.476	0.964	1	209.03	9927	80	0.83		113	561	0.036
0	0	0	#	0	#	0	0	0	0	0	0	#	0	0	0	0	0	0	0	0	#	0	000000000000000000000000000000100000000000000	0.453	0.961	1	209.45	9856	82	0.83		92	671	0.039
0	0	0	#	0	0	0	0	#	#	1	1	0	0	0	#	0	0	0	0	0	0	1	000000000000000000000000000000000000000001000	0.800	0.989	1	44.84	9579	83	0.83		13	26	0.011
0	0	0	0	0	0	0	1	#	0	0	0	0	0	0	1	0	0	0	0	0	0	#	000000000100000000000000000000000000000000000	0.955	0.998	1	156.49	9999	84	0.91		103	115	0.002
1	1	0	0	0	0	0	0	0	0	0	1	#	1	0	0	0	1	0	0	0	0	0	000010000000000000000000000000001000000000000	0.495	0.965	1	101.84	9584	88	0.96		13	27	0.035
1	0	0	0	0	0	0	0	0	0	0	0	0	0	#	0	0	0	0	0	1	0	0	000000000000000000000000000000000010000000000	1.000	1.000	4	110.59	9722	90	0.96		39	39	0.000
#	0	0	0	0	0	#	0	0	0	#	1	0	0	0	0	1	1	0	0	0	0	1	000000000000000000000000000000100000000000000	1.000	1.000	2	12.78	9590	94	0.87		13	13	0.000
0	0	0	0	#	0	0	0	0	0	0	1	#	0	0	#	1	0	#	1	0	0	0	000000000100000000000000000000000000000000000	1.000	1.000	4	56.91	9646	98	0.83		38	38	0.000
0	0	0	0	0	0	0	0	0	0	0	1	0	0	#	0	0	1	0	0	0	0	0	000000000010000000000000000000000000000000000	1.000	1.000	1	23.63	9595	99	0.96		13	13	0.000
0	0	0	#	0	0	0	1	0	#	0	1	0	0	0	1	1	0	0	1	0	0	0	000000000100000000000000000000000000000000000	1.000	1.000	3	26.69	9598	102	0.91		13	13	0.000
0	0	#	1	0	0	0	0	0	0	0	0	#	0	0	0	0	0	0	#	0	0	#	100000000000000000000000000000000000000000000	0.519	0.968	1	139.96	9755	103	0.83		39	142	0.032
0	0	0	1	0	#	0	0	0	0	1	1	0	0	0	1	0	0	#	1	0	0	1	000000000001000000000000000000000000000001000	1.000	1.000	4	17.10	9603	107	0.91		13	13	0.000
#	0	#	0	0	0	0	1	#	0	0	0	0	0	0	1	0	0	0	0	0	0	#	000000000100000000000000000000000000000000000	0.958	0.998	1	153.03	9999	109	0.83		113	125	0.002
0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	000000000000000000000000000000000001010000000	1.000	1.000	5	28.48	9609	113	1.00		13	13	0.000
0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	000000000000000000000000000000000000000001000	1.000	1.000	1	87.80	9614	118	1.00		13	13	0.000
0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	000000000000000000000000000000000000100001000	1.000	1.000	4	16.77	9615	119	1.00		13	13	0.000
0	0	0	#	0	0	0	0	0	0	0	0	0	#	0	0	0	1	0	#	0	0	0	000000000010000000000000000000000000000000000	0.512	0.967	1	195.86	9617	121	0.87		13	50	0.033
0	0	0	0	0	#	#	#	0	0	0	0	0	0	0	0	1	0	0	0	#	0	0	000000000000000000000000000000100000000000000	0.472	0.963	1	100.95	9618	122	0.83		13	38	0.037
0	0	0	1	0	0	0	#	0	#	1	0	0	0	0	0	#	0	1	0	#	#	0	000000000000000000000000000000000000100001000	1.000	1.000	2	21.18	9620	124	0.78		13	13	0.000
0	0	0	1	0	#	0	0	0	0	0	#	0	0	0	0	1	0	0	0	0	0	#	000000000000000000000000000000000000000001000	1.000	1.000	1	142.39	9993	126	0.87		52	52	0.000
