Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Att18	Att19	Att20	Att21	Att22	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-97.037;-71.361	0.007;0.069	0.148;0.278	#	-0.316;0.354	#	-0.098;0.175	0.080;0.268	0.684;1.197	2.772;8.080	#	0.502;0.840	-0.137;0.351	#	0.004;0.011	-0.150;1.123	#	-0.041;1.054	#	#	0.259;2.015	#	001100	1.000	1.000	2	52.03	9909	28	0.64		26	26
#	-0.017;0.095	0.217;0.335	0.237;0.320	-0.329;0.341	6.080;9.806	#	#	0.411;1.220	3.029;12.163	0.805;1.126	#	#	0.010;0.100	#	#	#	#	0.184;0.758	0.055;0.094	#	#	001100	1.000	1.000	1	58.76	9907	32	0.50		51	51
#	0.085;0.224	0.096;0.277	#	-0.308;0.361	-2.083;6.930	#	0.237;0.352	-0.067;0.537	#	0.062;0.506	0.389;0.706	0.040;0.509	#	0.005;0.011	#	0.019;0.555	#	0.047;0.527	0.074;0.122	0.504;1.437	0.139;0.983	100000	1.000	1.000	3	66.77	9929	48	0.68		26	26
#	#	#	#	1.098;2.403	#	#	-0.001;0.107	-0.181;0.468	2.174;6.247	#	#	#	#	#	#	#	#	0.355;0.684	#	0.759;2.405	1.066;2.090	100001	0.136	0.671	1	39.48	9937	56	0.32		51	76
-92.504;-65.544	#	#	0.072;0.153	#	#	#	#	0.042;0.771	4.962;10.517	#	#	0.033;0.224	#	0.006;0.011	-0.128;0.740	0.166;0.719	1.268;2.671	0.252;0.676	0.056;0.111	0.911;2.557	#	010100	0.034	0.510	1	50.95	9944	63	0.55		26	51
#	#	#	0.130;0.227	#	#	-0.102;0.203	#	#	6.583;10.286	#	#	#	0.024;0.094	#	-0.266;0.621	-0.021;0.933	-0.730;1.769	0.284;0.594	#	0.854;2.254	#	011000	0.077	0.598	1	86.12	9947	66	0.41		76	127
-101.329;-84.211	#	#	0.013;0.191	#	#	#	#	#	4.663;12.069	0.367;0.959	#	-0.074;0.322	0.027;0.095	#	#	0.637;1.458	#	#	#	#	#	011100	1.000	1.000	1	39.23	9954	73	0.32		26	26
#	#	#	0.234;0.359	-0.288;0.717	0.267;6.276	-0.018;0.272	#	0.333;0.732	#	#	0.648;0.997	#	#	0.002;0.012	#	0.145;0.631	0.006;2.505	-0.062;0.587	0.052;0.111	-0.184;1.215	#	000001	1.000	1.000	2	51.79	9956	75	0.55		26	26
#	#	-0.013;0.120	0.018;0.096	#	4.220;12.152	-0.087;0.204	0.003;0.103	#	11.102;15.792	#	#	#	#	0.001;0.014	#	-0.209;0.662	-0.518;1.502	0.189;0.678	#	#	#	100001	1.000	1.000	1	66.79	9961	80	0.45		26	26
-83.817;-63.276	0.097;0.153	0.227;0.338	#	#	#	#	0.206;0.417	#	3.119;10.155	#	#	0.108;0.385	#	#	#	#	#	0.465;0.974	#	#	#	001110	1.000	1.000	2	52.14	9973	92	0.32		26	26
-82.454;-53.783	-0.025;0.128	#	-0.037;0.128	0.792;2.008	#	0.211;0.370	-0.034;0.143	#	#	#	0.242;0.559	0.435;0.653	#	#	-0.248;0.967	#	1.749;3.563	-0.003;0.279	#	#	#	100000	0.334	0.803	1	86.64	9988	107	0.50		102	127
-92.573;-66.897	0.043;0.188	#	#	#	#	#	#	#	4.429;10.107	#	#	#	#	0.015;0.028	#	#	#	#	#	#	#	110001	0.031	0.500	1	31.05	9628	138	0.18		25	50
#	#	0.032;0.150	#	#	5.118;8.363	#	#	#	#	0.008;0.637	0.301;0.634	#	#	0.002;0.015	-0.361;0.720	#	-0.310;0.052	#	#	#	-0.331;0.512	001110	0.000	0.314	1	28.56	157	157	0.36		0	0
#	0.114;0.233	#	0.068;0.160	#	2.760;10.452	#	#	0.088;0.555	#	#	#	#	#	#	#	0.358;1.179	#	#	0.046;0.108	1.598;2.559	#	000010	1.000	1.000	2	73.39	9674	184	0.32		25	25
