Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0.825;1.175	-0.012;0.488	0.245;0.745	0.326;0.596	0.139;0.569	0.181;0.461	0.767;1.167	0.750;1.000	0.216;0.536	-0.046;0.204	0.452;0.822	0.637;0.892	0.417;0.887	0.129;0.479	0.409;0.769	#	0.568;0.994	000010	1.000	1.000	1	59.65	49412	83	0.94		30	30
-0.144;0.186	-0.212;-0.188	-0.213;0.257	-0.128;0.389	-0.101;0.179	-0.233;0.257	-0.227;0.263	0.356;0.606	-0.212;0.238	#	-0.094;0.156	0.236;0.698	-0.106;0.144	-0.039;0.431	0.289;0.569	0.300;0.611	0.293;0.640	000100	0.031	0.889	1	4.67	108	108	0.94		0	0
-0.058;0.342	0.081;0.521	#	0.162;0.582	0.402;0.772	-0.006;0.424	-0.001;0.489	0.493;0.933	0.266;0.726	-0.021;0.279	0.367;0.837	0.453;0.934	0.413;0.663	0.422;0.722	0.595;0.885	0.600;0.947	0.217;0.653	001000	1.000	1.000	1	98.36	49458	129	0.94		30	30
-0.009;0.451	0.005;0.275	0.431;0.931	0.065;0.315	-0.174;0.316	0.230;0.620	#	#	0.645;1.075	0.333;0.753	0.020;0.330	-0.049;0.226	-0.113;0.257	0.494;0.744	#	0.188;0.613	-0.225;0.232	000001	1.000	1.000	1	56.17	49465	136	0.82		30	30
0.202;0.492	#	-0.198;0.302	-0.139;0.171	-0.119;0.291	0.594;0.914	-0.168;0.222	0.480;0.940	0.364;0.654	0.208;0.678	#	0.647;0.903	-0.062;0.238	0.197;0.507	0.520;0.780	0.614;1.000	0.672;0.960	000110	1.000	1.000	5	96.61	49493	164	0.88		30	30
-0.144;0.156	-0.061;0.369	-0.184;0.196	-0.187;0.233	-0.032;0.418	-0.101;0.149	-0.156;0.274	0.452;0.902	-0.183;0.307	-0.179;0.271	-0.010;0.390	#	-0.033;0.257	-0.128;0.172	0.242;0.662	0.419;0.804	0.276;0.309	100000	0.005	0.745	1	9.42	167	167	0.94		0	0
-0.144;0.156	-0.061;0.369	-0.191;-0.184	-0.187;0.233	-0.032;0.418	-0.101;0.149	-0.156;0.274	0.452;0.902	-0.183;0.307	-0.179;0.271	-0.010;0.390	#	-0.033;0.257	-0.128;0.172	0.242;0.662	0.419;0.804	0.309;0.765	100000	0.005	0.745	1	9.42	167	167	0.94		0	0
-0.147;0.303	0.104;0.524	-0.152;0.238	-0.188;0.272	-0.211;0.289	-0.079;0.271	0.139;0.549	0.392;0.852	-0.188;0.272	-0.114;0.216	0.247;0.517	-0.009;0.482	0.442;0.702	0.211;0.651	0.189;0.569	0.538;0.934	0.092;0.489	100000	1.000	1.000	1	89.92	49511	182	1.00		30	30
-0.130;0.270	-0.202;0.288	-0.126;0.254	#	-0.160;0.270	0.193;0.633	-0.062;0.198	0.599;0.879	0.442;0.722	0.529;0.859	-0.048;0.202	0.557;0.862	0.077;0.437	#	0.526;0.776	0.525;0.931	0.504;0.950	000110	1.000	1.000	3	115.00	49526	197	0.88		30	30
-0.128;0.332	#	-0.137;0.273	#	-0.033;0.467	0.334;0.684	0.466;0.966	0.122;0.582	0.284;0.714	0.306;0.636	#	-0.192;0.192	0.159;0.519	0.202;0.702	-0.140;0.140	0.214;0.481	-0.162;0.165	001000	1.000	1.000	1	74.35	49534	205	0.82		30	30
0.278;0.538	0.125;0.585	0.376;0.646	0.103;0.423	-0.015;0.365	0.396;0.786	0.221;0.521	0.477;0.727	0.482;0.732	#	-0.122;0.368	0.036;0.478	-0.049;0.251	0.356;0.666	-0.019;0.281	#	0.316;0.643	000100	1.000	1.000	2	115.18	49539	210	0.88		30	30
0.031;0.451	-0.008;0.352	0.106;0.356	0.404;0.704	0.331;0.711	0.056;0.416	0.777;1.217	0.541;0.841	-0.099;0.161	-0.019;0.401	0.412;0.762	0.523;0.916	0.524;0.924	-0.166;0.184	0.553;0.813	0.296;0.771	0.434;0.900	100010	1.000	1.000	6	69.65	49542	213	1.00		30	30
-0.025;0.325	-0.127;0.223	0.541;0.981	0.755;1.245	#	0.515;0.805	-0.159;0.271	0.686;0.936	-0.122;0.178	0.269;0.669	-0.026;0.234	#	-0.033;0.277	-0.127;0.163	0.547;0.877	0.592;1.037	0.149;0.635	100010	1.000	1.000	1	60.96	49569	240	0.88		30	30
-0.217;0.223	-0.147;0.153	-0.159;0.161	-0.234;0.236	-0.169;0.171	-0.118;0.142	-0.209;0.211	0.329;1.067	-0.127;0.133	-0.154;0.156	-0.238;0.242	0.687;1.061	-0.172;0.178	-0.139;0.141	0.618;1.078	0.633;1.108	1.062;1.099	100000	0.021	0.857	1	7.00	263	263	1.00		0	0
0.002;0.402	-0.204;0.226	0.027;0.327	-0.121;0.319	-0.138;0.192	0.103;0.363	-0.216;0.244	0.681;1.011	0.156;0.416	0.037;0.417	-0.111;0.149	#	0.226;0.656	0.664;0.914	0.385;0.805	0.709;1.026	0.666;0.943	001100	1.000	1.000	2	94.16	49594	265	0.94		30	30
