landmass	zone	area	population	language	religion	bars	stripes	colours	circles	crosses	saltires	quarters	sunstars	crescent	triangle	icon	animate	text	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
4	4	#	-296.360;298.360	6	#	#	2	4	0	0	#	0	#	#	#	#	0	#	1101010	1.000	1.000	3	12.12	903	0	0.53		8	8
4	1	#	-201.040;313.040	10	2	3	#	2	#	#	0	#	0	0	0	#	0	0	0100100	1.000	1.000	3	33.50	904	1	0.68		8	8
#	4	962.250;17763.750	-141.960;603.960	1	#	#	#	#	0	#	0	1	#	0	0	0	#	#	1010100	1.000	1.000	2	11.12	905	2	0.53		8	8
#	#	-7214.690;8242.690	-233.240;331.240	#	3	#	#	3	#	0	#	#	#	#	0	0	#	0	1010100	1.000	1.000	2	25.39	877	3	0.42		15	15
5	1	-2900.280;3372.280	-213.720;219.720	10	6	0	#	3	1	#	#	#	#	0	0	0	#	#	1010100	1.000	1.000	2	23.62	907	4	0.63		8	8
4	4	-3921.390;4815.390	-292.480;332.480	8	2	0	#	#	0	0	#	#	#	#	0	#	#	#	1100000	0.045	0.733	3	25.59	908	5	0.53		8	15
4	2	-5367.560;7177.560	#	10	5	0	0	4	1	#	0	0	#	#	0	#	1	#	1101001	1.000	1.000	2	10.12	910	7	0.68		8	8
#	#	#	-241.920;241.920	#	1	0	#	#	#	#	#	#	0	0	0	#	1	0	1111101	0.002	0.546	2	42.16	943	8	0.42		16	39
4	1	-8052.740;8524.740	-339.800;365.800	#	5	0	6	5	#	0	#	0	#	0	#	#	1	0	1001110	1.000	1.000	1	7.75	789	15	0.68		8	8
#	3	-5099.570;7669.570	#	2	0	#	0	#	0	0	#	0	#	#	#	0	#	#	1000100	1.000	1.000	2	20.50	793	19	0.47		8	8
#	4	-3087.280;3185.280	#	2	#	#	0	3	#	1	#	#	#	#	0	0	0	0	1010100	1.000	1.000	2	28.38	923	20	0.53		8	8
5	1	#	#	#	#	#	#	2	0	#	0	#	#	0	#	#	#	#	1001000	0.035	0.714	3	38.28	925	22	0.32		32	48
#	#	-2789.250;2811.250	-144.160;148.160	#	#	#	#	3	#	0	1	0	#	0	#	#	0	0	0101010	1.000	1.000	2	14.62	927	24	0.47		8	8
1	4	-6605.600;6835.600	-141.200;161.200	#	6	0	#	#	0	0	0	#	1	#	1	#	#	0	1010100	1.000	1.000	3	16.88	929	26	0.63		8	8
#	#	#	#	10	#	0	11	3	0	0	0	1	1	0	#	0	#	#	1010100	1.000	1.000	6	9.38	930	27	0.58		8	8
2	#	#	#	2	0	0	#	#	0	0	0	0	0	#	0	#	0	0	0010100	0.000	0.273	2	40.93	931	28	0.63		8	22
#	4	-5823.520;5825.520	#	#	#	#	#	#	#	1	#	0	#	#	0	0	#	0	1010100	1.000	1.000	1	41.77	989	29	0.37		31	31
6	3	-8064.720;8064.720	#	#	1	0	0	#	1	#	1	#	#	#	0	0	#	0	1011100	1.000	1.000	1	14.38	933	30	0.58		8	8
4	#	-4918.440;4938.440	#	#	5	0	#	4	0	0	#	#	#	0	0	0	#	#	1110100	1.000	1.000	1	24.12	808	34	0.53		8	8
6	3	-7616.680;7616.680	#	1	1	0	0	5	#	#	0	0	0	0	#	1	1	0	1011101	1.000	1.000	1	18.00	809	35	0.79		8	8
#	4	-4571.410;4613.410	#	2	#	0	3	2	0	#	#	0	0	0	#	0	0	0	0010100	0.000	0.429	1	32.88	941	38	0.68		8	16
#	3	#	-233.880;239.880	#	0	#	3	#	1	#	0	0	#	0	#	1	#	1	1111110	1.000	1.000	4	6.25	945	42	0.53		8	8
4	1	#	-182.480;190.480	#	#	3	0	#	#	0	#	0	0	0	#	#	#	#	1011000	0.000	0.333	1	45.36	817	43	0.47		8	15
5	1	-4400.540;7696.540	#	6	2	0	3	#	0	#	#	#	#	#	0	1	0	#	1100100	1.000	1.000	3	14.88	947	44	0.58		8	8
5	1	#	-146.160;146.160	#	2	#	0	2	0	0	#	0	0	#	#	0	0	0	1000100	1.000	1.000	1	34.25	948	45	0.68		8	8
#	1	#	#	#	#	0	2	3	0	0	0	0	0	0	#	1	0	0	1100100	1.000	1.000	2	21.75	691	46	0.68		8	8
1	#	#	-272.160;272.160	#	1	0	#	#	#	0	0	0	0	#	#	#	1	#	1111100	0.000	0.429	1	32.91	924	47	0.47		15	23
1	4	#	#	3	#	#	0	2	0	0	0	#	#	0	0	0	#	0	1000010	1.000	1.000	2	23.88	951	48	0.63		8	8
2	3	#	#	2	0	0	#	#	0	0	#	0	1	0	#	0	#	0	0011100	1.000	1.000	2	26.38	823	49	0.63		8	8
#	#	#	-235.880;237.880	8	#	#	3	4	#	#	0	0	#	#	0	0	#	0	1100110	1.000	1.000	1	35.96	954	51	0.47		31	31
#	#	#	-246.960;246.960	#	#	#	0	4	#	0	#	0	1	0	#	1	1	#	1011100	1.000	1.000	3	16.62	827	53	0.47		8	8
#	4	-5655.550;6665.550	-108.160;184.160	2	0	0	3	#	0	#	0	#	#	#	0	#	0	#	1001000	0.000	0.255	4	35.41	957	54	0.58		8	23
3	#	#	#	#	1	#	3	#	#	0	#	#	0	0	#	0	#	0	1001010	0.000	0.467	1	35.18	958	55	0.42		8	15
5	#	#	#	#	2	#	#	5	#	0	#	#	1	#	0	1	#	0	1101110	1.000	1.000	2	16.38	832	58	0.42		8	8
4	2	-4368.390;4368.390	-221.760;221.760	#	1	#	0	3	#	0	0	0	#	#	#	0	0	0	1100100	1.000	1.000	2	47.50	834	60	0.68		8	8
#	#	#	-291.560;353.560	10	1	0	3	#	#	#	0	#	#	0	#	0	0	0	1101000	0.000	0.467	1	45.76	965	62	0.53		8	15
4	2	-8047.720;8081.720	#	#	1	0	#	#	#	#	#	0	#	#	0	#	0	#	1011111	0.000	0.333	1	40.44	966	63	0.42		8	15
#	1	-5037.450;5043.450	-246.960;246.960	4	0	#	#	#	#	#	0	#	#	#	0	#	#	0	1010100	1.000	1.000	1	31.50	451	64	0.42		8	8
#	#	#	#	#	1	0	0	2	#	#	#	1	#	#	0	0	#	#	1000100	1.000	1.000	1	12.88	969	66	0.37		8	8
1	4	-3291.470;7237.470	-139.720;293.720	2	#	#	#	#	0	0	#	#	0	#	0	0	1	#	1100101	1.000	1.000	1	26.00	970	67	0.58		8	8
#	#	#	-262.080;262.080	1	1	#	#	3	0	0	#	0	0	0	#	1	#	0	1001100	1.000	1.000	2	23.50	971	68	0.58		8	8
#	4	#	#	#	0	#	#	#	0	#	#	#	0	#	0	0	#	0	0010100	0.000	0.437	1	54.65	941	70	0.37		36	64
2	3	#	#	#	0	#	#	#	#	#	#	#	22	0	#	0	#	#	0111100	1.000	1.000	1	7.25	974	71	0.32		8	8
5	#	-7966.720;8162.720	-260.080;264.080	#	#	#	#	#	#	#	#	#	1	0	1	0	0	#	1100110	0.045	0.733	1	35.27	976	73	0.42		8	15
#	4	-7728.700;7952.700	#	2	0	0	#	2	#	#	0	#	#	0	0	#	0	#	0010100	0.011	0.636	1	35.56	941	75	0.53		15	22
#	1	-4564.420;4844.420	-125.120;157.120	10	4	0	#	3	0	0	#	#	#	1	#	0	0	0	0010101	1.000	1.000	3	14.38	980	77	0.68		8	8
#	#	#	-357.840;357.840	#	1	#	0	7	#	1	#	1	0	0	0	#	0	#	1111101	1.000	1.000	2	7.38	983	80	0.53		8	8
5	1	#	#	10	7	#	2	2	0	0	#	#	1	0	#	0	0	#	0010100	1.000	1.000	3	18.62	985	82	0.63		8	8
#	1	#	-233.280;341.280	3	0	3	0	3	#	0	#	0	#	0	#	0	#	0	1010100	1.000	1.000	3	44.12	987	84	0.63		8	8
5	1	#	-369.960;375.960	#	#	#	#	#	#	#	#	#	0	#	0	#	1	0	1100101	1.000	1.000	1	19.25	859	85	0.37		8	8
#	#	#	-116.000;136.000	#	#	#	#	2	#	#	0	1	#	#	0	0	#	#	0010100	0.045	0.733	4	12.30	991	88	0.32		8	15
#	4	-6160.550;6160.550	-357.840;357.840	#	1	#	#	3	#	#	0	#	0	#	0	#	#	#	0010101	0.000	0.448	2	48.41	992	89	0.42		8	29
4	1	-7228.660;7556.660	#	#	2	0	#	#	#	#	0	#	#	1	0	#	0	#	1000100	1.000	1.000	1	9.50	993	90	0.47		8	8
#	4	#	#	#	#	0	3	7	0	#	#	#	7	#	#	#	#	0	1111111	1.000	1.000	2	15.25	995	92	0.37		8	8
#	#	#	#	8	2	#	#	1	#	#	0	#	#	0	0	0	#	#	0100000	1.000	1.000	2	35.00	996	93	0.37		8	8
3	1	#	#	9	#	#	#	#	0	#	0	0	0	#	0	#	0	#	1100100	1.000	1.000	2	34.25	997	94	0.47		8	8
5	1	#	-72.240;240.240	6	2	1	0	2	0	#	0	0	#	#	#	0	#	0	0100100	1.000	1.000	4	11.00	998	95	0.68		8	8
2	4	#	#	6	#	0	#	4	0	0	0	#	1	#	#	#	#	#	1101100	1.000	1.000	2	17.62	999	96	0.47		8	8
#	#	#	#	3	0	#	#	#	0	#	#	0	0	0	0	0	0	0	1000100	0.035	0.714	2	46.26	987	98	0.53		21	28
6	#	-7540.700;8140.700	#	#	0	#	0	#	0	#	#	#	#	0	1	0	#	0	1011100	1.000	1.000	1	19.14	744	99	0.47		7	7
