-	/	0	00	04	0;	0cm	1	1-1/2	1-1/2-year	1-month	1-year	1-year-1-month	1-year-4-month	1-year-5-month	1/2	1/2/01	10	10-month	10-year	10-year-9-month	101	102	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	loss
0	1	1	0	0	0	0	#	0	0	#	1	0	0	#	0	#	0	0	0	0	0	0	100000000000000100000000000000000000000000000	1.000	1.000	1	12.15	9504	1	0.83		13	13	0.000
0	0	0	0	0	#	1	0	#	1	1	1	0	0	0	1	0	#	0	0	0	0	1	000000000000000000000000100000000000000100000	1.000	1.000	2	9.28	9507	4	0.87		13	13	0.000
0	0	0	0	0	0	0	0	0	0	#	0	0	0	0	0	0	0	0	0	1	0	0	000000000000000000000000000000000010000000000	1.000	1.000	2	93.19	9914	14	0.96		26	26	0.000
0	#	1	1	0	0	0	0	0	0	#	#	0	0	0	0	0	0	0	0	0	0	0	100000000000000000000000000000000000000000000	0.676	0.981	2	86.21	9569	15	0.87		38	103	0.019
#	0	0	0	0	0	#	0	0	0	#	0	0	0	0	0	0	0	0	0	0	1	1	000000000000000001000000000000000000000000000	1.000	1.000	4	15.33	9523	20	0.87		13	13	0.000
0	0	#	0	0	0	#	0	0	#	0	#	0	1	0	0	0	0	0	0	#	#	0	000000000000000000000000000000010000000000000	0.880	0.994	1	166.99	9988	25	0.74		150	175	0.006
0	1	#	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#	000000000100000000000000000000000000000000000	1.000	1.000	2	57.02	9529	26	0.91		13	13	0.000
1	1	0	0	0	0	0	0	0	0	0	0	0	1	#	0	0	1	#	0	0	1	0	000010000000000000000000000000000000000000000	0.594	0.974	1	88.21	9635	27	0.91		26	77	0.026
#	0	#	1	0	0	0	0	#	1	0	1	0	0	0	0	1	0	0	0	0	1	0	000000000000000000000000000000000000100001000	1.000	1.000	4	15.70	9531	28	0.87		13	13	0.000
0	1	0	0	#	0	0	0	0	#	0	1	0	1	0	0	0	#	0	0	0	1	0	000000000000000000000000000000010000000000000	1.000	1.000	1	49.75	9538	35	0.87		13	13	0.000
0	0	#	0	0	#	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	000000000100000000000000000000000000000000000	0.727	0.984	1	168.17	9960	36	0.91		252	391	0.016
1	0	#	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	#	000010000000000000000000000000000000000000000	0.638	0.978	2	58.01	9540	37	0.91		13	26	0.022
0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	000000000000000000000000000000000000100001000	1.000	1.000	1	39.01	9549	46	1.00		13	13	0.000
0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	#	0	100000000100000000000000000000000000000000000	1.000	1.000	4	18.52	9551	48	0.96		13	13	0.000
1	0	0	0	0	0	0	0	0	0	0	0	0	#	0	0	0	#	0	0	0	1	0	000010000000000000000000000000001000000000000	0.351	0.949	1	191.20	9552	49	0.91		13	106	0.051
0	1	0	0	0	0	0	0	0	0	#	0	0	1	1	0	0	1	0	#	0	1	0	000000000010000000000000000000000000000000000	1.000	1.000	2	23.23	9564	61	0.91		13	13	0.000
1	0	0	0	#	#	0	#	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	000000000010000000000000000000000000000000000	1.000	1.000	2	34.21	9566	63	0.87		13	13	0.000
0	0	0	#	0	0	0	#	0	1	1	#	0	0	0	0	1	#	#	#	#	0	1	000000000000000000000000000000000000100000000	1.000	1.000	2	19.87	9567	64	0.70		13	13	0.000
0	0	0	1	0	#	#	0	0	0	1	1	0	0	0	0	0	#	#	0	0	0	0	000000000000000000000000000000000000000001000	0.665	0.980	2	116.82	9898	69	0.83		64	140	0.020
0	0	0	#	0	0	0	0	0	0	#	0	0	0	0	0	0	#	0	0	0	0	0	000000000000000000000100000000000000000000000	0.509	0.967	1	213.44	9967	72	0.87		152	573	0.033
0	0	0	0	1	0	0	#	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	000000000000000000000000000000000000000000001	1.000	1.000	3	56.84	9576	73	0.96		25	25	0.000
0	0	0	0	0	0	0	0	#	0	0	0	1	0	0	1	#	0	0	0	0	0	0	000000000000000000000000000000000000001000000	1.000	1.000	2	133.85	9842	74	0.91		63	63	0.000
0	0	0	0	0	0	0	1	0	#	0	0	0	0	0	0	#	0	0	0	0	0	0	000000000000000000000000000000000001000000000	0.462	0.962	1	125.94	9583	80	0.91		13	88	0.038
0	0	#	0	0	0	0	1	0	0	1	0	0	0	0	1	#	#	0	0	0	0	0	000000000100000000000000000000000000000000000	1.000	1.000	2	41.57	9587	84	0.87		13	13	0.000
0	0	0	0	0	0	0	0	1	0	0	0	#	1	0	0	0	0	0	0	0	0	0	000000000000001000000000000000000000000000000	0.627	0.977	1	118.81	9589	86	0.96		13	27	0.023
1	1	#	0	0	0	#	0	0	0	0	1	0	0	0	0	0	0	#	0	0	0	0	000010000000000000000000000000001000000000000	1.000	1.000	1	52.20	9591	88	0.87		13	13	0.000
1	1	0	0	1	0	0	#	0	0	0	#	0	#	1	0	0	1	0	0	#	1	#	000000000010000000000000000000010000000000001	1.000	1.000	3	12.97	9595	92	0.78		13	13	0.000
1	0	0	#	0	0	0	0	0	0	#	1	0	#	1	0	0	1	0	0	0	1	#	000000000010000000000000000000000000000000000	0.748	0.986	4	61.96	9602	99	0.83		25	37	0.014
0	0	1	0	0	0	0	0	0	0	0	0	0	#	0	1	0	0	0	0	0	0	0	100000000000000000000000000000000000000000000	1.000	1.000	1	124.61	9606	103	0.96		37	37	0.000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#	0	0	0	0	010000000000000000000000000000000000000000000	0.487	0.965	1	246.17	9793	106	0.96		95	465	0.035
0	1	1	#	0	0	0	0	0	#	1	1	0	#	0	0	0	0	0	1	0	0	0	000000000100000000000000000000000000000000000	1.000	1.000	2	15.04	9612	109	0.87		13	13	0.000
1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	#	0	000010000000000000000000000000001000000000000	0.638	0.978	2	65.25	9987	112	0.96		26	64	0.022
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	#	0	0	0	000000000100000000000000000000000000000000000	0.632	0.977	1	124.84	9619	116	0.96		25	51	0.023
0	0	0	1	#	0	0	0	0	0	#	1	0	0	#	0	0	0	0	0	0	0	1	000000000000000000000000000000000000000001000	1.000	1.000	1	100.02	9644	117	0.87		26	26	0.000
#	0	0	1	0	#	#	0	0	0	1	1	0	0	0	0	0	#	#	0	0	0	0	000000000000000000000000000000000000000001000	0.662	0.980	1	116.82	9898	118	0.78		62	137	0.020
0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	#	0	0	0	000000000000000000000000000000000000100001000	0.638	0.978	1	120.64	9622	119	0.96		13	50	0.022
#	0	#	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	000000000010000000000000000000000000000000000	1.000	1.000	3	40.52	9624	121	0.91		25	25	0.000
0	0	0	1	0	1	0	#	0	0	0	0	0	0	0	0	1	0	#	0	0	0	0	000000000000000000000000000000000000000001000	1.000	1.000	2	10.17	9629	126	0.91		13	13	0.000
#	0	1	0	0	#	0	#	0	0	0	0	0	#	0	1	1	0	1	1	0	0	0	100000000000000000000000000000000001000000000	1.000	1.000	4	11.25	9631	128	0.83		13	13	0.000
