Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-2.519;3.474	0.007;0.030	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0.010;0.027	#	#	-0.633;0.690	#	#	#	010100100000000100001010100000001000000000000000000000000000000000000000000000010100000000000000101000000000001100000100000010000010000000100000000000000000000000000000000000	0.520	0.937	1	75.63	9883	120	0.12		28	56
-3.746;3.746	#	#	#	-0.027;0.042	#	#	-1.808;1.808	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	-0.195;0.195	#	#	#	-0.179;0.179	#	011001011010101010011000001010010100000000000000000000000000000110000100110000010000000000010001010100010100010010101000000000000000000010000100000110000000000001000000001000	0.180	0.842	1	69.88	9966	203	0.15		29	84
#	#	#	#	#	#	-0.224;0.602	-0.115;3.059	#	#	#	#	#	#	#	#	-0.037;0.077	#	#	#	#	#	0.290;2.974	#	#	#	#	#	#	#	#	#	#	010001010000000000100000000000010100000010000000000000000000000000010000100000010000000000000000101000000000010100000100000000000000000000000000000010100000000000000000000000	0.151	0.828	1	625.30	9991	228	0.12		29	6626
#	0.028;0.058	#	#	#	#	#	#	#	#	#	#	#	#	-88.124;-43.382	#	#	#	#	#	#	#	#	0.027;0.249	#	#	#	0.551;0.880	#	#	#	#	#	011000010000001000000001001010000100000010000000000000000000000101000100100000010100001000010101000101010100010110000010010100000000001000000100000010000000000000010010000100	0.078	0.775	1	508.86	9871	459	0.12		26	3500
-2.519;3.474	0.007;0.030	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	-0.232;0.368	#	#	#	#	#	#	#	#	0.010;0.027	#	#	-0.633;0.690	#	#	#	010100100000000100001010100000001000000000000000000000000000000000000000000000010100000000000000101000000000001100000100000010000010000000100000000000000000000000000000000000	0.514	0.936	1	75.80	9883	471	0.15		26	53
-2.519;3.474	0.007;0.030	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	-0.093;0.470	#	#	#	#	0.010;0.027	#	#	-0.633;0.690	#	#	#	010100100000000100001010100000001000000000000000000000000000000000000000000000010100000000000000101000000000001100000100000010000010000000100000000000000000000000000000000000	0.514	0.936	2	75.88	9883	822	0.15		25	51
-2.519;3.474	0.007;0.030	#	#	#	#	#	#	#	#	-0.064;0.208	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0.010;0.027	#	#	-0.633;0.690	#	#	#	010100100000000100001010100000001000000000000000000000000000000000000000000000010100000000000000101000000000001100000100000010000010000000100000000000000000000000000000000000	0.514	0.936	1	75.88	9883	822	0.15		25	51
-3.746;3.746	#	#	#	-0.027;0.042	#	#	-1.808;3.452	#	#	#	#	#	#	#	#	#	#	-0.115;0.115	#	#	#	#	#	#	#	#	-0.195;0.195	#	#	#	-0.179;0.179	#	011001011010101010011000001010010100000000000000000000000000000110000100110000010000000000010001010100010100010010101000000000000000000010000100000110000000000001000000001000	0.226	0.862	1	72.09	9966	905	0.18		26	51
#	#	#	#	#	#	#	-2.787;-0.646	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0.108;0.622	-0.982;-0.159	#	#	#	010000000100000101000101000000011001000000000000000000000001000000001000000100000000101000000000100100000000010001010000000000000000001000000000000000000000000000000000000000	1.000	1.000	1	299.17	9687	977	0.09		25	25
#	0.022;0.062	#	0.354;0.992	#	#	#	#	#	#	#	#	0.436;0.708	#	#	#	-0.031;0.076	#	0.472;1.137	-27878653786912872312696414474887196510105460937957053666215518346526860994125277411470891193691003859204824301452041087862936931051906056512069404297450796394319096429150208.000;47878853788912876124594080007798699351446975438902306379442596750519752479076531421162296058140010434087549949008201457972292999366979479843722184401919006902179464652783616.000	-0.205;2.014	#	#	#	#	#	#	#	#	#	#	#	#	010000100001000000101001000001010000000000000000000000001000001000010010100000010000000000000010101010000000010100000100000000000000000000000001000000000000000000000000000010	0.149	0.827	2	426.65	9697	987	0.21		25	410
