Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0.667;1.077	0.359;0.769	0.581;1.021	0.591;1.091	0.206;0.656	0.293;0.633	0.550;1.020	0.495;0.745	0.062;0.502	0.443;0.783	0.421;0.761	0.124;0.556	0.855;1.145	0.268;0.748	0.182;0.622	0.365;0.692	0.260;0.717	000001	1.000	1.000	1	57.35	49355	26	1.00		30	30
#	-0.009;0.261	-0.171;0.249	-0.127;0.213	0.081;0.461	#	0.366;0.706	-0.123;0.267	-0.143;0.197	0.419;0.739	0.826;1.096	0.755;1.030	-0.158;0.242	0.197;0.697	0.605;1.085	-0.103;0.382	0.795;1.043	000010	1.000	1.000	1	47.94	49382	53	0.88		30	30
-0.205;0.215	-0.168;0.172	0.073;0.523	#	0.529;0.859	0.858;1.108	0.010;0.510	#	#	0.428;0.848	0.472;0.762	0.374;0.699	-0.123;0.127	-0.148;0.152	0.443;0.813	0.424;0.682	0.209;0.537	010000	1.000	1.000	1	64.57	49395	66	0.82		30	30
-0.069;0.211	-0.137;0.193	-0.173;0.227	-0.245;0.245	-0.112;0.138	0.555;0.925	-0.135;0.205	0.585;0.835	0.712;1.022	0.571;1.061	-0.140;0.220	0.719;1.112	0.777;1.127	-0.194;0.226	0.535;0.965	0.550;0.986	0.745;1.162	010000	1.000	1.000	1	68.30	49396	67	1.00		30	30
0.875;1.125	0.785;1.215	0.647;1.077	0.745;1.115	0.770;1.120	0.378;0.828	0.698;1.138	0.348;0.598	0.720;1.060	0.100;0.360	#	0.379;0.870	0.820;1.180	0.775;1.035	#	0.363;0.838	0.382;0.868	001000	1.000	1.000	1	49.43	49453	124	0.88		30	30
0.086;0.356	-0.035;0.315	0.476;0.886	0.030;0.350	-0.124;0.266	0.290;0.560	-0.002;0.438	0.422;0.832	0.665;1.055	0.383;0.703	-0.050;0.400	-0.123;0.300	-0.068;0.212	0.414;0.824	-0.200;0.200	0.183;0.618	-0.239;0.247	000001	1.000	1.000	3	68.00	49465	136	1.00		30	30
-0.230;0.230	-0.240;0.240	0.410;0.870	0.062;0.502	#	0.318;0.678	0.593;0.903	-0.210;0.210	-0.215;0.215	0.471;0.871	0.340;0.590	0.013;0.485	-0.175;0.175	-0.210;0.210	-0.135;0.135	0.250;0.636	#	000001	1.000	1.000	1	57.90	49506	177	0.88		30	30
0.311;0.641	-0.009;0.291	-0.037;0.273	0.464;0.914	0.120;0.490	0.304;0.574	0.530;0.880	0.093;0.353	0.476;0.776	-0.131;0.329	0.160;0.570	-0.011;0.284	0.166;0.536	#	-0.007;0.433	0.217;0.494	0.365;0.682	000001	1.000	1.000	2	81.92	49515	186	0.94		30	30
-0.144;0.146	0.175;0.475	-0.115;0.135	0.016;0.386	-0.177;0.183	0.044;0.394	#	-0.037;0.433	-0.214;0.216	-0.139;0.221	0.292;0.712	0.806;1.121	-0.135;0.365	-0.214;0.216	0.787;1.157	0.302;0.599	0.685;1.032	100001	0.056	0.750	2	90.56	49543	214	0.94		30	60
#	-0.217;0.223	0.218;0.678	0.453;0.733	0.262;0.642	0.079;0.519	0.387;0.867	-0.180;0.180	0.154;0.634	0.452;0.942	0.679;1.089	0.044;0.388	0.336;0.736	0.311;0.601	-0.136;0.304	-0.102;0.185	0.126;0.493	000001	1.000	1.000	1	60.72	49559	230	0.94		30	30
#	-0.182;0.278	0.526;0.996	#	0.320;0.820	0.480;0.840	-0.149;0.261	0.591;1.031	#	0.319;0.619	#	0.437;0.732	-0.038;0.282	-0.167;0.203	0.482;0.942	0.646;0.983	0.154;0.630	100010	1.000	1.000	3	63.30	49569	240	0.76		30	30
#	0.005;0.415	-0.158;0.282	-0.114;0.246	#	-0.134;0.216	0.019;0.419	0.115;0.565	-0.121;0.239	0.227;0.242	-0.064;0.316	0.043;0.694	-0.205;0.275	-0.189;0.281	0.203;0.653	0.309;0.566	#	010000	0.004	0.717	1	3.50	243	243	0.82		0	0
0.750;1.250	0.450;0.860	0.355;0.785	0.401;0.891	0.750;1.250	0.584;0.944	0.760;1.240	-0.052;0.328	0.775;1.105	0.579;0.829	0.790;1.210	0.620;1.003	#	0.347;0.597	0.324;0.814	0.235;0.512	0.640;1.037	010000	1.000	1.000	1	36.77	49573	244	0.94		30	30
-0.048;0.452	#	0.047;0.307	-0.146;0.344	#	0.058;0.408	-0.161;0.189	0.701;0.991	0.151;0.421	0.012;0.442	#	#	0.196;0.686	0.609;0.969	0.455;0.735	0.669;1.065	0.586;1.023	001100	1.000	1.000	3	92.28	49594	265	0.76		30	30
0.153;0.563	0.542;0.802	0.177;0.537	0.260;0.640	0.524;1.004	0.536;0.906	0.262;0.642	0.061;0.521	0.463;0.773	0.495;0.995	0.235;0.655	0.375;0.837	0.305;0.725	0.398;0.758	0.301;0.801	0.016;0.263	0.447;0.754	001010	1.000	1.000	1	88.00	49623	294	1.00		30	30
0.134;0.444	-0.094;0.156	0.800;1.200	0.750;1.250	0.795;1.205	0.850;1.150	0.169;0.559	#	-0.172;0.308	0.785;1.215	#	0.036;0.410	-0.196;0.204	0.452;0.892	-0.225;0.225	0.539;0.935	0.192;0.579	010000	1.000	1.000	1	40.46	49637	308	0.88		30	30
0.875;1.125	-0.135;0.165	0.687;1.167	0.275;0.675	-0.126;0.204	-0.069;0.231	-0.201;0.239	0.540;0.910	0.708;1.068	0.020;0.310	-0.152;0.188	0.287;0.601	-0.112;0.138	0.114;0.474	0.169;0.539	0.557;0.943	0.339;0.766	100000	1.000	1.000	1	51.68	49644	315	1.00		30	30
0.541;0.851	0.440;0.800	0.687;0.987	0.750;1.250	0.765;1.235	-0.204;0.206	0.785;1.215	-0.176;0.304	-0.153;0.167	-0.171;0.179	0.760;1.240	-0.047;0.209	-0.118;0.152	-0.158;0.182	-0.159;0.331	-0.018;0.377	-0.015;0.243	010000	1.000	1.000	1	37.34	49676	347	1.00		30	30
-0.218;0.598	-0.169;0.191	-0.087;0.173	-0.190;0.250	#	-0.155;-0.090	-0.228;0.242	#	-0.166;0.174	-0.151;0.159	-0.079;0.191	0.515;0.957	-0.133;0.137	-0.138;0.142	0.575;0.875	0.587;0.983	0.596;0.913	000100	0.019	0.845	1	19.77	354	354	0.88		0	0
-0.075;0.215	-0.125;-0.113	-0.106;0.284	-0.163;0.277	-0.160;0.300	-0.103;0.187	-0.113;0.297	0.133;0.483	#	-0.157;0.343	-0.105;0.245	0.426;0.799	#	-0.025;0.295	0.511;0.761	0.492;0.779	0.464;0.950	000100	0.016	0.833	1	4.75	397	397	0.88		0	0
-0.058;0.342	-0.155;0.245	#	0.452;0.722	#	0.274;0.564	0.108;0.418	0.542;1.042	#	-0.150;0.220	0.411;0.661	0.367;0.819	-0.099;0.171	0.647;1.047	0.517;0.947	0.501;0.828	0.405;0.672	000001	1.000	1.000	1	68.42	49739	410	0.82		30	30
0.202;0.702	-0.032;0.328	0.109;0.509	0.032;0.382	0.209;0.519	0.113;0.613	-0.084;0.386	0.327;0.647	0.508;0.998	0.440;0.790	-0.066;0.364	0.527;0.959	0.653;1.053	0.522;0.822	0.520;0.930	0.308;0.754	0.653;1.030	000001	1.000	1.000	1	83.45	49788	459	1.00		30	30
-0.239;0.261	-0.132;0.178	-0.163;0.257	-0.074;0.306	-0.014;0.316	0.584;0.727	-0.153;0.187	-0.185;0.185	-0.021;0.379	0.172;0.572	-0.117;0.313	#	-0.021;0.279	0.056;0.356	-0.155;0.155	-0.228;0.228	-0.213;0.213	010000	0.100	1.000	1	1.00	464	464	0.94		0	0
-0.189;0.241	-0.060;0.200	-0.135;-0.067	-0.175;0.205	-0.198;0.262	0.121;0.501	#	0.265;0.725	#	0.060;0.460	-0.099;0.171	0.239;0.662	#	0.303;0.783	0.257;0.647	0.290;0.735	#	000001	0.031	0.889	1	1.33	474	474	0.76		0	0
-0.055;0.335	-0.126;0.344	0.488;0.858	0.310;0.670	0.332;0.732	0.013;0.263	-0.151;0.279	0.433;0.903	-0.087;0.213	0.530;0.920	0.645;0.965	0.188;0.453	#	-0.153;0.237	0.442;0.792	0.560;0.827	-0.117;0.240	000100	1.000	1.000	1	71.02	49841	512	0.94		30	30
0.755;1.245	0.765;1.235	0.760;1.240	0.765;1.235	0.775;1.225	-0.171;0.209	0.840;1.160	0.143;0.543	#	-0.120;0.220	0.850;1.150	#	#	0.293;0.773	0.420;0.730	0.296;0.573	0.420;0.856	010000	1.000	1.000	2	43.28	49845	516	0.82		30	30
-0.244;0.246	0.676;0.976	-0.125;0.175	0.805;1.165	0.785;1.215	0.734;1.024	0.582;0.962	0.206;0.646	-0.057;0.203	0.051;0.321	0.672;1.152	-0.184;0.288	0.396;0.866	0.616;1.096	-0.195;0.285	#	0.218;0.505	000001	1.000	1.000	1	33.90	49873	544	0.94		30	30
