-	/	0	00	04	0;	0cm	1	1-1/2	1-1/2-year	1-month	1-year	1-year-1-month	1-year-4-month	1-year-5-month	1/2	1/2/01	10	10-month	10-year	10-year-9-month	101	102	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	0	0	0	#	0	#	0	#	1	#	#	0	#	#	0	#	#	1	#	#	#	000000000000000000000000000000000000101000000	0.368	0.905	1	25.14	645	0	0.39		2	7
0	0	#	#	0	0	0	#	0	#	#	1	#	0	#	#	#	#	#	#	#	0	0	100000000000000000000000000000000000000000000	0.486	0.930	1	54.43	927	1	0.43		49	124
#	0	#	0	#	#	0	#	0	0	0	0	0	#	#	1	#	0	0	#	#	0	0	000000000000000000000000000000000001000000000	0.445	0.922	2	104.62	934	2	0.57		10	68
0	0	#	1	0	#	0	#	0	#	#	#	#	0	#	#	#	0	#	0	0	#	1	000000000000000000000000000000000000000001000	0.815	0.980	2	11.00	867	3	0.48		11	11
1	#	0	0	0	#	0	0	0	#	0	0	#	#	0	0	0	0	0	0	#	0	#	000010000000000000000000000000000000000000000	0.790	0.977	2	162.47	962	4	0.70		162	174
#	#	0	#	0	0	0	#	#	0	0	1	0	1	#	0	#	0	#	#	0	0	#	000010000000000000000000000000001000000000000	0.572	0.946	1	26.11	650	5	0.57		2	9
#	0	#	#	0	0	0	0	0	#	#	0	#	0	0	#	0	#	#	#	0	#	0	100000000000000000000000000000000000000000000	0.466	0.926	3	141.59	943	7	0.52		53	276
#	#	#	#	0	#	#	0	#	#	0	#	0	1	#	0	#	#	0	#	0	#	0	000010000000000000000000000000000000000000000	0.550	0.942	4	138.83	962	9	0.39		108	225
#	0	#	1	0	#	#	#	0	0	0	1	#	#	#	#	0	0	#	0	#	0	0	100000000000000000000000000000000000000001000	0.686	0.963	1	32.90	796	10	0.52		4	12
0	0	#	0	#	0	0	0	#	0	0	0	#	#	0	1	0	0	#	#	#	0	0	000000000100000000000000000000000000000000000	0.626	0.954	2	102.82	915	11	0.65		32	64
1	1	0	#	#	#	#	#	#	0	#	#	0	#	0	0	0	#	0	#	0	0	0	000010000000000000000000000000001000000000000	0.763	0.973	1	130.97	962	13	0.52		66	90
#	#	0	#	#	0	0	#	#	0	#	0	0	#	0	#	#	#	#	#	0	0	0	000000000000001000000000000000000000000000000	0.360	0.903	3	150.77	860	14	0.43		6	489
#	#	#	0	#	0	#	#	#	#	#	#	0	#	1	0	0	#	0	#	#	1	#	000000000010000000000000000000000000000000000	0.560	0.944	4	43.29	861	15	0.35		10	26
1	0	0	0	0	#	0	#	0	0	0	0	#	0	#	#	#	0	0	0	#	0	0	000010000000000000000000010000000000000000000	0.617	0.953	1	158.88	661	16	0.70		2	67
#	#	#	#	#	0	#	0	#	#	#	#	0	#	#	0	#	#	#	0	0	1	0	000000000000000000000000000000000000000001000	0.372	0.906	1	67.70	662	17	0.35		3	67
#	0	0	1	0	#	#	#	0	0	1	#	#	#	#	#	#	0	1	#	#	#	#	000000000000000000000000100000000000000001000	0.606	0.951	2	12.60	663	18	0.39		2	10
#	#	0	0	0	#	#	0	#	0	#	#	0	#	#	0	0	0	#	#	0	0	#	000000000000000000000000000000001000000000000	0.448	0.923	3	154.24	962	19	0.48		88	371
#	#	0	0	#	0	#	#	#	#	#	#	0	0	#	0	#	0	0	0	#	0	#	000000000000000000000100000000000000000000000	0.385	0.909	3	163.06	959	23	0.43		16	273
0	#	0	#	0	#	0	0	0	#	#	0	0	0	#	#	#	0	0	1	#	#	#	000000000100000000000000000000000000000000010	0.518	0.936	1	95.12	671	26	0.52		2	76
#	1	0	#	0	#	#	0	#	#	0	#	#	#	1	#	0	#	0	0	0	0	0	000000000010000000000000000000000000000000000	0.526	0.938	1	28.50	833	29	0.52		4	10
1	1	#	#	#	0	#	#	0	#	0	1	0	#	0	0	#	1	#	0	0	#	#	000000000000000000000000000000010000000000000	0.763	0.973	2	29.80	938	30	0.52		8	10
#	0	#	#	0	#	#	0	0	#	0	0	0	#	#	#	1	0	#	0	#	#	0	000000000000000000000000000000100000000000000	0.433	0.920	4	70.40	845	33	0.48		4	26
0	0	#	0	0	0	0	0	1	#	#	#	#	0	0	#	#	0	0	0	#	#	0	000000000000000000000001000000000000000000000	0.844	0.983	2	97.44	994	35	0.61		30	37
#	#	#	#	0	#	0	0	0	0	0	0	1	0	0	1	0	0	0	#	#	0	0	000000000000000000000000000000000000001000000	0.938	0.994	3	47.10	924	37	0.70		14	14
#	1	0	0	#	0	0	0	#	#	#	#	0	#	#	0	0	#	0	#	#	1	0	000010000000000000000000000000001000000000001	0.308	0.889	1	40.77	683	38	0.52		2	24
0	#	0	0	#	0	#	0	#	1	#	1	0	#	0	#	#	0	1	0	#	0	#	000000000000000000000000000000000000100000000	1.000	1.000	3	15.00	901	39	0.57		4	4
#	0	#	#	#	#	#	0	0	#	0	0	#	1	0	#	#	#	#	#	#	#	0	000000000000000000000000000000010000000000000	0.548	0.942	3	138.52	982	41	0.35		35	92
#	0	#	#	0	0	#	0	0	#	1	1	0	#	#	0	#	0	0	#	0	0	1	000000000000000000000000000000000000100000000	0.361	0.903	2	15.26	688	43	0.61		2	11
#	0	0	0	0	#	#	0	0	#	#	#	0	#	#	#	#	#	0	#	#	0	0	000000000000000000000000000000000001000000000	0.393	0.911	2	149.89	934	44	0.43		11	357
#	#	0	#	0	#	0	0	#	0	#	#	0	1	#	0	#	1	0	#	0	1	0	000000000000000000000000000000010000000000000	0.635	0.956	2	60.97	938	48	0.57		25	45
#	#	#	0	1	#	#	#	#	#	0	#	0	1	0	0	1	0	0	0	#	#	0	000010000000000000000000000000000000000000001	0.799	0.978	1	20.75	694	49	0.52		2	4
