landmass	zone	area	population	language	religion	bars	stripes	colours	circles	crosses	saltires	quarters	sunstars	crescent	triangle	icon	animate	text	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
4	4	-7580.680;7652.680	-286.280;288.280	6	#	1	#	#	#	0	#	#	1	0	0	0	#	#	1101010	0.214	0.857	2	23.35	955	0	0.58		16	16
4	#	#	#	#	2	3	#	#	#	#	0	0	0	#	0	0	#	#	0100100	0.004	0.571	2	39.79	904	1	0.42		8	16
1	4	#	#	#	1	#	13	#	0	#	0	#	#	#	#	0	0	0	1010100	1.000	1.000	3	14.62	905	2	0.47		8	8
#	#	#	#	10	#	0	3	3	#	#	0	#	0	0	0	0	#	0	1010100	0.000	0.238	1	58.01	520	4	0.53		8	24
4	#	-5041.490;5935.490	#	#	2	#	0	#	0	0	#	0	1	#	0	#	0	#	1100000	0.002	0.524	2	55.19	908	5	0.53		16	30
1	4	-6720.600;6720.600	#	1	#	#	0	6	#	#	#	1	0	#	#	#	#	#	1111101	0.134	0.818	2	25.78	900	8	0.42		15	22
#	1	-3696.330;3696.330	-347.760;347.760	6	0	#	#	#	0	0	0	0	#	#	1	0	#	0	1101010	1.000	1.000	1	28.38	783	9	0.63		8	8
5	1	#	547.920;820.080	#	4	0	3	4	#	0	#	0	#	0	#	#	#	#	0110101	1.000	1.000	3	10.62	913	10	0.53		8	8
4	#	-7087.700;8593.700	-160.320;172.320	#	5	#	#	#	#	#	0	#	#	0	#	0	1	#	1100011	0.000	0.429	2	29.36	917	14	0.42		8	16
#	#	-5211.580;7781.580	-323.680;351.680	#	#	#	0	2	#	#	0	#	0	0	0	0	0	#	1000100	0.037	0.719	4	66.16	896	19	0.53		31	61
5	1	14897.330;29906.670	#	#	6	#	0	#	#	0	#	0	1	0	#	#	0	#	1001000	1.000	1.000	1	10.00	925	22	0.53		8	8
1	#	#	#	1	#	#	#	3	0	0	1	#	0	#	1	#	#	#	0101010	1.000	1.000	2	31.88	927	24	0.42		8	8
4	4	-5377.490;5599.490	-185.480;187.480	#	#	#	11	3	0	0	0	#	1	#	0	0	#	0	1010100	1.000	1.000	1	31.62	930	27	0.68		8	8
#	#	#	-334.880;390.880	2	0	0	3	#	#	#	#	#	#	#	0	#	#	#	0010100	0.000	0.314	2	61.37	995	28	0.32		48	70
3	#	#	-378.000;378.000	6	#	#	0	#	#	#	#	#	0	0	#	0	#	#	1010100	1.000	1.000	3	34.23	984	29	0.37		16	16
