-	/	0	00	04	0;	0cm	1	1-1/2	1-1/2-year	1-month	1-year	1-year-1-month	1-year-4-month	1-year-5-month	1/2	1/2/01	10	10-month	10-year	10-year-9-month	101	102	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	0	0	0	0	0	0	0	0	1	#	#	0	0	0	1	1	0	1	1	0	0	0	000000000000000000000000000000000000101000000	1.000	1.000	1	32.41	49893	66	0.91		80	80
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	000000000000000000000000000000000000010000000	1.000	1.000	2	26.76	49467	285	1.00		71	71
0	0	1	1	#	#	1	0	0	0	0	1	0	0	0	1	0	0	0	#	0	0	0	100000000000000000000000100000000000000000000	1.000	1.000	1	32.63	49532	350	0.87		80	80
0	0	0	0	0	#	0	0	1	0	1	1	0	#	0	0	0	0	0	#	0	0	0	000000000000000000000000000000000000000000010	1.000	1.000	2	32.20	49361	824	0.87		69	69
0	0	1	1	#	#	1	0	0	0	0	#	0	0	0	1	0	0	0	#	0	0	0	100000000000000000000000100000000000000000000	1.000	1.000	1	32.63	49532	995	0.83		78	78
0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	#	1	0	0	0	1	100000000000000000000000000000000000000001000	1.000	1.000	1	30.21	49623	1086	0.96		78	78
0	0	0	0	0	1	0	0	1	0	1	1	0	#	0	0	0	0	0	0	0	0	0	000000000000000000000000000000000000000000010	1.000	1.000	1	32.20	49361	1469	0.96		68	68
0	1	0	0	0	0	0	#	#	0	1	1	0	0	0	1	0	0	0	0	0	0	0	000000000000000000000000000000000001000000000	1.000	1.000	1	34.75	49641	1749	0.91		77	77
0	0	0	#	#	0	#	0	#	0	0	#	#	#	#	1	0	0	0	#	#	1	#	000000000000000000000000100000000000000000000	1.000	1.000	1	45.38	49930	3328	0.52		148	148
1	0	0	#	1	0	#	0	0	0	0	1	0	1	0	0	0	1	0	0	#	1	0	000010000000000000000000000000000000000000001	1.000	1.000	1	42.93	49890	3933	0.87		73	73
1	1	0	0	0	#	0	#	0	0	0	0	0	#	1	0	0	1	#	0	0	1	#	000010000000000000000000000000000000000000000	0.462	0.985	1	59.81	49869	6446	0.78		200	200
0	0	#	1	0	0	#	0	0	#	0	1	0	0	0	#	0	0	#	1	0	0	0	000000000000000000000000000000000000000001000	1.000	1.000	1	42.44	49912	6687	0.78		69	69
#	0	1	1	#	#	1	0	0	0	0	#	0	0	#	1	0	0	0	0	0	0	0	100000000000000000000000000000000000000000000	0.103	0.956	1	32.63	49532	6952	0.78		68	68
0	0	0	1	0	0	#	0	0	0	1	1	#	#	0	1	#	0	0	#	0	0	1	000000000001000000000000000000000000000001000	1.000	1.000	1	28.25	49785	8495	0.78		66	66
#	#	#	0	0	0	0	0	0	1	#	1	#	0	0	0	1	0	0	#	#	1	1	100000000000000000000000000000000000100000000	0.325	0.978	1	40.94	49942	8652	0.70		66	132
