landmass	zone	area	population	language	religion	bars	stripes	colours	circles	crosses	saltires	quarters	sunstars	crescent	triangle	icon	animate	text	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	-3324.300;3396.300	-175.400;177.400	#	#	1	#	#	#	0	0	0	#	#	#	#	0	0	1101010	0.000	0.364	1	35.72	903	0	0.42		8	31
4	1	-4115.450;5965.450	#	10	#	3	0	2	0	0	#	0	#	#	#	0	0	#	0100100	1.000	1.000	3	20.75	904	1	0.63		8	8
#	4	#	-36.120;498.120	1	#	#	13	#	0	#	#	#	50	#	#	0	#	#	1010100	1.000	1.000	3	9.00	905	2	0.37		8	8
#	1	-4526.450;5554.450	#	#	#	#	#	3	0	#	#	#	#	#	0	#	0	0	1010100	0.000	0.429	2	82.69	906	3	0.37		31	102
#	4	-3585.360;4479.360	-111.040;151.040	8	#	0	#	2	0	#	0	0	#	0	0	#	0	0	1100000	1.000	1.000	5	30.25	908	5	0.68		8	8
3	#	#	-228.840;234.840	1	0	#	#	3	0	0	#	0	#	0	#	#	0	#	0100101	1.000	1.000	6	34.75	909	6	0.53		8	8
#	#	-5936.530;5936.530	-151.200;151.200	#	#	#	#	6	0	#	1	1	0	0	#	1	1	0	1111101	1.000	1.000	1	17.75	911	8	0.58		8	8
4	1	#	-221.760;221.760	#	0	#	#	4	#	0	0	#	#	#	#	#	#	0	1101010	1.000	1.000	1	17.25	783	9	0.42		8	8
5	#	-5984.560;6560.560	-305.440;309.440	8	#	0	3	#	0	0	#	0	1	0	1	#	0	0	1010110	0.035	0.714	4	34.31	914	11	0.74		8	16
#	1	#	-241.920;241.920	6	#	2	#	#	#	#	0	0	0	0	0	#	#	#	1001110	1.000	1.000	4	16.75	915	12	0.47		8	8
#	3	-6324.590;6892.590	-249.040;265.040	#	#	#	#	#	0	#	0	#	#	0	0	0	0	#	1011000	0.000	0.429	1	63.82	916	13	0.47		8	55
