landmass	zone	area	population	language	religion	bars	stripes	colours	circles	crosses	saltires	quarters	sunstars	crescent	triangle	icon	animate	text	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	4	#	-281.240;283.240	#	#	1	#	4	0	#	#	0	#	#	0	0	#	0	1101010	1.000	1.000	3	20.12	903	0	0.47		8	8
#	#	-7363.740;9213.740	#	10	2	3	#	2	0	#	#	#	0	#	0	0	#	0	0100100	1.000	1.000	2	30.62	904	1	0.53		8	8
#	#	#	94.920;367.080	1	#	#	#	#	0	#	0	#	50	#	0	0	#	#	1010100	1.000	1.000	3	11.75	905	2	0.37		8	8
5	1	-4190.420;5218.420	-243.320;341.320	10	3	0	5	#	#	#	0	0	0	0	#	0	0	0	1010100	1.000	1.000	2	25.00	906	3	0.79		8	8
#	4	-2353.250;3247.250	-126.160;166.160	8	2	0	0	#	0	0	0	#	1	#	#	#	0	#	1100000	0.045	0.733	1	33.01	908	5	0.63		8	15
1	4	#	#	1	#	#	#	#	0	1	1	1	0	0	#	#	1	#	1111101	1.000	1.000	2	14.77	900	8	0.53		15	15
#	#	-5936.530;5936.530	#	6	0	#	#	#	0	#	0	#	#	0	#	0	#	#	1101010	0.214	0.857	3	21.29	912	9	0.37		16	16
#	1	#	#	6	4	0	#	4	1	#	#	0	#	0	0	#	#	#	0110101	1.000	1.000	1	16.12	913	10	0.47		8	8
#	#	#	-297.360;297.360	#	0	2	#	4	0	#	#	#	#	#	0	#	#	0	1001110	1.000	1.000	2	21.75	915	12	0.37		8	8
#	3	-5540.520;6108.520	#	2	#	#	3	3	#	#	#	#	#	0	#	0	#	0	1011000	0.009	0.627	1	50.80	787	13	0.42		8	23
#	#	-2271.270;3777.270	-361.920;373.920	10	5	3	0	4	#	0	#	#	0	#	#	0	#	#	1100011	1.000	1.000	2	20.62	917	14	0.53		8	8
4	1	#	-143.240;169.240	10	#	#	#	#	1	#	#	0	0	0	#	#	1	0	1001110	1.000	1.000	5	8.12	918	15	0.53		8	8
