Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	0.137;0.447	0.311;0.741	0.379;0.799	#	#	0.247;0.647	-0.011;0.349	0.388;0.758	0.528;0.908	0.573;0.883	0.075;0.370	#	0.567;0.927	0.049;0.369	-0.041;0.364	0.015;0.422	000001	1.000	1.000	2	70.83	49342	13	0.76		30	30
0.154;0.544	-0.142;0.148	#	-0.009;0.411	-0.002;0.288	-0.021;0.299	-0.172;0.198	-0.170;0.170	0.342;0.652	0.064;0.454	-0.151;0.289	0.109;0.404	-0.089;0.191	-0.050;0.440	0.390;0.710	-0.223;0.223	-0.045;0.213	000001	1.000	1.000	1	103.73	49435	106	0.94		30	30
0.845;1.155	0.192;0.472	0.802;1.062	0.636;0.886	0.250;0.550	-0.001;0.449	0.501;0.881	-0.031;0.279	-0.112;0.248	-0.181;0.309	0.663;0.993	0.362;0.618	0.288;0.658	-0.095;0.385	0.181;0.651	0.102;0.399	0.399;0.845	000010	1.000	1.000	1	67.37	49440	111	1.00		30	30
-0.009;0.411	-0.193;0.287	0.097;0.387	-0.050;0.250	-0.108;0.222	-0.009;0.371	-0.093;0.177	0.479;0.819	0.025;0.305	0.064;0.374	-0.176;0.274	0.032;0.444	-0.091;0.289	-0.139;0.211	0.054;0.454	0.507;0.853	0.426;0.883	001100	1.000	1.000	3	187.45	49443	114	1.00		60	60
0.865;1.135	0.875;1.125	0.617;1.107	#	0.745;1.145	#	0.753;1.083	0.323;0.623	0.680;1.100	0.090;0.370	0.740;1.130	0.492;0.757	0.840;1.160	#	0.268;0.678	0.418;0.784	0.421;0.828	001000	1.000	1.000	1	72.16	49453	124	0.82		60	60
0.112;0.582	-0.060;0.310	-0.148;0.252	-0.139;0.171	-0.164;0.336	0.584;0.924	-0.098;0.152	0.490;0.930	#	0.273;0.613	-0.143;0.327	0.564;0.986	#	0.137;0.567	0.460;0.840	0.673;0.940	#	000110	0.056	0.750	2	117.51	49493	164	0.82		30	60
-0.170;0.568	-0.132;0.138	-0.188;0.312	-0.122;0.288	-0.004;0.276	0.002;0.352	-0.229;0.231	0.410;0.840	-0.103;-0.097	-0.117;0.383	#	0.278;0.759	-0.140;0.150	0.122;0.482	0.266;0.556	#	0.525;0.852	001000	0.100	1.000	1	1.00	173	173	0.88		0	0
-0.064;0.436	-0.171;0.319	-0.016;0.314	0.028;0.448	-0.030;0.270	#	-0.094;0.236	0.306;0.606	#	#	-0.122;0.358	0.270;0.732	-0.139;-0.106	#	0.218;0.708	0.345;0.701	0.223;0.689	001000	0.006	0.750	1	5.10	200	200	0.76		0	0
-0.249;0.251	#	-0.125;0.145	-0.049;0.451	-0.207;0.213	-0.016;0.454	#	-0.007;0.403	-0.154;0.156	-0.149;0.231	0.352;0.652	0.752;1.175	-0.020;0.250	-0.154;0.156	0.762;1.182	0.223;0.678	0.615;1.101	100001	0.056	0.750	2	96.10	49543	214	0.88		30	60
#	-0.107;0.203	0.531;0.991	0.860;1.140	0.365;0.775	0.425;0.895	-0.069;0.181	0.686;0.936	-0.152;0.208	0.269;0.669	-0.091;0.299	0.348;0.820	-0.078;0.322	-0.192;0.228	0.557;0.867	0.631;0.998	0.194;0.591	100010	1.000	1.000	1	74.99	49569	240	0.94		30	30
#	0.322;0.782	#	#	0.078;0.568	0.364;0.684	0.208;0.468	0.385;0.675	-0.101;0.169	#	0.120;0.570	0.348;0.712	#	-0.028;0.412	0.057;0.447	0.614;0.901	0.447;0.943	010000	1.000	1.000	1	143.08	49576	247	0.71		30	30
0.026;0.336	0.269;0.769	0.200;0.680	0.257;0.507	0.311;0.611	-0.048;0.342	0.166;0.496	0.333;0.813	0.371;0.711	0.242;0.552	0.255;0.645	0.085;0.360	0.342;0.652	0.314;0.784	#	0.322;0.768	0.229;0.715	001010	1.000	1.000	2	122.55	49589	260	0.94		30	30
-0.215;0.215	-0.185;0.185	-0.185;0.185	-0.135;0.135	-0.210;0.210	-0.125;0.185	-0.230;0.230	-0.139;0.311	-0.181;0.209	#	-0.230;0.230	-0.067;0.237	-0.232;0.258	-0.111;0.139	0.254;0.275	-0.149;0.326	-0.163;0.333	010000	0.065	0.958	1	2.88	282	282	0.94		0	0
#	0.477;0.867	0.177;0.537	0.290;0.610	0.574;0.954	0.486;0.956	0.272;0.632	0.116;0.466	0.368;0.868	0.560;0.930	0.315;0.575	0.444;0.768	0.385;0.645	0.393;0.763	0.406;0.696	-0.103;0.382	0.407;0.794	001010	1.000	1.000	1	102.62	49623	294	0.94		30	30
0.054;0.524	-0.204;0.266	0.780;1.220	0.760;1.240	0.805;1.195	0.760;1.240	0.214;0.514	0.690;0.970	#	0.865;1.135	0.414;0.844	0.066;0.380	-0.141;0.149	0.437;0.907	-0.140;0.140	0.519;0.954	0.197;0.574	010000	1.000	1.000	3	47.86	49637	308	0.94		30	30
