-	/	0	00	04	0;	0cm	1	1-1/2	1-1/2-year	1-month	1-year	1-year-1-month	1-year-4-month	1-year-5-month	1/2	1/2/01	10	10-month	10-year	10-year-9-month	101	102	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	0	#	0	#	#	#	0	#	0	1	#	#	0	#	#	0	0	#	1	#	#	0	000000000000000000000000000000000000101000000	0.502	0.933	2	27.25	645	0	0.43		2	4
#	#	#	#	0	0	0	#	0	0	#	1	#	0	0	#	#	0	0	0	0	0	#	100000000000000000000000000000000000000000000	0.534	0.939	3	105.87	920	1	0.57		47	101
#	#	#	0	#	0	#	0	#	0	0	#	#	0	0	1	0	#	0	1	0	0	#	000000000000000000000000000000000001000000000	0.480	0.929	5	97.11	934	2	0.57		11	49
#	#	0	1	0	0	#	0	0	0	0	#	0	#	#	0	#	#	#	#	0	0	1	000000000000000000000000000000000000000001000	0.799	0.978	2	37.50	511	3	0.57		4	4
1	0	#	#	0	0	0	#	0	0	0	#	0	1	0	0	#	0	0	0	#	0	#	000010000000000000000000000000000000000000000	0.915	0.991	2	135.07	937	4	0.70		41	45
#	#	0	#	#	0	0	#	#	#	#	#	0	#	#	0	#	#	#	0	#	#	#	000010000000000000000000000000001000000000000	0.391	0.910	2	189.49	983	5	0.26		84	615
#	0	#	0	#	#	0	0	0	0	0	0	#	#	0	#	#	#	0	#	#	0	0	000010000000000000000000000000000000000000000	0.508	0.934	1	186.57	937	6	0.52		116	396
#	#	1	#	#	#	#	0	0	0	0	0	0	#	#	0	#	#	#	0	0	0	#	100000000000000000000000000000000000000000000	0.955	0.995	3	98.47	943	7	0.48		46	48
1	0	0	0	#	#	#	0	#	#	#	#	0	#	#	0	0	1	#	#	0	1	0	000010000000000000000000000000000000000000000	0.533	0.939	3	48.70	820	9	0.52		11	27
0	#	#	1	#	#	0	#	0	#	#	1	0	#	#	#	#	#	#	0	0	#	0	100000000000000000000000000000000000000001000	0.540	0.940	1	81.52	277	10	0.39		6	55
#	#	0	#	0	0	#	#	#	0	#	#	0	0	#	1	0	#	#	#	#	#	0	000000000100000000000000000000000000000000000	0.576	0.946	3	91.74	898	11	0.39		45	97
#	#	0	#	0	0	0	0	#	0	#	#	#	#	0	0	0	0	0	#	0	0	#	000000000000001000000000000000000000000000000	0.361	0.903	1	201.84	860	14	0.57		5	376
1	0	#	0	#	0	0	0	0	0	#	1	#	#	1	#	#	1	#	#	0	1	#	000000000010000000000000000000000000000000000	0.635	0.956	1	21.00	660	15	0.57		3	6
1	0	#	0	0	#	#	0	#	#	#	#	0	0	#	#	0	#	0	#	0	0	0	000010000000000000000000010000000000000000000	0.644	0.957	1	183.06	661	16	0.52		2	67
