landmass	zone	area	population	language	religion	bars	stripes	colours	circles	crosses	saltires	quarters	sunstars	crescent	triangle	icon	animate	text	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	-4556.410;4628.410	-170.360;172.360	#	5	#	2	#	0	#	#	0	#	#	0	#	#	0	1101010	0.239	0.867	1	35.77	774	0	0.42		8	15
#	#	#	-95.200;207.200	10	2	3	#	#	#	#	0	0	#	#	#	0	#	0	0100100	1.000	1.000	4	33.88	904	1	0.42		8	8
#	#	#	#	#	#	0	13	3	0	#	#	1	#	0	#	0	0	#	1010100	1.000	1.000	4	18.88	776	2	0.42		8	8
#	#	#	-127.400;225.400	10	3	#	#	3	0	0	0	#	0	0	#	0	#	0	1010100	1.000	1.000	3	42.62	906	3	0.58		8	8
#	#	#	#	10	#	#	#	3	#	0	0	#	0	0	#	0	0	0	1010100	0.000	0.414	1	69.67	906	4	0.47		15	38
#	4	-5489.530;6383.530	-272.320;312.320	8	2	#	#	2	0	0	0	0	1	#	0	#	#	#	1100000	0.045	0.733	1	39.39	650	5	0.63		8	15
3	#	-5530.500;5670.500	#	#	0	#	#	#	#	0	#	#	#	0	#	0	#	#	0100101	0.000	0.084	1	70.03	909	6	0.32		8	39
4	2	-7495.750;9305.750	#	#	5	0	0	#	#	0	0	0	#	#	0	1	#	0	1101001	0.239	0.867	1	37.76	910	7	0.63		8	15
1	#	#	#	1	#	0	#	#	0	1	#	#	0	#	0	1	#	0	1111101	1.000	1.000	1	13.25	911	8	0.47		8	8
#	#	#	#	6	4	#	3	#	1	0	0	0	#	0	#	1	0	0	0110101	1.000	1.000	1	15.50	913	10	0.58		8	8
#	1	-6608.590;6608.590	#	6	#	#	0	#	0	0	0	#	0	#	0	1	0	#	1001110	1.000	1.000	2	31.88	657	12	0.58		8	8
#	3	#	#	2	0	#	#	3	#	0	0	#	0	#	#	#	#	#	1011000	0.045	0.733	2	55.18	787	13	0.37		8	15
4	2	-6639.660;8145.660	#	#	5	#	0	#	#	#	#	#	#	0	#	0	1	0	1100011	1.000	1.000	1	29.50	788	14	0.47		8	8
#	1	#	#	10	#	0	6	5	1	0	#	0	#	0	0	0	1	#	1001110	1.000	1.000	1	26.50	660	15	0.63		8	8
6	#	#	#	1	1	0	#	3	0	#	#	#	#	#	0	#	0	#	1010100	1.000	1.000	4	29.75	887	16	0.42		23	23
#	#	#	-321.640;343.640	#	0	#	#	#	0	0	0	1	#	0	0	0	0	#	1010100	1.000	1.000	2	29.00	275	17	0.53		8	8
2	3	#	#	2	#	3	#	#	0	#	#	0	0	0	#	#	0	0	1000100	1.000	1.000	1	31.25	922	19	0.53		8	8
#	#	#	-155.280;167.280	#	0	#	0	3	0	1	0	0	#	0	#	0	#	0	1010100	1.000	1.000	2	18.00	923	20	0.58		8	8
#	1	18817.680;25986.320	87.520;460.480	#	#	#	0	2	#	0	#	#	1	#	#	1	#	#	1001000	1.000	1.000	1	24.75	796	22	0.42		8	8
#	1	#	-297.360;297.360	10	#	2	#	#	0	1	0	0	#	0	#	1	0	#	1000110	1.000	1.000	4	11.25	926	23	0.58		8	8
#	4	-5325.480;5427.480	-260.080;264.080	#	0	#	5	#	#	0	#	#	#	0	#	0	0	0	1010100	1.000	1.000	1	44.50	799	25	0.53		8	8
#	4	-7725.700;7955.700	-236.960;256.960	2	#	#	5	3	#	0	0	0	#	#	#	#	0	0	1010100	1.000	1.000	1	38.75	799	26	0.58		15	15
4	#	#	-205.640;207.640	#	5	0	11	3	0	0	0	1	1	0	0	0	0	#	1010100	1.000	1.000	2	34.38	930	27	0.79		8	8
#	3	-4391.640;9945.640	-153.440;209.440	#	0	#	3	#	0	#	0	#	#	#	0	0	0	#	0010100	0.000	0.390	3	70.93	931	28	0.53		16	30
6	3	#	#	1	1	0	#	4	1	1	1	1	#	#	#	#	0	0	1011100	1.000	1.000	1	7.38	933	30	0.63		8	8
4	#	-8216.740;8360.740	-128.040;134.040	1	5	0	3	#	0	0	0	0	#	#	0	0	0	0	0110100	1.000	1.000	2	53.38	935	32	0.79		8	8
#	1	-7731.720;8397.720	-307.920;427.920	10	#	0	0	2	#	#	#	#	#	0	0	0	0	#	1001000	0.000	0.467	1	56.84	682	37	0.58		8	15
1	4	-7035.630;7077.630	-186.520;196.520	#	0	#	#	2	0	0	#	#	0	#	#	#	0	0	0010100	0.008	0.619	4	55.30	941	38	0.58		16	24
#	#	-3403.320;3765.320	#	#	3	#	0	2	#	0	0	0	0	#	#	1	#	#	1001000	1.000	1.000	2	56.00	813	39	0.47		8	8
6	#	#	#	#	1	0	0	7	0	#	1	1	#	0	0	#	1	0	1111101	1.000	1.000	2	13.62	943	40	0.63		8	8
3	#	-6688.620;7200.620	#	6	#	0	#	#	0	#	0	#	1	#	0	#	0	#	1011100	1.000	1.000	2	40.62	944	41	0.47		8	8
#	3	-3737.370;4551.370	-339.720;345.720	#	0	#	3	6	1	0	0	0	#	#	#	1	1	1	1111110	1.000	1.000	1	13.25	945	42	0.68		8	8
4	#	#	-167.360;175.360	3	5	#	0	#	0	#	#	#	0	#	0	#	#	#	1011000	0.000	0.429	1	41.85	817	43	0.42		8	16
#	1	#	-126.000;126.000	#	2	0	0	2	0	0	#	0	#	#	#	0	#	#	1000100	0.045	0.733	1	55.25	948	45	0.53		8	15
5	#	#	#	8	#	0	2	#	#	0	#	0	0	#	#	#	#	#	1100100	0.214	0.857	2	49.35	988	46	0.37		16	16
1	4	-6916.620;6972.620	-225.840;237.840	3	#	2	#	#	0	0	0	0	0	#	#	0	0	0	1000010	1.000	1.000	2	38.50	822	48	0.74		8	8
5	1	-5068.460;5236.460	#	8	#	1	#	4	0	0	0	#	0	#	0	#	#	#	1100110	1.000	1.000	1	36.12	696	51	0.58		8	8
#	4	#	-231.840;231.840	6	0	#	2	#	0	#	0	#	#	0	0	0	1	0	1101011	1.000	1.000	2	23.12	826	52	0.63		8	8
#	#	-7447.710;8457.710	-279.520;355.520	#	0	0	3	2	#	#	0	0	0	0	#	0	0	#	1001000	0.000	0.273	1	64.58	570	54	0.63		8	22
#	#	-4119.390;4617.390	-100.280;222.280	4	#	#	#	#	0	#	#	0	0	0	0	#	#	0	1001010	0.008	0.619	2	67.76	958	55	0.47		16	24
#	1	1496.280;17625.720	685.440;1330.560	#	6	#	0	2	0	0	0	0	5	#	0	0	0	0	1001000	1.000	1.000	2	16.88	959	56	0.79		8	8
#	1	-6042.600;7398.600	-206.920;276.920	10	#	#	0	#	#	0	0	#	#	0	0	#	#	0	1010100	0.001	0.494	2	73.50	843	57	0.53		16	44
4	1	#	-221.760;221.760	#	#	0	#	4	#	#	#	0	#	#	#	0	#	#	1110100	0.000	0.455	2	38.15	833	59	0.37		8	22
#	#	-4919.440;4937.440	-336.680;338.680	#	#	0	#	#	0	0	0	0	0	0	0	1	#	0	0101100	0.000	0.236	2	81.68	964	61	0.63		8	46
4	1	#	-316.760;378.760	10	1	#	3	#	#	#	#	#	#	0	#	#	#	0	1101000	1.000	1.000	1	50.50	62	62	0.42		8	8
3	1	-4365.390;4371.390	#	#	0	0	#	3	0	#	0	#	#	#	#	#	#	#	1010100	1.000	1.000	1	54.38	709	64	0.42		8	8
5	1	#	-169.360;173.360	#	#	#	#	3	2	0	#	#	#	1	#	1	0	0	1011000	1.000	1.000	1	15.62	968	65	0.53		8	8
6	#	-7727.690;7729.690	-131.040;131.040	10	1	0	#	#	#	1	0	#	#	#	#	0	0	0	1000100	1.000	1.000	2	21.50	969	66	0.58		8	8
3	4	-4704.420;4704.420	#	#	1	#	#	3	0	0	#	#	0	0	0	#	#	#	1001100	1.000	1.000	2	47.62	842	68	0.53		8	8
#	1	-7741.700;7939.700	-228.120;306.120	#	7	0	0	4	1	#	0	0	#	0	#	1	#	0	1010110	1.000	1.000	1	40.25	843	69	0.68		8	8
#	3	3359.540;13664.460	#	#	0	0	0	4	#	#	#	#	22	0	0	0	#	1	0111100	1.000	1.000	2	13.00	974	71	0.58		8	8
#	1	-7111.640;7225.640	-270.160;274.160	#	7	0	#	4	0	#	#	1	#	0	0	0	#	0	1101100	1.000	1.000	1	31.88	588	72	0.63		8	8
1	#	-6384.580;6608.580	-172.400;180.400	#	0	#	#	2	#	#	0	0	5	#	0	#	#	0	0010100	1.000	1.000	1	41.38	978	75	0.53		8	8
#	#	#	#	#	#	0	#	#	0	#	0	#	2	#	0	#	#	#	0010101	0.000	0.333	2	39.50	851	77	0.26		8	15
5	#	-5694.510;5730.510	#	#	2	#	#	4	#	#	0	#	0	0	#	0	0	#	1100110	1.000	1.000	1	49.56	696	78	0.47		15	15
1	#	-3472.310;3472.310	-378.000;378.000	#	1	0	0	6	1	#	#	1	4	#	0	#	1	1	1111101	1.000	1.000	2	10.38	982	79	0.68		8	8
5	#	-3451.310;3493.310	#	10	7	#	2	#	#	#	#	0	#	0	0	0	0	#	0010100	1.000	1.000	3	50.38	985	82	0.53		8	8
4	4	-4269.410;4915.410	-174.440;188.440	#	#	#	0	#	0	0	0	#	#	0	#	#	0	0	1100100	0.015	0.655	2	54.48	857	83	0.58		8	29
5	1	#	-123.000;129.000	#	2	0	2	4	#	0	#	#	0	0	#	0	1	0	1100101	1.000	1.000	1	43.50	988	85	0.68		8	8
3	4	#	#	#	#	#	0	#	0	1	1	#	0	0	0	0	#	0	1010100	1.000	1.000	2	14.75	989	86	0.58		8	8
4	2	#	#	#	#	0	#	3	0	0	#	0	#	0	#	0	0	#	0111000	0.000	0.255	2	75.32	990	87	0.53		8	23
#	1	-3676.340;3940.340	-322.640;342.640	6	#	#	#	#	#	1	#	1	0	0	0	#	0	0	0010100	1.000	1.000	4	13.62	991	88	0.58		8	8
1	#	-7280.650;7280.650	-191.520;191.520	1	#	#	#	3	0	0	0	#	0	0	#	0	1	0	0010101	1.000	1.000	2	36.25	992	89	0.68		8	8
#	#	-4540.420;4868.420	-229.880;243.880	#	#	#	0	2	#	0	0	0	1	#	#	0	0	#	1000100	0.001	0.518	2	60.62	644	90	0.53		15	51
#	#	#	#	#	0	#	#	7	0	0	#	#	#	0	#	1	1	#	1111111	1.000	1.000	1	32.75	92	92	0.37		8	8
4	1	#	-158.280;164.280	#	#	#	0	1	#	#	0	0	#	#	0	0	0	0	0100000	1.000	1.000	6	51.38	996	93	0.58		8	8
#	#	-5059.460;5245.460	-140.200;162.200	9	6	0	3	#	0	#	0	0	0	#	0	0	#	0	1100100	1.000	1.000	1	48.50	868	94	0.68		8	8
#	1	#	-213.360;381.360	#	#	1	#	2	0	0	0	0	1	#	0	#	#	#	0100100	1.000	1.000	3	23.38	998	95	0.53		8	8
#	#	-3969.360;4095.360	#	6	1	#	5	#	0	0	0	0	1	0	#	0	#	0	1101100	1.000	1.000	1	39.00	96	96	0.63		8	8
3	1	#	-176.400;176.400	#	0	0	2	2	#	#	#	#	#	0	0	0	#	0	1000100	1.000	1.000	1	40.86	614	98	0.58		7	7
6	1	-6532.610;7132.610	#	#	#	#	0	4	#	0	0	0	#	#	1	#	0	0	1011100	1.000	1.000	2	27.00	744	99	0.58		7	7
#	#	#	#	8	2	0	3	4	#	0	#	0	2	#	#	#	#	#	1100110	1.000	1.000	1	41.57	100	100	0.42		7	7
2	4	#	-287.280;287.280	3	#	#	0	3	#	#	#	#	#	0	#	0	0	#	1010100	1.000	1.000	2	35.57	488	101	0.47		7	7
#	#	#	#	#	3	0	0	3	#	#	#	#	#	#	0	0	#	0	1010100	1.000	1.000	1	21.86	232	103	0.37		7	7
2	#	-4132.370;4156.370	-267.120;267.120	1	1	0	#	6	#	#	#	#	0	0	#	1	1	1	1111100	1.000	1.000	3	8.86	878	104	0.63		7	7
#	1	-3777.350;4063.350	-247.680;427.680	#	#	#	0	2	1	#	#	0	0	#	0	0	#	#	1100000	1.000	1.000	2	36.57	751	106	0.53		7	7
#	#	-2665.330;4727.330	-320.560;324.560	#	#	0	#	#	#	0	#	#	#	#	#	#	0	#	0101000	0.000	0.019	2	87.73	990	107	0.26		84	456
#	4	-3472.310;3472.310	-317.520;317.520	1	#	#	#	4	#	#	#	#	#	#	#	#	1	#	0111100	1.000	1.000	3	18.43	882	108	0.32		7	7
#	4	-7485.670;7523.670	-267.120;267.120	1	#	#	3	#	#	0	#	#	0	#	1	0	0	#	0011010	1.000	1.000	2	34.29	883	109	0.53		7	7
#	1	#	-247.000;257.000	#	#	0	#	#	#	0	#	0	1	#	#	0	0	#	0010100	0.000	0.365	1	74.64	985	110	0.42		28	63
#	2	#	#	#	#	#	2	3	0	0	#	0	0	#	#	0	#	#	1100100	1.000	1.000	1	30.14	756	111	0.42		7	7
#	#	#	-228.960;264.960	#	5	#	0	#	0	#	#	0	#	#	#	#	0	0	0111010	0.000	0.238	1	47.94	888	114	0.37		7	21
#	#	-5153.470;5375.470	#	5	6	0	3	#	#	#	0	#	#	0	#	#	1	0	1111100	1.000	1.000	1	30.29	118	118	0.47		7	7
4	#	-5446.710;10458.710	#	8	2	#	3	#	0	#	0	#	0	#	1	0	#	#	1100110	1.000	1.000	1	29.86	119	119	0.53		7	7
1	#	#	-347.760;347.760	1	1	0	0	#	1	#	1	1	0	0	#	#	1	#	1111110	1.000	1.000	3	11.14	894	120	0.63		7	7
#	2	#	#	10	#	0	#	#	0	#	0	0	0	0	0	#	0	#	1000100	0.000	0.143	1	63.07	966	121	0.53		14	21
1	4	-3200.480;7552.480	-272.160;272.160	6	#	#	#	#	#	#	0	#	0	0	#	#	#	0	1000100	1.000	1.000	1	35.71	251	122	0.47		7	7
3	#	-3891.350;3949.350	-324.600;330.600	6	#	#	0	3	0	0	#	0	#	0	#	#	1	0	1001010	0.000	0.429	1	42.94	897	123	0.63		7	14
#	#	-5326.500;5874.500	#	3	#	#	2	3	0	0	#	#	#	#	0	#	0	0	1101000	1.000	1.000	1	40.43	125	125	0.47		7	7
#	#	#	#	#	1	3	0	3	#	0	#	0	#	#	0	0	#	#	1101000	1.000	1.000	1	24.86	127	127	0.42		7	7
#	#	-4556.410;13928.119	-170.360;172.360	#	5	1	2	#	0	#	#	0	#	#	0	#	#	0	1101010	1.000	1.000	1	33.67	774	129	0.47		6	6
#	1	-4080.390;4656.390	#	#	2	#	#	#	#	0	#	0	#	#	#	0	#	#	0000010	0.000	0.123	1	72.42	976	130	0.32		47	101
#	1	-4080.390;4656.390	#	#	2	#	#	#	#	0	#	0	#	#	#	0	#	#	1010100	0.000	0.276	1	72.42	785	130	0.32		7	101
#	#	#	-95.200;207.200	10	#	#	#	#	#	#	0	0	#	#	#	0	#	0	0100100	0.000	0.198	1	83.70	904	130	0.32		19	120
#	4	#	#	#	#	0	13	3	0	#	#	1	#	#	#	0	0	#	1010100	1.000	1.000	1	24.83	776	131	0.42		6	6
#	#	#	-127.400;225.400	10	3	0	#	3	0	0	0	#	0	0	#	#	#	0	1010100	1.000	1.000	2	55.67	906	132	0.58		6	6
#	#	#	#	#	#	0	3	3	#	#	0	0	#	#	#	#	#	0	0010100	0.000	0.182	1	94.28	936	133	0.32		41	102
#	#	#	#	#	#	0	3	3	#	#	0	0	#	#	#	#	#	0	0001000	0.000	0.199	1	94.28	990	133	0.32		61	102
#	4	-5489.530;6383.530	-272.320;312.320	8	2	#	0	2	0	0	0	0	1	#	0	#	#	#	1100000	0.035	0.714	1	44.48	650	134	0.68		6	12
#	4	-5489.530;6383.530	-272.320;312.320	8	2	#	#	2	0	0	0	0	1	#	0	0	#	#	1100000	0.035	0.714	1	44.48	650	134	0.68		6	12
3	#	-5530.500;5670.500	#	#	0	#	#	#	#	#	0	0	#	0	#	0	#	#	0100101	0.000	0.056	1	70.35	909	135	0.37		6	33
