Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	0.057;0.527	0.361;0.691	0.354;0.824	0.583;0.853	0.617;0.867	0.197;0.697	-0.051;0.389	0.438;0.708	0.578;0.858	0.553;0.903	#	0.238;0.568	0.617;0.877	0.049;0.369	#	#	000001	1.000	1.000	1	49.64	49342	13	0.76		30	30
-0.130;0.130	-0.125;0.325	-0.219;0.221	0.738;1.068	0.415;0.885	-0.132;0.298	0.800;1.200	0.593;0.923	#	0.845;1.155	-0.033;0.307	-0.167;0.167	-0.195;0.195	0.790;1.210	-0.135;0.135	#	-0.066;0.321	010000	1.000	1.000	2	33.29	49348	19	0.88		30	30
0.215;0.465	0.484;0.974	0.396;0.796	0.027;0.447	-0.087;0.383	0.058;0.328	-0.094;0.246	0.469;0.719	0.209;0.549	0.552;0.812	-0.148;0.252	0.265;0.727	0.273;0.573	#	-0.109;0.301	0.781;1.078	0.063;0.370	000001	1.000	1.000	1	62.14	49380	51	0.94		30	30
0.014;0.304	0.099;0.429	0.527;0.777	0.875;1.125	0.825;1.175	0.674;0.924	-0.170;0.200	0.257;0.757	0.122;0.382	-0.071;0.429	0.187;0.637	0.415;0.897	-0.169;0.271	0.115;0.505	0.619;0.869	#	0.131;0.479	000001	1.000	1.000	1	34.25	49446	117	0.94		30	30
0.760;1.240	0.840;1.160	0.632;1.092	0.710;1.150	0.710;1.180	0.368;0.838	0.688;1.148	0.263;0.683	0.695;1.085	#	0.695;1.175	0.428;0.821	0.785;1.215	0.720;1.090	0.248;0.698	0.418;0.784	0.491;0.759	001000	1.000	1.000	2	44.00	49453	124	0.94		30	30
-0.175;0.175	-0.205;0.205	-0.250;0.250	-0.210;0.210	-0.155;-0.152	-0.215;0.275	-0.195;0.195	-0.159;0.331	-0.121;0.149	-0.183;0.257	#	-0.067;0.237	-0.182;0.208	-0.236;0.264	-0.075;0.245	-0.075;0.252	#	010000	0.042	0.917	1	3.00	155	155	0.88		0	0
0.317;0.797	0.397;0.647	0.206;0.476	0.459;0.739	0.097;0.547	#	0.628;0.958	#	0.109;0.389	0.111;0.481	0.402;0.872	0.365;0.837	0.219;0.609	-0.028;0.282	0.279;0.779	0.259;0.566	0.193;0.649	000001	1.000	1.000	1	106.89	49491	162	0.88		30	30
-0.148;0.342	-0.071;0.249	0.097;0.427	0.393;0.803	0.546;0.916	0.597;1.047	0.102;0.532	0.337;0.687	0.002;0.362	0.239;0.729	0.561;0.861	0.275;0.736	-0.140;0.320	0.274;0.644	0.283;0.733	0.377;0.793	0.366;0.812	000001	1.000	1.000	1	61.77	49500	171	1.00		30	30
-0.124;0.146	-0.132;0.178	-0.108;0.202	-0.044;0.276	-0.019;0.321	0.257;0.697	-0.133;0.167	-0.200;0.200	-0.051;0.409	0.152;0.592	-0.087;0.283	-0.123;0.123	#	0.076;0.336	-0.150;0.150	-0.233;0.233	-0.238;-0.177	010000	0.100	1.000	1	1.00	172	172	0.94		0	0
-0.135;0.135	-0.210;0.210	0.450;0.830	0.132;0.432	0.390;0.890	0.323;0.673	0.588;0.908	-0.210;0.210	-0.165;0.165	#	#	0.068;0.431	-0.150;0.150	-0.170;0.170	-0.185;0.185	0.205;0.680	0.341;0.817	000001	1.000	1.000	2	43.38	49506	177	0.88		30	30
0.167;0.477	-0.009;0.371	0.163;0.543	0.128;0.428	0.093;0.483	-0.043;0.267	0.017;0.297	0.116;0.416	-0.152;0.238	-0.200;0.230	0.071;0.401	0.490;0.795	-0.080;0.330	-0.062;0.238	0.562;0.922	0.127;0.394	0.295;0.652	100010	1.000	1.000	5	138.20	49516	187	1.00		30	30
0.358;0.708	0.285;0.755	0.303;0.583	0.361;0.651	0.294;0.634	0.512;0.932	0.249;0.539	0.466;0.836	0.398;0.728	0.195;0.455	0.198;0.448	0.235;0.726	0.182;0.442	0.291;0.731	0.233;0.703	0.473;0.809	0.136;0.572	001000	1.000	1.000	1	88.55	49524	195	1.00		30	30
0.011;0.471	-0.003;0.347	0.106;0.356	#	0.336;0.706	0.006;0.466	0.787;1.207	0.506;0.876	-0.119;0.181	-0.004;0.386	0.407;0.767	0.592;0.847	0.564;0.884	-0.166;0.184	0.453;0.913	0.325;0.741	0.513;0.821	100010	1.000	1.000	1	55.72	49542	213	0.94		30	30
-0.071;0.429	0.029;0.529	0.163;0.663	0.586;0.856	0.306;0.576	#	-0.002;0.488	0.605;0.965	-0.000;0.440	-0.023;0.387	0.295;0.575	0.354;0.737	0.050;0.440	-0.067;0.313	#	0.588;0.894	0.147;0.593	000010	1.000	1.000	2	88.15	49551	222	0.88		30	30
-0.138;0.362	-0.051;0.289	0.089;0.339	0.157;0.517	0.563;0.963	0.263;0.513	0.375;0.695	-0.135;0.135	0.461;0.901	0.341;0.631	0.095;0.475	-0.090;0.332	0.595;0.855	0.100;0.380	-0.224;0.236	0.020;0.455	0.106;0.384	100000	1.000	1.000	2	61.91	49553	224	1.00		30	30
-0.215;0.215	0.607;0.957	-0.200;0.200	-0.130;0.130	0.795;1.205	0.696;0.956	0.478;0.858	-0.072;0.278	#	0.870;1.130	0.800;1.200	-0.177;0.177	-0.155;0.275	0.173;0.523	-0.185;0.185	0.287;0.663	-0.134;0.134	010000	1.000	1.000	1	36.02	49562	233	0.94		30	30
0.242;0.251	-0.061;0.229	#	-0.076;0.274	-0.057;0.203	-0.154;0.226	-0.148;0.282	0.072;0.572	-0.156;0.274	#	#	0.229;0.691	-0.057;0.203	-0.030;0.250	#	#	0.232;0.718	000010	0.031	0.889	1	4.33	237	237	0.71		0	0
0.732;1.022	0.439;0.709	0.830;1.170	0.671;0.951	0.585;0.935	0.572;0.882	0.148;0.598	0.253;0.593	0.865;1.135	#	0.383;0.813	0.381;0.754	0.215;0.545	0.569;0.889	0.114;0.604	0.032;0.438	0.570;0.818	000001	1.000	1.000	2	45.17	49567	238	0.94		30	30
0.775;1.225	0.410;0.900	0.415;0.725	0.466;0.826	0.790;1.210	0.514;1.014	0.825;1.175	-0.082;0.358	0.815;1.065	0.469;0.939	0.750;1.250	0.635;0.988	0.398;0.718	0.312;0.632	0.329;0.809	0.166;0.581	0.625;1.051	010000	1.000	1.000	3	31.84	49573	244	1.00		30	30
0.164;0.424	0.368;0.748	0.107;0.377	-0.106;0.314	-0.081;0.329	-0.136;0.244	0.392;0.732	#	-0.041;0.209	0.283;0.563	0.148;0.538	0.213;0.488	0.382;0.702	-0.116;0.174	0.146;0.616	0.281;0.667	0.527;0.785	000100	1.000	1.000	1	87.84	49583	254	0.94		30	30
0.056;0.306	0.374;0.664	0.310;0.570	0.237;0.527	0.226;0.696	#	0.181;0.481	0.383;0.763	0.331;0.751	0.222;0.572	0.255;0.645	0.040;0.404	0.327;0.667	0.339;0.759	-0.141;0.179	0.298;0.792	0.269;0.676	001010	1.000	1.000	3	71.23	49589	260	0.94		30	30
-0.004;0.436	-0.185;0.185	0.295;0.655	0.594;0.944	0.134;0.434	0.621;1.031	-0.170;0.170	-0.080;0.240	-0.066;0.364	0.417;0.847	-0.216;0.284	0.036;0.478	-0.210;0.210	-0.061;0.229	-0.002;0.318	-0.142;0.303	0.236;0.484	000001	1.000	1.000	1	68.97	49607	278	1.00		30	30
#	0.323;0.723	0.145;0.615	0.006;0.506	-0.079;0.391	0.004;0.344	#	#	0.149;0.479	0.307;0.707	0.121;0.381	0.033;0.387	0.228;0.678	0.663;1.083	0.198;0.538	0.476;0.872	0.386;0.684	000001	1.000	1.000	2	79.36	49613	284	0.82		30	30
0.192;0.472	0.388;0.888	0.251;0.651	#	0.513;0.913	0.528;0.838	0.577;0.827	0.299;0.739	0.481;0.951	0.593;0.843	0.505;0.805	0.382;0.706	0.402;0.682	0.023;0.373	0.329;0.749	#	0.324;0.622	000001	1.000	1.000	1	101.13	49619	290	0.88		30	30
