Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	#	#	#	#	#	#	#	#	-0.007;0.037	#	#	#	#	#	-0.152;0.320	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.315	0.891	2	61.20	9825	62	0.06		29	86
#	#	#	#	#	#	#	#	#	#	#	-0.023;0.025	#	-0.055;0.087	#	-0.398;0.398	#	#	#	#	#	#	#	-0.131;0.131	-3.104;3.104	-0.024;0.025	#	#	#	#	#	#	#	011001011010101010011000001010010100000000000000000000000000000110000100110000010000000000010001010100010100010010101000000000000000000010000100000110000000000001000000001000	1.000	1.000	1	48.40	9966	203	0.18		29	29
#	#	#	0.172;0.426	#	#	#	#	-0.023;0.200	#	#	#	#	#	#	#	#	#	#	-26362502626296250450050631730950663714977090573633539054171763173683566388232630794988245885202601665829818892342530858751580945324020560931498117843656565147281847654285312.000;46364704646496471344851119835120459503425631907220190878988971388267779055383566093400341907430077074559487905597488374352469255788921411788616047171727476052890350719598592.000	#	#	#	#	#	#	0.006;0.030	#	#	#	-0.026;0.505	#	#	010001101010100110100000101000010000000000000000000001000000000000000000110000010000001000010010000001010000010011000100000000010010000000000000000000000100000000000000000000	0.120	0.809	2	622.15	9728	316	0.15		28	5800
#	#	#	#	#	#	#	#	-0.108;0.237	#	#	#	#	#	#	#	-0.003;0.043	#	0.119;0.396	#	#	#	#	#	#	#	0.006;0.025	#	#	#	#	#	#	010110100101010000000001100000000001000000000000000000000001000000001000000000000010000000000010101010000100010001000100000010000000000000000000000000000000010000000000000000	0.104	0.797	1	611.32	9765	353	0.12		27	5915
#	#	#	#	#	#	0.203;0.508	#	#	#	#	#	#	#	#	0.722;1.915	#	#	#	#	#	#	#	#	#	#	-0.004;0.020	#	#	#	#	#	#	010101100101100100000100100010001000000000000000000000000010000000000110000100000000001100010010101010010100010100100000000000000000000100100000000010000000000000000000000000	0.087	0.783	3	628.02	9881	469	0.09		26	2850
10.811;11.112	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0.312;2.450	#	#	#	#	#	-0.015;0.024	#	#	#	#	0.292;0.528	#	010101101000100100101010101000000010000000010000000000000000000000000000000000000100000000000010100011010001000100000000000000000000000000000000000000000000000000000000000000	0.014	0.823	1	221.05	534	534	0.12		0	0
#	#	#	#	#	#	#	-2.584;2.584	#	#	#	-0.023;0.025	#	-0.055;0.087	-24.553;24.553	-0.398;0.398	#	#	#	#	#	#	#	-0.131;0.131	#	-0.024;0.025	#	#	#	#	#	#	#	011001011010101010011000001010010100000000000000000000000000000110000100110000010000000000010001010100010100010010101000000000000000000010000100000110000000000001000000001000	1.000	1.000	1	49.15	9966	554	0.21		27	27
#	#	#	0.062;0.630	#	#	#	#	#	#	#	#	#	0.003;0.153	#	1.846;2.642	#	#	0.274;0.671	#	#	#	0.315;4.628	#	0.799;5.606	#	#	#	#	#	#	#	#	010100100100100101100000100000101000000001000000000000000000100000000000010101000000000000000010100010000100010100010100000010100000000100100000000000000000000000000000010000	0.393	0.911	1	204.10	9750	689	0.18		26	52
#	#	#	#	#	#	-0.172;0.371	#	#	#	#	-0.007;0.037	#	#	#	#	0.142;0.186	-0.152;0.320	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.520	0.937	1	69.32	9825	764	0.12		26	52
#	#	#	#	-0.009;0.063	#	#	#	-0.068;0.174	#	#	#	#	-0.033;0.191	#	#	#	#	#	#	#	#	4.374;7.058	#	2.257;5.862	#	#	#	#	#	#	#	#	010101100001100101000100000100101010000000000000000000000100100000000100000101000101010000000000101010000100010110000000000000100000000000100000000000000000000000000000000010	0.105	0.798	1	439.78	9957	896	0.15		26	284
