Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Att18	Att19	Att20	Att21	Att22	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	0.228;0.314	#	#	4.296;10.305	-0.015;0.181	#	#	5.348;9.915	0.713;1.170	0.605;0.818	0.004;0.288	0.018;0.127	#	0.126;0.879	#	#	0.278;0.871	0.063;0.108	0.757;1.471	#	001100	1.000	1.000	1	71.13	9907	26	0.55		26	26
-90.190;-78.208	#	0.129;0.297	#	#	#	#	#	0.735;1.145	#	#	#	-0.127;0.341	0.010;0.092	#	#	0.824;1.327	-0.298;1.311	#	#	#	#	001100	1.000	1.000	1	58.31	9909	28	0.32		26	26
#	0.069;0.129	#	0.075;0.167	#	6.016;10.703	#	#	#	#	-0.165;0.340	0.482;0.689	0.397;0.839	#	0.020;0.025	0.445;1.101	#	0.486;2.505	#	0.136;0.166	#	#	000001	1.000	1.000	1	37.08	9980	99	0.45		26	26
#	#	#	#	1.056;2.149	#	#	-0.032;0.148	#	#	#	0.216;0.500	0.133;0.595	#	0.018;0.024	#	#	#	0.149;0.855	#	0.222;2.005	#	110001	1.000	1.000	1	35.77	9628	138	0.32		25	25
#	0.014;0.146	#	0.144;0.249	-0.361;0.361	4.338;7.943	0.044;0.208	0.048;0.217	#	2.034;6.972	#	#	-0.011;0.247	#	0.006;0.018	-0.207;1.124	#	-0.225;1.110	0.832;1.086	0.064;0.108	#	#	000100	1.000	1.000	2	60.28	9654	164	0.59		25	25
#	#	0.220;0.397	0.191;0.335	#	3.213;11.025	#	#	0.898;1.422	#	#	#	#	#	#	#	0.317;1.288	#	#	0.048;0.107	#	#	001110	1.000	1.000	1	47.41	9724	234	0.27		26	26
-85.343;-60.951	#	#	0.152;0.300	#	#	0.142;0.256	#	#	-0.087;4.973	#	0.587;0.794	#	0.109;0.178	#	-0.100;1.231	#	-1.066;1.467	#	#	0.310;1.188	#	110000	1.000	1.000	1	59.50	9725	235	0.41		26	26
#	#	#	-0.006;0.108	-0.230;-0.200	#	0.166;0.370	#	#	0.450;3.782	#	#	-0.030;0.399	-0.015;0.105	#	#	-0.415;0.841	#	#	0.084;0.112	#	#	100001	0.000	0.232	1	46.71	244	244	0.36		0	0
#	0.074;0.130	0.176;0.297	0.170;0.293	-0.335;0.335	#	-0.024;0.130	0.152;0.420	1.028;1.335	2.622;10.522	#	0.259;0.565	-0.099;0.250	0.054;0.108	#	0.310;0.947	#	#	#	#	0.837;2.017	#	000110	1.000	1.000	1	34.57	9790	300	0.59		26	26
#	#	#	0.123;0.211	-0.301;0.369	5.763;11.772	#	#	0.585;0.926	#	0.470;1.123	#	#	0.040;0.105	#	0.188;0.882	0.153;0.923	1.668;4.166	0.190;0.557	0.046;0.103	#	#	001110	1.000	1.000	1	43.77	9810	320	0.50		24	24
