Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Att18	Att19	Att20	Att21	Att22	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	-0.016;0.136	#	#	#	#	-0.065;0.231	0.284;0.395	#	#	0.781;1.102	0.627;0.796	0.014;0.278	#	0.004;0.012	#	#	0.020;1.047	0.264;0.885	#	#	-0.283;0.884	001100	1.000	1.000	1	79.28	9907	26	0.45		26	26
#	#	#	#	#	#	#	#	0.194;0.638	6.583;10.286	#	#	-0.020;0.198	#	#	#	-0.163;1.076	#	0.066;0.471	0.055;0.105	#	#	011000	0.058	0.565	1	73.73	9947	66	0.27		100	177
#	0.024;0.174	#	#	0.366;1.089	4.334;12.386	0.401;0.537	0.062;0.181	#	0.562;7.227	#	0.394;0.777	#	#	#	0.156;1.391	-0.225;0.411	#	0.438;0.777	0.124;0.177	#	0.287;0.790	000001	1.000	1.000	1	31.02	9980	99	0.55		26	26
-108.889;-78.506	0.108;0.166	#	#	#	1.998;9.089	#	0.088;0.292	0.296;0.980	#	#	#	#	#	#	0.115;0.867	0.349;0.885	#	0.420;0.684	#	#	#	000100	1.000	1.000	3	55.44	9626	136	0.36		25	25
#	#	0.101;0.269	#	-0.485;0.485	#	#	#	#	#	#	0.356;0.755	-0.130;0.365	#	#	#	#	-0.687;1.572	0.785;1.133	0.057;0.115	1.730;2.526	-0.199;0.770	000100	1.000	1.000	1	69.07	9654	164	0.41		25	25
-99.115;-68.304	0.018;0.096	#	0.186;0.368	-0.195;0.633	#	-0.002;0.198	#	#	#	0.042;0.819	#	-0.119;0.337	#	0.001;0.014	#	0.118;0.737	#	0.252;0.591	#	2.555;3.296	#	001000	1.000	1.000	2	67.56	9701	211	0.50		26	26
-91.924;-77.374	#	#	0.002;0.135	#	#	#	#	-0.100;0.344	2.607;6.434	#	#	0.337;0.548	0.003;0.061	0.004;0.015	0.521;1.543	#	1.470;3.695	0.229;0.813	0.104;0.151	-0.010;1.444	0.780;1.947	010000	1.000	1.000	1	55.27	9726	236	0.59		26	26
#	0.158;0.312	-0.008;0.182	0.046;0.143	-0.441;0.441	4.523;10.172	#	-0.056;0.220	#	3.611;7.190	#	0.147;0.447	-0.018;0.305	0.135;0.237	#	0.635;1.156	#	0.505;1.601	#	0.053;0.109	-0.167;1.809	0.380;1.726	000100	1.000	1.000	1	47.46	9761	271	0.68		26	26
-86.494;-54.827	0.015;0.156	#	0.129;0.220	#	-2.352;6.542	#	#	#	-1.092;6.684	0.188;0.656	0.720;0.960	#	0.051;0.140	0.005;0.010	#	0.096;1.168	-0.548;0.548	0.064;0.741	#	#	-0.350;0.350	000010	1.000	1.000	1	105.76	9837	347	0.59		25	25
-108.719;-89.462	#	0.035;0.187	#	-0.264;0.300	#	0.196;0.378	#	-0.075;0.426	#	-0.109;0.779	#	0.074;0.384	#	0.005;0.013	0.338;1.322	#	-0.963;1.501	#	#	#	#	001100	1.000	1.000	1	42.20	9840	350	0.45		25	25
#	#	0.119;0.255	0.140;0.330	-0.520;0.573	#	0.103;0.230	#	#	-0.386;6.773	#	#	0.080;0.469	#	0.005;0.012	#	0.044;0.529	0.686;1.987	#	0.086;0.109	#	0.319;0.804	100000	1.000	1.000	1	79.78	9929	439	0.50		24	24
#	0.024;0.174	#	#	0.366;1.089	4.334;12.386	0.401;0.537	0.062;0.181	#	0.562;7.227	#	0.394;0.777	#	#	#	0.156;1.391	-0.225;0.411	#	0.438;0.777	0.124;0.177	#	#	000001	1.000	1.000	1	32.76	9980	490	0.50		24	24
-99.115;-68.304	0.018;0.096	#	0.186;0.368	-0.195;0.633	#	-0.002;0.198	#	#	#	0.042;0.819	#	-0.119;0.337	#	0.001;0.014	#	0.118;0.737	#	0.252;0.591	#	2.268;2.555	#	001000	0.100	1.000	1	39.50	602	602	0.50		0	0
#	0.158;0.312	-0.008;0.182	0.046;0.143	-0.441;0.441	4.523;10.172	#	-0.056;0.220	#	3.611;7.190	#	0.147;0.447	-0.018;0.305	0.135;0.237	0.007;0.013	0.635;1.156	#	0.505;1.601	#	0.053;0.109	-0.167;1.809	0.380;1.726	000100	1.000	1.000	1	50.41	9761	662	0.73		24	24
-111.943;-85.839	0.158;0.312	-0.008;0.182	0.046;0.143	-0.441;0.441	4.523;10.172	#	-0.056;0.220	#	3.611;7.190	#	0.147;0.447	-0.018;0.305	0.135;0.237	#	0.635;1.156	#	0.505;1.601	#	0.053;0.109	-0.167;1.809	0.380;1.726	000100	1.000	1.000	1	50.41	9761	662	0.73		24	24
#	#	-0.025;0.171	#	1.366;2.160	#	#	#	#	0.231;4.181	#	0.438;0.743	#	0.065;0.119	#	-0.618;0.173	-0.232;0.856	#	#	#	#	#	000001	1.000	1.000	1	46.10	9823	724	0.32		23	23
-86.494;-54.827	0.015;0.156	#	0.129;0.220	#	-2.352;6.542	#	#	#	-1.092;6.684	0.188;0.656	0.720;0.960	#	0.051;0.140	0.005;0.010	#	0.096;1.168	-0.548;0.548	0.064;0.741	#	0.267;1.364	-0.350;0.350	000010	1.000	1.000	1	114.97	9837	738	0.64		23	23
-108.719;-89.462	#	0.035;0.187	#	-0.264;0.300	#	0.196;0.378	#	-0.075;0.426	7.085;10.418	-0.109;0.779	#	0.074;0.384	#	0.005;0.013	0.338;1.322	#	-0.963;1.501	#	#	#	#	001100	1.000	1.000	1	45.58	9840	741	0.50		23	23
-103.307;-84.050	0.036;0.129	#	#	#	2.436;11.209	#	0.003;0.290	0.182;0.479	0.968;6.029	#	0.541;0.710	#	0.023;0.100	#	#	#	#	0.021;0.718	0.085;0.111	0.642;1.356	#	001000	1.000	1.000	1	89.53	9862	763	0.50		23	23
#	0.118;0.191	#	0.140;0.330	-0.520;0.573	#	0.103;0.230	#	#	-0.386;6.773	#	#	0.080;0.469	#	0.005;0.012	#	0.044;0.529	0.686;1.987	#	0.086;0.109	#	#	100000	1.000	1.000	1	81.58	9929	830	0.45		23	23
-76.155;-64.173	0.008;0.123	-0.013;0.200	#	0.984;2.006	#	0.244;0.313	0.006;0.190	#	-1.409;7.231	#	#	0.340;0.769	-0.010;0.100	0.007;0.011	#	-0.314;0.774	#	-0.038;0.527	#	#	0.995;1.677	100000	0.080	0.603	1	97.56	9990	889	0.59		70	116
-108.889;-78.506	0.108;0.166	#	#	#	1.998;9.089	#	0.088;0.292	0.296;0.980	#	0.062;0.987	#	#	#	#	0.115;0.867	0.349;0.885	#	0.420;0.684	#	#	#	000100	1.000	1.000	1	60.59	9626	918	0.41		22	22
-77.681;-64.843	#	-0.025;0.171	#	-0.608;0.626	#	#	-0.011;0.166	-0.159;0.514	#	#	0.486;0.682	0.221;0.432	0.017;0.119	#	#	-0.232;0.856	#	#	#	#	-0.100;0.761	000001	0.039	0.522	1	88.66	9992	954	0.45		485	929
#	#	#	#	#	#	#	-0.007;0.173	0.194;0.638	6.583;10.286	#	#	-0.020;0.198	#	#	#	-0.163;1.076	#	0.066;0.471	0.055;0.105	#	#	011000	0.125	0.659	1	79.11	9947	1157	0.32		89	135
-88.044;-64.080	#	#	0.187;0.312	#	#	#	#	#	2.304;6.624	#	#	#	0.044;0.131	#	#	#	#	0.530;0.893	#	#	#	000110	1.000	1.000	1	97.54	9715	1197	0.23		23	23
#	#	#	#	-0.281;0.406	2.030;5.035	#	#	-0.179;0.664	0.659;4.856	#	#	#	#	0.004;0.009	0.140;1.221	0.089;0.508	0.604;2.418	0.133;0.387	#	#	0.823;1.900	011000	0.122	0.657	1	61.47	9906	1198	0.45		44	67
-98.962;-69.435	-0.030;0.108	#	0.215;0.398	#	#	#	#	#	#	#	0.513;0.829	0.014;0.278	#	0.004;0.012	#	#	0.020;1.047	0.264;0.885	0.058;0.096	#	-0.076;0.884	001100	0.073	0.592	2	48.21	9913	1205	0.45		132	223
#	0.008;0.068	#	#	-0.533;0.684	3.015;10.466	#	#	0.761;1.559	#	0.519;0.951	0.397;0.583	#	#	#	#	#	#	#	#	0.271;2.386	#	001110	1.000	1.000	1	69.49	9979	1271	0.32		45	45
#	0.024;0.174	#	#	0.366;1.089	4.334;12.386	0.401;0.537	0.062;0.181	#	#	-0.307;0.482	0.394;0.777	#	#	#	0.156;1.391	-0.225;0.411	#	0.438;0.777	0.124;0.177	#	0.287;0.790	000001	1.000	1.000	3	33.52	9980	1272	0.55		22	22
#	#	#	#	#	4.176;8.382	#	-0.007;0.173	0.081;0.913	6.583;12.552	#	0.473;0.741	#	#	#	#	0.134;1.076	#	#	#	0.821;2.111	#	011000	0.159	0.692	1	73.28	9947	1318	0.32		153	221
#	#	0.101;0.269	#	-0.485;0.485	#	#	#	#	#	#	0.356;0.755	-0.130;0.365	0.037;0.165	#	#	#	-0.687;1.572	0.785;1.133	0.057;0.115	1.730;2.526	#	000100	1.000	1.000	1	77.42	9654	1337	0.41		21	21
#	0.008;0.068	#	#	#	#	-0.085;0.188	#	0.761;1.559	#	0.519;0.951	#	-0.121;0.235	0.002;0.121	#	-0.493;0.510	#	#	#	0.060;0.087	1.110;1.988	-0.107;0.359	001110	1.000	1.000	1	83.91	9724	1407	0.45		22	22
#	0.199;0.312	-0.008;0.182	0.046;0.143	-0.441;0.441	4.523;10.172	#	-0.056;0.220	#	3.611;7.190	#	0.147;0.447	-0.018;0.305	0.135;0.237	#	0.635;1.156	#	0.505;1.601	#	0.053;0.109	-0.167;1.809	0.380;1.726	000100	1.000	1.000	1	50.22	9761	1444	0.68		22	22
#	0.181;0.241	-0.010;0.171	0.041;0.148	#	#	0.240;0.408	#	#	#	-0.148;0.420	0.360;0.743	0.368;0.751	0.065;0.119	#	#	-0.232;0.856	#	#	#	#	0.977;2.294	000001	1.000	1.000	1	47.45	9823	1506	0.45		21	21
-108.719;-89.462	#	0.035;0.187	0.077;0.212	-0.264;0.239	#	0.196;0.378	0.032;0.166	#	2.379;10.418	#	#	#	#	#	0.338;1.322	#	-0.963;1.337	#	#	#	#	001100	1.000	1.000	1	46.34	9840	1523	0.41		21	21
