Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)
5000	4395	5000	0.7069	0.6956	0.2111	0.000	0.000	0.000	3.69
10000	4514	5000	0.5452	0.7454	0.2363	0.000	0.000	0.000	9.07
15000	4590	5000	0.5397	0.761	0.2525	0.000	0.000	0.000	14.62
20000	4626	5000	0.5355	0.7646	0.2720	0.000	0.000	0.000	19.66
25000	4668	5000	0.5315	0.769	0.2912	0.000	0.000	0.000	25.04
30000	4703	5000	0.53	0.77	0.3047	0.000	0.000	0.000	29.48
35000	4721	5000	0.5296	0.7792	0.3155	0.000	0.000	0.000	33.50
40000	4738	5000	0.5284	0.7698	0.3212	0.000	0.000	0.000	37.52
45000	4716	5000	0.5279	0.7766	0.3239	0.000	0.000	0.000	41.52
50000	4737	5000	0.5266	0.7816	0.3299	0.000	0.000	0.000	45.52
