Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	#	-0.016;0.035	#	#	#	#	#	#	#	-0.191;0.380	-0.117;0.158	#	#	#	#	#	#	#	-0.023;0.503	#	#	#	#	#	#	#	#	#	#	#	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.315	0.891	3	56.59	9825	62	0.12		29	86
#	-0.005;0.017	#	#	#	#	#	#	#	-0.093;0.093	#	#	#	-0.141;0.173	#	#	0.018;0.094	#	#	#	#	#	-2.109;2.109	-0.079;0.079	#	#	#	#	#	#	#	#	#	011001011010101010011000001010010100000000000000000000000000000110000100110000010000000000010001010100010100010010101000000000000000000010000100000110000000000001000000001000	1.000	1.000	1	45.40	9966	203	0.18		29	29
#	#	-0.008;0.020	#	#	#	0.210;0.833	#	#	#	#	#	#	#	-106.898;-57.792	0.059;1.376	#	#	#	-8585751767703583318615672001372728660381482435928241724344943736322506291626487185209102163343119580165053322923089171633907531314121034736467217243287314239134900789706752.000;28787951969703782455166149677678756757094317305687789872563958639423433626606464048833201237406634569504165507705171145738995833980497284514322673324357736391543482816135168.000	#	#	5.093;7.872	#	#	#	#	#	#	#	#	#	#	010101100101000101000101100101010001000000000000000000000001000000001000000000000010101000001010100011000100110011000100000010000000000000000000000000000000010000000000000000	0.321	0.893	1	482.89	9999	236	0.18		29	57
#	#	0.008;0.039	-0.045;0.461	#	#	#	#	#	#	#	#	#	0.051;0.254	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0.314;0.734	#	101000010001101001010101010110010101100010000000011000000000000000000010101000010000001000000000010100001100010011010100010000000000010000000000000001000000000000000001001100	0.067	0.763	1	757.99	9657	245	0.12		28	7089
6.123;9.235	#	#	#	#	#	#	#	#	#	0.081;0.641	#	#	#	#	1.854;2.525	#	#	#	#	#	0.262;0.733	#	#	#	-0.001;0.023	#	#	#	#	#	0.127;0.643	#	010010000001010100000101000000010001000000000000000000000001000000001001000000000010001000001100100000010100010011000100010001000000000000000000000000000000010000000000000000	1.000	1.000	1	179.77	9690	278	0.18		28	28
0.198;7.459	#	#	#	#	#	#	#	#	#	#	#	0.246;0.754	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	000001010100000000010101010000010101000010000000000000000000000000000010111000010000000000000000000000100000110010000100000000000000000000000000000000100000000000000000000000	0.141	0.822	3	710.58	9703	291	0.06		28	8354
#	#	#	#	-0.016;0.035	#	#	#	#	#	#	#	-0.191;0.246	-0.117;0.158	#	#	#	#	#	#	#	-0.023;0.503	#	#	#	#	#	#	-0.059;0.529	#	0.511;1.203	#	#	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.311	0.890	1	56.60	9825	413	0.18		27	82
#	#	#	#	#	#	#	#	#	#	#	#	#	0.036;0.290	#	#	#	#	#	#	#	#	#	0.088;0.273	#	#	#	#	#	#	#	#	#	010101100000100101100010100000001000000000100000000000100000001010000100100000010000000000001010100011000000010110000000000010011000100000100000000010000000000000100000000000	0.072	0.768	1	637.83	9988	576	0.06		27	7303
#	0.009;0.047	#	#	-0.019;0.045	#	#	#	#	#	#	#	#	#	#	#	#	0.233;0.533	#	#	#	#	#	0.341;0.466	#	#	#	#	#	#	#	#	-0.008;0.128	010001001000010010001001100000010101000000000000000000000000000000000000110000000000000000001011010100010100010010100000100000000000000000000000000000000000000000000010000000	1.000	1.000	2	151.96	9706	645	0.15		26	26
0.451;6.098	#	#	#	#	#	#	#	0.038;0.175	#	0.228;0.689	0.057;0.122	0.339;0.674	#	#	#	#	#	#	-23231302223153231029221307540949154330868716549043790738535312253173038801255471068323026682327198430320359793424528833912703060713656913220518481894782666218192871983415296.000;23233302423353230117521478181818507725333022813723870052095157050295876343277099165925237740743679653817252883037150120570440123330722680461776679087268248993028254755454976.000	#	#	#	-0.021;0.213	#	#	#	#	#	#	#	#	0.072;0.215	000001000100100000001000001000000110100000000000000000000000000001000000110000010000000000000001000000010100010110000100010000000010000000100000000000000000000000000000000000	0.150	0.827	1	777.77	9743	682	0.24		26	4835
-0.226;5.767	#	#	#	#	#	#	-2.706;2.609	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0.273;0.622	#	001000010101000000010100000100010101000010000000010000000000000001000000010000010000000000000001010101000000010010000100110000000000000000100000000000000000000000000010000000	0.125	0.812	2	763.57	9935	874	0.09		26	5482
6.123;9.235	0.013;0.050	-0.002;0.030	#	#	#	#	#	#	#	0.081;0.641	#	0.127;0.652	#	#	1.854;2.525	#	#	#	#	#	0.262;0.733	#	#	#	-0.001;0.023	#	#	#	#	#	0.127;0.643	#	010010000001010100000101000000010001000000000000000000000001000000001001000000000010001000001100100000010100010011000100010001000000000000000000000000000000010000000000000000	1.000	1.000	2	185.60	9690	980	0.27		25	25
#	0.031;0.067	-0.001;0.034	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	010101100000000000100000100000001000000000000000000000000000001000000000100010000000000000000000000001010101010110000000010000000000000000000000000000000000000010000000000000	0.141	0.822	1	643.53	9780	1070	0.06		25	8142
#	#	0.021;0.059	#	#	#	#	#	#	-0.093;0.093	#	#	#	-0.141;0.173	#	#	0.018;0.094	#	#	#	#	#	-2.109;2.109	-0.079;0.079	#	#	#	#	#	#	#	#	#	011001011010101010011000001010010100000000000000000000000000000110000100110000010000000000010001010100010100010010101000000000000000000010000100000110000000000001000000001000	1.000	1.000	1	46.39	9966	1256	0.18		25	25
#	-0.005;0.017	#	#	#	#	#	#	#	-0.093;0.093	#	#	#	-0.141;0.173	#	#	0.018;0.094	#	#	#	#	#	-2.109;2.109	#	#	#	#	#	#	#	#	#	#	011001011010101010011000001010010100000000000000000000000000000110000100110000010000000000010001010100010100010010101000000000000000000010000100000110000000000001000000001000	1.000	1.000	1	46.39	9966	1256	0.15		25	25
#	#	#	#	-0.016;0.035	#	#	#	#	#	-0.087;0.276	#	-0.191;0.380	-0.117;0.158	#	#	#	#	#	#	#	-0.023;0.503	#	#	#	#	#	#	#	#	#	#	#	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.310	0.890	1	56.61	9825	1466	0.15		24	73
1.850;8.073	0.020;0.065	#	#	#	#	#	#	-0.050;0.191	#	#	#	#	#	#	#	-0.029;0.066	#	#	-23332303233353334813763561333596358802809573852703970792479058844056180640081967785681792213458942126994838759063239815433544782896890454227945268106061668685173819369848832.000;43334303433373333696360704399245219129293720836138498915686914647704628744363005214217596660777065507588333133836332792208145959604164391220814049541350848322345653587935232.000	-0.366;1.127	0.000;0.296	#	#	#	#	#	#	#	#	#	#	#	010001000100010000000100000000000001000000000000000000000001000010000000000000010000100000001000000100010100110011010000000000000000001000000000000000000000000000000000000000	0.141	0.822	2	713.25	9862	1503	0.21		23	4185
#	#	0.021;0.059	#	#	-0.696;0.696	#	#	0.315;0.666	-0.093;0.093	#	#	#	-0.141;0.173	#	#	0.018;0.094	#	#	#	#	#	-2.109;2.109	-0.079;0.079	-2.453;2.453	#	#	#	#	#	#	#	#	011001011010101010011000001010010100000000000000000000000000000110000100110000010000000000010001010100010100010010101000000000000000000010000100000110000000000001000000001000	1.000	1.000	1	46.09	9966	1607	0.27		24	24
#	#	#	#	#	#	#	#	#	#	-0.087;0.276	#	-0.191;0.380	-0.117;0.158	#	#	#	#	#	-5141501515165050284697598051417895189593249623988581057012569768473792429136651505617191055937826334149404936769577358643383563213161950745796583051440477223232497380229120.000;25161501515165250463178131767778406151407884743033806415137736299005934839036763864544720524325789807679472895705430655149970687250563871220917652371636206610172585275555840.000	#	-0.023;0.503	#	#	#	#	#	#	-0.059;0.529	#	0.511;1.203	#	#	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.310	0.889	1	56.60	9825	1817	0.21		23	70
#	#	#	#	#	#	-0.107;0.697	#	#	0.057;0.282	#	#	#	#	#	#	#	-0.173;0.309	#	#	-0.898;1.038	0.013;0.363	#	#	#	#	#	#	#	#	#	#	#	010100100000000100001010100000001000000000000000000000000000000000000000000000010100000000000000101000000000001100000100000010000010000000100000000000000000000000000000000000	0.513	0.935	1	65.84	9883	1875	0.15		22	45
7.630;13.969	#	-0.004;0.030	#	#	#	#	#	#	#	0.458;0.763	#	#	#	-117.540;-53.156	#	-0.036;0.051	0.340;0.795	#	#	#	#	-0.450;5.109	#	#	#	#	#	#	#	#	#	-0.019;0.102	010000101010001010001000001000000000001000000000000000000000001000000000000000000100000000010101000100010010000101000000000000000000000000000000000000000000000010000000000100	0.112	0.804	1	544.06	9696	2039	0.24		22	270
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	-0.026;0.071	#	#	-25868653676891869676908117571909244176200394090724550848373761968044455409272768589345674570657276661685132765528730509497959750518871149944717431098289614748793208611799040.000;47868653696911865575321655053439946577852765743059867301909632867808918973847605070819901973478882011378290290887733146047357954683290702068614541622852222199506638074806272.000	-0.108;1.748	#	#	#	#	#	0.002;0.041	#	#	-0.407;1.709	#	#	#	011000000010010000000001000000000001000000000000000000000001000000000001000000000010100000000001010100010100010011001010000000000000000000000000000000000000010000000000000000	0.120	0.809	1	659.86	9735	2078	0.15		22	6139
