Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	-0.069;0.321	-0.106;0.184	-0.137;0.223	0.076;0.466	0.809;1.169	0.306;0.766	-0.158;0.302	-0.108;0.162	0.439;0.719	0.781;1.141	0.735;1.049	-0.203;0.287	0.292;0.602	0.655;1.035	-0.044;0.322	0.706;1.132	000010	1.000	1.000	1	52.91	49382	53	0.94		30	30
-0.200;0.200	-0.215;0.215	-0.150;0.150	-0.195;0.195	-0.140;0.140	-0.120;0.180	-0.125;0.125	-0.144;0.316	#	-0.198;0.272	-0.195;0.195	-0.136;0.306	0.194;0.263	-0.151;0.179	-0.080;0.250	-0.149;0.326	-0.148;0.318	010000	0.100	1.000	1	1.00	75	75	0.94		0	0
-0.200;0.200	-0.215;0.215	-0.150;0.150	-0.195;0.195	-0.140;0.140	-0.120;0.180	-0.125;0.125	-0.144;0.316	#	-0.198;0.272	-0.195;0.195	-0.136;0.306	-0.237;0.263	-0.151;0.179	-0.080;0.250	-0.149;0.326	0.313;0.318	010000	0.100	1.000	1	1.00	75	75	0.94		0	0
0.145;0.186	0.024;0.284	-0.159;0.171	-0.177;0.223	0.013;0.373	-0.111;0.159	-0.161;0.279	0.467;0.887	-0.178;0.302	-0.134;0.226	-0.050;0.430	0.322;0.627	-0.063;-0.040	-0.128;0.172	0.312;0.592	0.468;0.755	0.339;0.735	100000	0.016	0.833	1	5.00	102	102	1.00		0	0
0.099;0.599	#	0.078;0.538	0.066;0.336	-0.107;0.393	-0.001;0.279	-0.237;0.263	-0.170;0.170	0.372;0.622	0.024;0.494	-0.166;0.304	#	-0.169;0.271	#	0.315;0.785	-0.203;0.203	-0.100;0.267	000001	1.000	1.000	1	117.12	49435	106	0.82		30	30
-0.031;0.349	0.129;0.399	0.512;0.792	0.770;1.230	0.790;1.210	0.569;1.029	-0.175;0.205	0.342;0.672	0.122;0.382	-0.026;0.384	0.182;0.642	0.523;0.789	-0.094;0.196	#	0.529;0.959	0.583;1.078	0.156;0.454	000001	1.000	1.000	2	49.99	49446	117	0.94		30	30
0.765;1.235	0.765;1.235	0.612;1.112	0.775;1.085	0.730;1.160	0.353;0.853	0.778;1.058	0.348;0.598	#	0.020;0.440	0.695;1.175	0.472;0.777	#	#	0.243;0.703	0.408;0.794	0.421;0.828	001000	1.000	1.000	1	41.41	49453	124	0.82		30	30
#	0.080;0.570	#	0.061;0.341	-0.217;0.223	0.004;0.434	0.638;0.978	0.063;0.333	-0.204;0.206	-0.194;0.276	0.272;0.732	0.782;1.145	#	#	0.747;1.197	0.228;0.673	0.635;1.082	100001	1.000	1.000	1	81.94	49543	214	0.76		30	30
0.299;0.649	0.216;0.546	0.210;0.590	0.304;0.664	0.269;0.719	0.137;0.537	0.100;0.460	0.420;0.820	0.163;0.613	0.203;0.573	0.471;0.569	0.291;0.782	0.089;0.399	0.198;0.478	#	0.522;0.938	0.469;0.777	001000	0.100	1.000	1	1.00	215	215	0.94		0	0
-0.128;0.192	-0.119;0.141	-0.167;0.253	-0.115;0.175	-0.130;0.210	-0.235;0.245	#	0.543;1.043	#	-0.121;0.129	0.256;0.341	0.501;0.972	-0.148;0.152	-0.143;0.147	0.600;0.850	0.567;1.002	0.566;0.943	000100	0.025	0.872	1	7.31	216	216	0.88		0	0
