Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0.272;0.622	0.057;0.527	0.306;0.746	0.434;0.744	0.478;0.958	0.567;0.917	0.227;0.667	-0.041;0.379	0.333;0.813	#	0.558;0.898	0.075;0.370	0.173;0.633	0.502;0.992	0.014;0.404	-0.046;0.369	0.025;0.412	000001	1.000	1.000	1	60.98	49342	13	0.94		30	30
0.742;1.002	0.419;0.709	0.636;0.966	0.651;1.031	0.306;0.556	0.318;0.608	0.555;1.015	0.465;0.775	0.097;0.467	0.448;0.778	#	0.183;0.497	0.785;1.215	#	0.222;0.582	0.296;0.761	0.285;0.692	000001	1.000	1.000	1	51.93	49355	26	0.88		30	30
-0.144;0.156	-0.091;0.399	-0.199;0.211	-0.132;0.178	0.038;0.348	-0.166;-0.045	-0.141;0.259	0.447;0.907	-0.143;0.267	-0.129;0.221	0.005;0.375	0.352;0.597	-0.063;0.287	-0.193;0.237	0.277;0.627	0.448;0.775	0.354;0.721	100000	0.016	0.833	1	3.33	102	102	1.00		0	0
-0.209;0.241	0.641;0.931	0.092;0.572	#	-0.080;0.390	0.117;0.497	-0.081;0.209	0.155;0.515	-0.119;0.191	0.132;0.572	-0.082;0.238	#	0.233;0.703	-0.137;0.223	-0.080;0.300	-0.092;0.284	#	000001	1.000	1.000	1	74.54	49449	120	0.82		30	30
0.830;1.170	0.825;1.175	#	0.700;1.160	0.715;1.175	0.403;0.803	0.733;1.103	0.258;0.688	0.715;1.065	-0.010;0.470	0.745;1.125	0.408;0.840	0.825;1.175	0.780;1.030	0.253;0.693	0.413;0.789	#	001000	1.000	1.000	1	49.89	49453	124	0.88		30	30
-0.038;0.070	-0.064;0.406	-0.012;0.418	-0.123;0.367	0.125;0.405	-0.092;-0.059	0.075;0.355	0.245;0.665	0.014;0.414	#	-0.017;0.433	0.086;0.508	0.001;0.431	-0.062;0.366	0.060;0.430	0.284;0.591	-0.057;0.641	001000	0.031	0.889	1	2.33	161	161	0.94		0	0
-0.128;0.322	-0.126;0.304	0.117;0.407	0.463;0.733	0.546;0.916	0.582;1.062	0.172;0.462	0.282;0.742	0.042;0.322	0.309;0.659	0.496;0.926	0.329;0.682	-0.095;0.275	0.234;0.684	0.268;0.748	0.392;0.778	0.381;0.797	000001	1.000	1.000	1	71.79	49500	171	1.00		30	30
-0.085;0.225	-0.187;0.273	-0.176;0.304	-0.095;0.225	-0.120;0.230	0.243;0.583	-0.062;0.198	#	#	0.564;0.824	-0.083;0.237	0.493;0.926	#	-0.092;0.168	0.451;0.851	0.535;0.921	0.569;0.886	000110	0.162	0.833	3	112.22	49526	197	0.82		30	60
0.582;0.842	0.361;0.831	0.636;0.976	0.665;1.015	0.660;0.960	0.548;0.808	0.467;0.817	0.195;0.515	0.378;0.678	0.098;0.518	0.813;1.153	#	0.486;0.926	0.244;0.544	0.334;0.714	0.166;0.453	0.347;0.595	000001	1.000	1.000	5	55.71	49528	199	0.94		30	30
-0.103;0.327	-0.101;0.269	-0.138;0.292	-0.070;0.300	-0.102;0.258	-0.045;0.215	-0.106;0.294	0.491;0.831	-0.095;0.255	-0.132;0.308	-0.069;0.261	0.353;0.785	-0.180;0.310	-0.167;-0.163	#	0.416;0.842	0.447;0.704	010000	0.005	0.735	1	12.35	202	202	0.94		0	0
