landmass	zone	area	population	language	religion	bars	stripes	colours	circles	crosses	saltires	quarters	sunstars	crescent	triangle	icon	animate	text	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
4	1	-2323.290;4173.290	-190.960;302.960	10	2	3	0	#	#	0	#	#	#	0	#	0	#	0	0100100	1.000	1.000	2	28.00	904	1	0.63		8	8
#	4	#	#	1	1	#	#	3	0	#	0	#	50	0	0	#	#	#	1010100	1.000	1.000	2	15.12	905	2	0.47		8	8
#	#	-2286.250;3314.250	-147.560;245.560	10	3	0	#	#	0	0	0	#	#	0	#	0	0	#	1010100	1.000	1.000	1	39.00	261	3	0.58		8	8
5	1	-4132.390;4604.390	-304.440;310.440	10	6	#	3	3	1	0	#	0	#	#	#	#	0	0	1010100	1.000	1.000	2	11.12	907	4	0.68		8	8
4	4	#	#	8	#	0	#	2	#	0	#	#	#	#	0	#	0	0	1100000	0.045	0.733	4	29.94	908	5	0.47		8	15
#	2	-4919.520;6729.520	#	#	#	#	#	#	#	0	0	#	0	0	0	1	1	#	1101001	1.000	1.000	4	10.25	910	7	0.47		8	8
1	#	-5712.510;5712.510	#	1	#	#	#	#	#	#	1	#	0	0	#	#	1	0	1111101	0.045	0.733	1	22.87	911	8	0.42		8	15
5	1	#	#	6	#	0	3	#	#	#	0	#	#	#	0	#	#	0	0110101	1.000	1.000	2	9.25	913	10	0.42		8	8
#	3	-4532.430;5100.430	#	2	0	#	3	#	0	0	#	0	0	#	0	#	0	0	1011000	0.002	0.528	2	76.33	529	13	0.63		8	23
#	2	-3279.360;4785.360	-361.920;373.920	10	#	3	#	4	#	0	#	#	0	#	#	#	#	#	1100011	1.000	1.000	1	20.25	917	14	0.42		8	8
#	2	4777.740;10602.260	#	1	#	0	0	#	0	#	1	#	#	0	#	0	#	#	1010100	1.000	1.000	3	10.00	919	16	0.47		8	8
#	3	#	#	2	0	0	2	3	0	#	0	#	1	0	#	#	0	0	1010100	1.000	1.000	3	26.00	920	17	0.63		8	8
#	3	#	-263.200;291.200	#	0	#	#	#	#	0	#	#	0	0	0	#	#	#	1000100	0.000	0.448	2	72.36	922	19	0.37		8	30
1	4	#	-125.040;137.040	#	#	#	#	#	0	#	0	#	0	#	0	#	0	#	1010100	0.035	0.714	3	58.00	794	20	0.42		16	40
1	#	#	#	#	1	0	2	#	#	#	0	#	#	0	#	1	1	1	1111111	1.000	1.000	3	9.75	924	21	0.47		8	8
5	#	16801.500;28002.500	#	5	6	0	0	#	#	#	0	0	#	#	#	#	0	#	1001000	1.000	1.000	3	11.62	925	22	0.47		8	8
#	4	-8277.740;8299.740	-265.120;269.120	1	#	#	#	3	0	0	1	0	0	#	#	#	0	0	0101010	1.000	1.000	3	14.62	927	24	0.63		8	8
1	#	#	#	2	6	#	#	3	#	#	0	0	1	0	1	0	0	#	1010100	1.000	1.000	1	11.38	929	26	0.58		8	8
#	#	#	#	#	#	#	#	#	0	0	0	#	0	0	#	0	#	#	0010100	0.000	0.244	3	77.89	992	28	0.32		107	319
#	4	-5599.500;5601.500	#	6	#	#	#	#	0	#	0	#	#	#	0	0	0	0	1010100	0.000	0.456	2	38.37	984	29	0.47		16	31
4	#	-3450.330;3942.330	-225.840;237.840	#	#	3	0	3	#	#	#	#	#	0	0	#	#	#	1101000	0.069	0.766	3	56.71	901	31	0.42		23	39
#	2	#	#	10	#	#	3	#	0	0	0	#	1	#	#	0	#	0	0011100	0.000	0.143	3	39.54	936	33	0.47		8	16
#	#	#	#	#	6	0	0	#	#	#	#	0	1	#	#	0	#	#	1001000	0.239	0.867	3	31.48	897	37	0.32		15	15
#	1	-7771.710;8133.710	#	10	#	#	#	#	0	0	#	0	#	#	#	1	0	0	1001000	0.004	0.571	4	38.23	942	39	0.47		16	16
3	#	-5232.490;5744.490	#	#	6	#	3	#	#	#	0	#	#	#	#	0	#	#	1011100	0.004	0.571	1	42.49	815	41	0.32		8	16
5	#	-5375.480;5377.480	-337.680;337.680	8	#	0	0	#	0	#	0	0	0	#	0	0	0	0	1000100	1.000	1.000	3	43.88	690	45	0.74		8	8
#	4	-4900.440;4956.440	-190.560;202.560	3	0	2	0	2	#	#	#	#	#	0	#	#	#	#	1000010	1.000	1.000	3	30.50	951	48	0.47		8	8
#	3	#	#	#	0	0	3	3	0	0	0	#	#	0	0	#	0	#	0011100	0.000	0.455	3	66.98	952	49	0.58		8	22
#	1	-4815.430;4817.430	#	7	3	#	0	#	1	1	1	1	#	0	#	1	1	1	1111101	1.000	1.000	3	8.50	953	50	0.68		8	8
5	1	#	-205.640;207.640	8	#	1	#	#	0	#	#	0	0	#	#	0	#	0	1100110	1.000	1.000	2	24.25	954	51	0.53		8	8
4	4	-3244.290;3252.290	-181.440;181.440	#	0	1	2	#	#	0	0	#	#	0	0	#	#	0	1101011	1.000	1.000	2	10.62	955	52	0.63		8	8
#	#	-4256.380;4256.380	#	1	1	0	0	4	#	#	0	#	1	0	#	1	1	#	1011100	1.000	1.000	3	24.75	956	53	0.58		8	8
#	#	#	-249.280;325.280	#	#	#	3	2	#	0	0	#	#	#	#	#	0	#	1001000	0.000	0.162	2	68.53	828	54	0.32		8	30
#	1	-4007.380;4505.380	-201.080;323.080	4	#	0	3	#	0	0	#	0	#	#	#	0	0	#	1001010	0.000	0.429	2	58.34	958	55	0.58		8	16
5	1	2056.330;17065.670	#	7	6	0	0	#	#	0	#	0	5	0	0	0	#	0	1001000	1.000	1.000	2	17.88	959	56	0.74		8	8
5	1	#	#	10	#	0	#	#	0	#	#	#	14	0	#	#	#	#	1010100	1.000	1.000	3	22.25	960	57	0.37		8	8
5	#	-6744.660;8040.660	#	#	2	#	#	5	0	0	0	0	#	#	#	#	#	#	1101110	1.000	1.000	1	37.25	832	58	0.42		8	8
#	#	-8372.750;8428.750	-161.280;161.280	10	5	0	3	4	0	#	0	0	#	0	1	#	#	0	1110100	1.000	1.000	1	19.88	962	59	0.68		8	8
#	#	-7151.640;7185.640	#	10	1	#	#	#	#	#	0	#	#	#	0	#	#	#	1011111	0.000	0.050	1	45.31	63	63	0.26		8	37
6	#	#	#	#	#	0	#	2	0	#	#	#	0	0	0	0	0	#	1000100	1.000	1.000	2	25.32	969	66	0.47		15	15
#	#	-4523.580;8469.580	-89.320;243.320	2	#	#	0	4	#	0	0	#	0	0	0	#	1	0	1100101	1.000	1.000	3	24.62	970	67	0.63		8	8
5	#	-5501.500;5699.500	#	10	7	0	#	#	1	0	#	#	0	#	#	#	0	#	1010110	1.000	1.000	3	10.00	972	69	0.47		8	8
#	#	-4704.430;4928.430	#	2	0	0	#	#	0	0	0	#	5	#	0	0	#	#	0010100	1.000	1.000	3	32.38	978	75	0.53		8	8
5	#	-6916.630;7196.630	-115.040;147.040	10	#	0	#	3	#	#	#	0	2	1	#	0	0	#	0010101	1.000	1.000	1	25.75	980	77	0.58		8	8
#	1	-4462.400;4498.400	#	8	#	0	#	4	0	0	#	0	0	#	0	#	0	#	1100110	1.000	1.000	1	44.50	852	78	0.58		8	8
#	#	-5040.450;5040.450	#	1	1	0	#	#	1	#	#	1	4	#	#	1	#	1	1111101	1.000	1.000	1	12.38	982	79	0.47		8	8
#	1	-5355.480;5397.480	#	#	7	0	#	#	0	0	#	#	#	#	#	#	#	0	0010100	0.000	0.467	2	33.73	985	82	0.37		8	15
#	4	#	-105.280;217.280	1	1	0	#	#	0	1	1	#	#	#	0	#	#	#	1010100	0.000	0.455	1	19.55	989	86	0.47		22	22
4	2	#	-346.760;348.760	10	#	#	#	3	#	0	0	#	0	#	#	0	#	0	0111000	0.000	0.467	2	41.45	990	87	0.53		8	15
3	#	#	#	#	#	0	#	#	#	#	#	1	0	#	0	#	#	#	0010100	1.000	1.000	2	17.25	991	88	0.26		8	8
#	4	-6608.590;6608.590	#	#	1	#	#	#	#	0	0	#	0	#	0	0	#	0	0010101	0.006	0.600	1	28.98	992	89	0.47		8	15
#	1	#	#	#	2	#	#	2	1	0	0	#	#	1	0	#	0	0	1000100	1.000	1.000	3	16.75	993	90	0.53		8	8
4	#	-5258.480;5494.480	-341.760;353.760	10	#	0	3	#	0	0	0	#	#	#	#	0	0	0	1100010	0.000	0.379	1	58.02	91	91	0.63		8	29
2	4	-7264.730;9088.730	-221.880;251.880	2	0	0	3	7	0	#	0	#	#	#	#	#	1	#	1111111	1.000	1.000	2	17.75	866	92	0.63		8	8
4	1	-5632.660;9152.660	#	#	#	#	#	#	0	#	#	0	0	#	#	#	#	0	0100000	0.000	0.395	1	56.60	962	93	0.37		36	43
#	1	-3004.340;4612.340	#	#	2	#	#	2	#	0	#	#	#	#	#	#	0	0	0100100	0.010	0.628	2	44.61	998	95	0.37		15	43
2	4	-5313.480;5439.480	#	#	1	#	#	4	#	#	0	#	1	#	#	0	#	0	1101100	1.000	1.000	1	30.25	96	96	0.47		8	8
#	#	-7396.670;7612.670	-285.400;319.400	#	#	0	3	3	0	#	#	0	0	0	#	#	#	0	1001010	0.000	0.231	1	84.52	958	97	0.53		15	78
#	#	-4480.400;4480.400	-141.120;141.120	3	0	#	2	#	#	#	0	0	#	#	0	#	#	#	1000100	1.000	1.000	2	40.86	614	98	0.42		7	7
6	#	#	-103.200;199.200	#	0	#	0	4	#	0	#	0	#	0	1	#	#	0	1011100	1.000	1.000	1	9.71	873	99	0.53		7	7
3	#	#	-272.280;302.280	#	6	0	0	#	#	0	0	0	0	#	#	0	0	0	1010100	1.000	1.000	1	15.57	876	102	0.63		7	7
5	#	#	-138.240;174.240	7	#	#	0	3	#	#	0	#	#	0	0	0	#	#	1010100	1.000	1.000	4	9.00	877	103	0.47		7	7
#	#	-6708.600;6732.600	-176.400;176.400	1	#	0	0	6	1	1	1	1	0	0	#	#	1	1	1111100	1.000	1.000	3	7.00	878	104	0.74		7	7
6	1	#	#	1	1	0	0	7	0	0	0	#	#	#	0	#	#	1	1111101	1.000	1.000	1	16.14	879	105	0.63		7	7
#	1	-6353.580;6639.580	-121.680;301.680	6	2	0	0	2	#	0	#	#	0	#	#	0	0	0	1100000	1.000	1.000	2	15.86	880	106	0.68		7	7
4	4	-6697.690;8759.690	-260.080;264.080	#	2	#	0	#	0	0	#	0	1	1	0	0	0	0	0101000	1.000	1.000	1	23.14	881	107	0.79		7	7
1	#	-4256.380;4256.380	#	1	1	#	0	4	#	#	0	0	0	#	#	#	#	1	0111100	1.000	1.000	2	10.57	882	108	0.53		7	7
1	4	#	-206.640;206.640	#	#	0	3	#	#	0	0	0	#	0	1	0	0	#	0011010	1.000	1.000	2	24.71	883	109	0.63		7	7
#	1	#	-362.920;372.920	10	2	#	#	2	#	0	#	#	1	#	#	0	0	#	0010100	1.000	1.000	3	39.57	884	110	0.47		7	7
4	#	#	-238.960;254.960	10	5	0	7	#	0	0	0	#	1	0	#	1	#	0	1101110	1.000	1.000	4	7.29	886	112	0.68		7	7
6	2	-6788.630;7324.630	#	1	1	#	0	3	0	#	1	#	4	0	#	0	0	#	1010100	1.000	1.000	1	10.71	887	113	0.68		7	7
#	#	-6335.650;8225.650	-163.440;199.440	#	5	#	0	4	#	#	#	#	0	0	#	0	0	0	0111010	1.000	1.000	2	17.71	888	114	0.53		7	7
#	#	-3146.390;5590.390	#	#	0	0	#	3	0	#	#	0	0	0	0	0	#	#	1101000	0.000	0.176	1	76.67	889	115	0.53		6	34
#	#	#	#	#	#	#	#	#	0	0	0	#	0	#	#	0	#	#	0010100	0.000	0.244	1	77.89	992	117	0.26		95	286
#	#	#	#	#	#	#	#	#	0	0	0	#	0	0	#	#	#	#	0010100	0.000	0.194	2	73.11	992	117	0.26		128	368
3	#	#	-197.640;215.640	#	#	#	3	#	#	#	#	0	1	#	0	1	1	#	1111100	1.000	1.000	1	16.43	247	118	0.42		7	7
1	4	-5824.520;5824.520	#	1	1	#	0	6	1	#	1	#	0	#	#	#	1	#	1111110	1.000	1.000	2	22.71	894	120	0.58		7	7
6	#	#	#	#	#	0	#	2	0	#	#	#	0	0	0	0	#	#	1000100	1.000	1.000	1	27.20	969	121	0.42		13	13
6	#	#	#	#	#	0	#	2	#	#	#	#	0	0	0	0	0	#	1000100	1.000	1.000	2	27.20	969	121	0.42		13	13
1	4	-736.260;5088.260	#	#	1	0	#	#	#	#	#	#	0	0	#	0	0	0	1000100	0.000	0.071	4	21.84	896	122	0.53		7	20
#	1	#	-349.800;355.800	#	#	0	0	3	0	#	#	0	#	0	0	#	#	0	1001010	0.000	0.429	1	28.85	897	123	0.53		7	14
4	#	-7162.670;7846.670	-234.880;238.880	#	#	0	0	3	#	0	0	#	#	0	0	#	#	0	1101000	0.035	0.714	1	42.37	769	124	0.58		7	14
4	4	#	#	#	5	0	#	#	0	#	0	#	#	#	0	#	#	0	1101000	0.000	0.214	2	52.22	512	125	0.42		7	28
#	1	#	#	#	7	0	#	#	1	0	0	#	#	#	0	0	#	0	1000100	1.000	1.000	2	9.57	902	128	0.47		7	7
4	1	-2323.290;4173.290	-190.960;302.960	10	2	3	#	#	#	0	0	#	#	0	0	0	#	0	0100100	1.000	1.000	2	36.17	904	130	0.68		6	6
#	#	#	#	#	#	0	#	#	0	0	0	#	#	#	0	#	#	#	0100000	0.000	0.071	1	67.21	990	131	0.26		182	415
#	#	#	#	#	#	0	#	#	0	0	0	#	#	#	0	#	#	#	1000100	0.000	0.378	3	67.21	975	131	0.26		218	415
#	4	#	#	1	1	#	#	#	#	#	0	#	#	0	0	#	#	#	1010100	0.000	0.371	1	39.04	924	131	0.32		20	40
5	1	-4132.390;4604.390	#	10	6	#	3	3	1	0	#	0	#	#	0	#	0	0	1010100	1.000	1.000	2	14.50	907	133	0.68		6	6
4	4	-5377.520;6271.520	#	8	#	0	#	2	#	0	#	0	#	#	0	#	0	0	1100000	0.035	0.714	1	33.41	908	134	0.58		6	12
#	4	-3738.340;3878.340	-153.240;159.240	#	0	3	0	#	#	0	0	0	0	0	0	0	#	#	0000100	0.000	0.429	1	43.67	970	135	0.68		27	27
#	4	-3738.340;3878.340	-153.240;159.240	#	0	3	0	#	#	0	0	0	0	0	0	0	#	#	0100001	0.000	0.164	1	43.67	970	135	0.68		14	27
1	#	#	-136.080;136.080	#	#	0	#	6	#	1	1	1	#	0	#	1	1	#	1010100	0.000	0.143	1	22.83	982	137	0.53		26	26
1	#	#	-136.080;136.080	#	#	0	#	6	#	1	1	1	#	0	#	1	1	#	0101001	0.000	0.011	1	22.83	982	137	0.53		20	26
#	#	#	#	#	#	#	3	4	0	#	#	0	2	#	1	0	0	#	1100010	0.035	0.714	1	10.00	912	138	0.42		7	7
#	#	#	#	#	#	#	3	4	0	#	#	0	2	#	1	0	0	#	0001000	0.000	0.143	1	10.00	912	138	0.42		7	7
5	1	#	#	6	#	0	3	#	#	#	0	#	#	#	0	1	#	0	0110101	1.000	1.000	2	12.00	913	139	0.47		6	6
#	#	#	-370.960;374.960	#	2	#	#	4	#	#	#	#	1	#	1	#	0	0	1010110	0.025	0.692	1	34.90	914	140	0.37		6	13
#	#	#	-146.160;146.160	#	#	#	0	4	0	0	#	0	#	0	0	1	0	0	0000100	0.000	0.143	1	13.71	915	141	0.58		7	7
