Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Att18	Att19	Att20	Att21	Att22	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	#	-0.404;0.442	3.968;8.415	-0.032;0.109	0.090;0.258	0.769;1.111	#	0.856;1.707	0.578;0.764	#	0.029;0.072	0.004;0.011	#	0.573;1.578	#	#	#	0.328;1.947	#	001100	1.000	1.000	1	63.99	9909	28	0.50		26	26
#	0.120;0.195	0.014;0.102	0.003;0.120	#	-1.158;4.370	#	-0.049;0.154	#	#	#	#	0.299;0.530	-0.006;0.088	0.004;0.013	0.147;1.189	-0.228;0.576	#	#	#	0.745;2.419	#	100001	1.000	1.000	1	52.94	9937	56	0.50		26	26
-89.396;-62.009	0.026;0.113	0.279;0.409	0.227;0.366	#	#	0.018;0.236	#	#	#	#	#	#	#	0.002;0.012	-0.328;0.849	#	0.691;1.820	#	#	-0.102;1.133	-0.246;0.526	000001	1.000	1.000	1	42.17	9956	75	0.45		26	26
-92.038;-71.925	#	-0.063;0.169	#	#	#	#	#	-0.223;0.620	9.127;17.767	-0.220;0.693	#	#	0.045;0.139	#	#	-0.226;0.679	0.030;0.954	#	#	1.133;2.230	#	100001	1.000	1.000	1	55.42	9961	80	0.41		26	26
#	#	#	0.005;0.110	-0.073;1.144	#	0.240;0.477	#	-0.368;0.452	-1.531;5.505	-0.360;0.467	0.189;0.511	0.368;0.659	#	#	0.198;0.989	#	#	#	0.068;0.102	-0.628;0.991	#	100001	0.053	0.555	1	69.94	9962	81	0.50		126	227
#	0.097;0.179	#	0.033;0.176	#	#	#	#	#	#	-0.128;0.563	#	#	0.027;0.090	0.015;0.023	0.062;1.316	#	#	0.331;0.877	0.102;0.144	#	#	010010	1.000	1.000	4	43.39	9966	85	0.36		26	26
#	0.139;0.195	#	0.124;0.296	0.184;0.995	1.021;7.391	#	#	#	0.866;5.310	0.052;0.496	#	0.164;0.567	#	#	#	#	#	#	#	0.612;1.572	-0.028;0.960	100001	1.000	1.000	1	55.98	9972	91	0.41		26	26
#	0.055;0.143	#	#	#	4.454;12.266	#	#	#	#	-0.116;0.291	#	#	#	0.018;0.027	#	-0.376;0.562	0.999;1.992	#	#	#	#	000001	1.000	1.000	4	39.86	9980	99	0.27		26	26
-75.300;-53.475	0.083;0.137	0.021;0.247	#	#	-1.244;6.448	#	#	-0.196;0.613	1.433;6.371	#	#	0.328;0.520	0.126;0.192	#	0.097;0.657	#	#	0.256;0.802	#	0.025;1.425	0.686;1.135	110000	1.000	1.000	2	47.39	9986	105	0.55		26	26
#	-0.018;0.136	-0.035;0.139	#	0.291;1.472	0.623;4.349	#	0.152;0.169	#	#	-0.039;0.319	#	#	-0.010;0.060	0.005;0.010	#	#	0.904;3.232	-0.036;0.538	#	#	#	000001	0.000	0.222	1	17.67	134	134	0.45		0	0
#	#	#	#	1.030;2.176	4.998;8.123	#	-0.040;0.155	-0.299;0.498	#	#	#	#	0.027;0.077	#	#	#	#	#	#	0.551;1.676	#	110001	1.000	1.000	5	29.57	9628	138	0.27		25	25
-84.890;-64.778	0.082;0.186	#	0.017;0.166	-0.547;0.547	#	-0.048;0.202	#	-0.054;0.687	#	-0.128;0.773	#	#	#	#	-0.409;0.768	-0.137;0.751	-0.616;0.890	#	#	0.740;2.469	-0.295;0.476	001110	0.134	0.669	2	60.71	9797	157	0.55		101	151
#	0.043;0.157	#	#	-0.238;0.555	1.217;5.784	0.320;0.520	#	-0.150;0.591	#	#	#	0.325;0.602	0.023;0.065	0.004;0.012	0.573;1.133	#	0.414;1.510	#	#	-0.009;1.555	-0.213;1.134	100001	0.123	0.658	3	72.87	9962	169	0.55		50	76
-84.890;-64.778	0.082;0.186	#	0.017;0.278	-0.547;0.547	#	-0.048;0.202	#	-0.054;0.687	#	0.152;0.773	#	#	#	#	-0.409;0.768	-0.137;0.751	-0.616;0.890	#	#	0.740;2.469	-0.295;0.476	001110	0.057	0.563	1	55.22	9797	185	0.55		98	174
-89.519;-60.420	#	#	#	-0.087;-0.067	#	#	0.011;0.226	#	0.585;5.892	#	#	-0.088;0.347	#	0.004;0.012	#	#	-0.190;1.864	#	#	0.192;1.976	#	001010	0.000	0.079	1	44.83	198	198	0.36		0	0
-112.060;-82.961	0.015;0.173	0.020;0.200	0.033;0.098	-0.264;0.264	#	#	#	-0.130;0.554	#	#	0.287;0.538	-0.034;0.269	0.084;0.147	#	-0.074;0.890	#	-0.448;1.811	#	#	0.311;2.259	-0.025;0.477	101000	1.000	1.000	3	60.97	9690	200	0.59		25	25
#	-0.017;0.130	#	0.190;0.364	-0.204;0.642	#	-0.043;0.239	0.138;0.272	#	#	#	0.438;0.798	#	#	#	#	0.101;0.754	0.108;1.340	#	0.066;0.088	2.267;3.584	#	001000	1.000	1.000	1	65.81	9701	211	0.45		26	26
-95.773;-73.521	#	#	0.228;0.298	-0.432;0.432	3.574;10.664	#	#	0.750;1.570	#	#	0.318;0.662	#	#	#	-0.272;1.078	#	#	#	#	#	-0.215;0.467	001110	0.127	0.662	2	46.16	9979	234	0.36		51	77
-80.421;-63.304	#	0.037;0.129	0.034;0.188	-0.319;0.333	#	0.248;0.434	0.149;0.166	#	0.526;6.451	#	#	0.148;0.505	#	0.002;0.013	#	-0.085;0.869	-0.887;1.338	#	0.065;0.104	#	-0.364;0.426	001000	0.000	0.231	1	37.56	246	246	0.59		0	0
#	0.194;0.276	#	#	#	3.802;10.893	-0.003;0.315	#	#	#	#	#	#	#	0.005;0.015	#	-0.341;0.781	#	#	0.050;0.113	#	#	000100	1.000	1.000	1	35.51	9761	271	0.27		26	26
-84.890;-64.778	0.082;0.186	#	0.017;0.057	-0.547;0.547	#	-0.048;0.202	#	-0.054;0.687	#	-0.128;0.773	0.254;0.500	#	#	#	-0.409;0.768	-0.137;0.751	-0.616;0.890	#	#	0.740;2.469	-0.295;0.476	001110	0.100	1.000	1	16.00	307	307	0.59		0	0
-93.420;-65.176	0.004;0.099	-0.003;0.114	#	#	6.637;9.642	#	-0.104;0.093	#	-0.397;6.268	#	#	0.279;0.457	#	#	0.438;1.518	#	0.277;2.638	#	0.095;0.129	#	#	000001	1.000	1.000	1	69.49	9890	400	0.45		24	24
#	#	0.328;0.355	0.205;0.338	#	#	#	0.272;0.407	#	#	#	#	#	0.042;0.102	#	-0.018;1.023	0.076;1.232	#	0.386;0.762	#	#	-0.274;0.875	001100	0.008	0.600	1	20.80	417	417	0.36		0	0
