-	/	0	00	04	0;	0cm	1	1-1/2	1-1/2-year	1-month	1-year	1-year-1-month	1-year-4-month	1-year-5-month	1/2	1/2/01	10	10-month	10-year	10-year-9-month	101	102	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	#	000000000000000000000000000000000000000000010	0.325	0.978	1	34.93	49889	62	0.96		160	160
0	0	1	1	#	0	#	#	0	0	1	1	0	0	0	1	0	0	0	0	#	0	0	100000000000000000000000000000000000010000000	0.091	0.953	1	35.55	49457	275	0.83		71	150
0	#	#	1	0	#	#	0	0	0	#	#	0	0	0	0	0	0	1	0	0	1	0	000000000000000000000000000000000000000001000	1.000	1.000	1	32.38	49844	662	0.74		78	78
0	#	#	1	#	0	0	0	0	1	1	#	0	0	0	0	0	0	0	0	0	1	0	000000000000000000000000000000000000100001000	1.000	1.000	1	37.00	49577	1040	0.83		78	78
0	0	0	1	0	0	0	0	0	#	0	1	0	0	0	#	#	0	#	0	0	0	1	000000000000000000000000000000000000100001000	1.000	1.000	1	35.97	49693	1156	0.83		77	77
0	0	0	1	#	0	0	0	0	0	1	1	#	0	0	1	0	0	0	1	0	0	1	000000000001000000000000000000000000000001000	1.000	1.000	2	31.92	49785	4473	0.91		72	72
0	#	#	0	0	0	0	0	0	1	0	#	#	0	0	0	1	0	#	#	0	0	1	000000000000000000000000000000000000100000000	1.000	1.000	1	48.32	49866	4554	0.74		72	72
0	#	0	#	0	0	0	0	0	#	0	1	0	0	0	#	0	0	#	0	0	0	1	000000000000000000000000000000000000100001000	1.000	1.000	1	35.98	49693	5823	0.78		70	70
0	0	1	#	#	#	1	#	0	#	0	1	0	#	0	1	#	0	#	0	0	0	#	100000000000000000000000100000000000000000000	1.000	1.000	1	33.18	49532	6952	0.61		68	68
0	0	0	0	#	0	0	0	#	#	#	0	1	0	0	1	0	0	0	1	0	0	0	000000000000000000000000000000000000001000000	1.000	1.000	2	44.98	49412	7477	0.83		59	59
1	0	0	0	1	#	0	0	#	0	#	1	0	#	0	0	0	#	#	0	0	#	0	000010000000000000000000000000000000000000001	1.000	1.000	1	30.78	49890	7955	0.70		67	67
#	0	#	0	0	#	0	#	0	0	0	#	0	0	0	#	0	0	0	1	0	1	#	000000000000000000000000000000001000000000000	0.101	0.955	1	42.93	49597	8307	0.70		66	133
0	0	0	1	#	0	0	0	0	0	#	0	#	0	0	1	0	0	#	0	0	#	1	000000000000000000000000000000000000000001000	1.000	1.000	1	29.20	49443	9443	0.78		56	56
0	0	1	1	0	#	1	#	#	0	#	1	0	#	0	1	0	#	0	0	0	0	#	100000000000000000000000100000000000000000000	0.101	0.955	1	31.59	49532	9532	0.70		64	129
#	0	0	#	0	0	#	0	0	1	1	#	#	0	#	0	0	0	0	1	0	0	0	000000000100000000000000000000000000100000000	1.000	1.000	2	34.95	49677	9677	0.74		64	64
0	0	0	0	0	1	0	0	0	0	0	#	0	0	#	#	0	0	1	0	0	0	0	000000000000000000000000000000000100000000010	1.000	1.000	1	34.64	49551	11326	0.87		61	61
#	0	#	0	0	0	0	0	0	#	1	1	0	0	0	0	0	0	1	#	#	#	0	000000000000000000000000000000000000100000000	1.000	1.000	1	41.90	49438	11858	0.74		53	53
