Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-0.472;2.409	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0.125;0.356	#	#	#	#	#	-0.182;0.381	-0.022;0.492	-0.527;0.560	#	#	-0.047;0.065	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.527	0.938	1	81.81	9825	62	0.18		29	57
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0.159;0.491	#	#	#	#	#	#	#	#	#	#	#	010001100000100100100110100001001010000000000000000011000000000000000000001000010000000000010010100011000100010100000000000000011000000000100000000000000100000000000000000000	0.093	0.788	2	596.11	9861	98	0.03		28	7901
#	#	#	#	#	#	#	#	#	#	#	#	-0.249;0.249	#	#	#	#	#	#	#	#	#	#	#	#	#	#	-0.113;0.113	#	#	#	#	#	011001011010101010011000001010010100000000000000000000000000000110000100110000010000000000010001010100010100010010101000000000000000000010000100000110000000000001000000001000	0.180	0.842	4	71.09	9966	203	0.06		29	84
#	0.024;0.059	-0.005;0.035	0.086;0.619	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	-0.100;4.117	#	#	#	#	#	#	#	#	#	#	010101100000100000100010000010001010000000000000000000100000000010000100100000010100000000010010101001000001010100100000000000001000000010000000000010000000000000100000000000	0.084	0.781	1	654.78	9967	204	0.12		29	8373
-0.472;2.409	#	#	#	-0.023;0.042	#	#	#	#	#	#	#	-0.237;0.425	#	#	#	#	#	#	#	#	0.125;0.356	5.929;12.159	#	#	#	#	-0.182;0.381	-0.022;0.492	-0.527;0.560	#	#	-0.047;0.065	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.520	0.937	1	81.99	9825	413	0.27		27	54
#	#	#	#	#	#	#	#	#	#	#	#	-0.249;0.249	-0.040;0.072	#	#	#	#	-0.328;0.328	#	#	#	#	#	#	#	#	-0.113;0.113	#	#	#	#	#	011001011010101010011000001010010100000000000000000000000000000110000100110000010000000000010001010100010100010010101000000000000000000010000100000110000000000001000000001000	0.176	0.841	1	71.10	9966	554	0.12		27	80
#	#	#	#	#	-0.249;0.494	#	#	#	#	#	#	0.213;0.566	-0.069;0.172	#	1.655;2.724	#	#	#	#	1.157;4.142	#	#	#	#	#	#	#	#	#	#	#	#	010010000001010100000101000000010001000000000000000000000001000000001001000000000010001000001100100000010100010011000100010001000000000000000000000000000000010000000000000000	1.000	1.000	1	156.76	9690	629	0.15		26	26
#	0.035;0.055	0.004;0.043	#	0.021;0.062	#	-0.076;0.660	#	#	#	#	#	0.311;0.773	#	#	#	#	#	#	#	-0.296;2.003	#	#	#	#	#	#	#	#	#	0.120;0.423	#	#	101000010100001000010001010110000101000000000000000000000001000000001000000000000010100000010000010100000100010011000010000000000000000000000000000000000000010000000000000000	0.114	0.805	3	728.03	9945	884	0.21		26	5004
#	#	#	#	#	#	#	#	-0.126;0.187	#	#	#	#	#	#	#	#	#	#	#	-0.768;0.281	#	#	#	#	#	-0.001;0.032	0.433;0.675	#	#	-0.143;0.350	#	-0.002;0.087	010001100000100000000010101000001010000000000000000001000000000100000000000100000000000000010010100001000101010000000100000000010000000000100000000000000000000001000000000000	0.110	0.802	1	623.61	9947	886	0.18		26	599
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	-0.004;0.032	#	#	#	#	#	#	001001010000101000000001000010000101000010000000000000000000000001000010101000010000000000001010000100001000110010100100010000000000000000000000000000100000000000000001000000	0.116	0.806	2	609.46	9727	1017	0.03		25	8291
