Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
1.378;9.446	#	#	#	#	#	#	-1.088;2.013	#	0.053;0.165	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	-0.197;0.438	#	#	011001001010101010001000101000010000000000000000000001000000000000000000110100000000000000010001010101010001010010001000010000000000000000000000000000000000000000000000000000	0.109	0.801	1	662.37	9818	55	0.12		29	7567
#	#	#	-0.030;0.285	-0.026;0.045	#	#	#	#	#	#	#	#	#	#	#	#	-0.116;0.284	#	#	#	#	#	#	#	#	#	-0.221;0.420	#	#	#	#	-0.029;0.047	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.346	0.899	1	57.20	9825	62	0.15		29	58
-1.482;2.437	#	#	#	#	#	#	#	0.319;0.532	#	#	#	#	#	#	#	#	#	#	#	-0.656;0.796	#	#	#	#	#	#	#	#	#	0.560;1.157	-0.045;0.182	#	010100100000000100001010100000001000000000000000000000000000000000000000000000010100000000000000101000000000001100000100000010000010000000100000000000000000000000000000000000	0.227	0.862	1	58.02	9883	120	0.15		28	85
#	#	#	#	#	#	#	#	-0.081;0.160	0.051;0.194	#	#	#	0.125;0.378	-106.704;-63.054	#	#	#	0.149;0.426	#	#	#	#	0.120;0.261	#	0.003;0.068	#	#	#	#	#	#	#	100001010101100101010101000110000101000000000000000011000010000000010000100100000000000000000000100000001100010100000100010000000000000000000000000000000100000000000000000000	0.097	0.792	1	570.08	9942	179	0.21		29	1157
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	-13241391414263230198930074773918730374696973219503965426227232592813653870916405106899880721219209907433539210500353920836360398596610159273027256084333411895515937347993600.000;35243413434265247565272262871490494279954442227035245894495607043501205060929329892587586108374549858212844990732381412584850706404922137312721520734267375950918049343733760.000	#	#	#	#	1.596;5.601	0.009;0.041	#	#	#	#	#	#	#	011001011010001010001001101000010101000110000000000001000000000000000010101000010000000000010000000101010000010110100000110100000000000000000000000000100000000000000000000000	0.095	0.790	1	673.08	9970	207	0.09		29	7443
#	#	#	#	0.017;0.071	#	#	#	#	#	0.179;0.731	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	-0.113;0.427	#	#	000000100101100001100101000100101000100010000000000000000000000101010010100000010100000000000000100000001100010111000100000011000001000000100000000001000000000000000000001000	0.077	0.774	2	677.79	9994	231	0.09		29	8321
6.692;11.648	#	#	#	-0.018;0.044	#	0.871;1.165	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0.100;0.561	#	#	#	#	#	0.390;0.754	#	#	#	0.328;0.599	#	010001001000010010001001100000010101000000000000000000000000000000000000110000000000000000001011010100010100010010100000100000000000000000000000000000000000000000000010000000	0.302	0.887	1	206.84	9706	294	0.18		28	55
-2.605;4.541	#	#	-0.030;0.285	-0.026;0.045	#	#	-2.717;2.745	#	#	#	#	#	#	-29.216;8.977	#	#	-0.116;0.284	#	#	#	#	#	#	#	#	#	-0.221;0.295	#	#	#	-0.196;0.381	-0.029;0.047	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.339	0.898	1	57.31	9825	413	0.27		27	55
-1.131;2.437	#	#	#	#	#	#	#	0.319;0.532	#	-0.150;0.294	#	#	#	-27.071;7.849	#	0.127;0.193	#	#	#	-0.656;0.796	#	#	#	#	#	#	#	#	-0.442;0.499	0.560;1.157	-0.045;0.182	#	010100100000000100001010100000001000000000000000000000000000000000000000000000010100000000000000101000000000001100000100000010000010000000100000000000000000000000000000000000	0.514	0.936	1	64.23	9883	471	0.27		26	53
6.692;11.648	#	#	#	-0.018;0.044	#	0.871;1.165	#	-0.030;0.136	#	#	#	#	#	#	#	#	0.238;0.528	#	#	#	0.100;0.561	6.896;9.676	#	#	#	#	0.390;0.754	#	#	#	0.328;0.599	#	010001001000010010001001100000010101000000000000000000000000000000000000110000000000000000001011010100010100010010100000100000000000000000000000000000000000000000000010000000	1.000	1.000	1	169.17	9706	645	0.27		26	26
#	#	#	-0.030;0.285	-0.026;0.045	#	#	#	#	#	#	#	#	#	#	#	#	-0.116;0.284	#	#	-0.925;1.092	#	#	#	#	#	#	-0.221;0.420	#	#	#	#	-0.029;0.047	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.339	0.898	1	57.36	9825	764	0.18		26	53
#	#	#	-0.030;0.285	-0.026;0.045	#	#	-1.425;1.453	#	#	#	#	#	#	#	#	#	-0.116;0.284	#	#	#	#	#	#	#	#	#	-0.221;0.420	#	#	#	#	-0.029;0.047	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.339	0.898	1	57.36	9825	764	0.18		26	53
-1.482;2.437	#	#	#	#	-0.303;0.514	#	#	0.319;0.532	#	#	#	#	#	#	#	#	#	#	-12627152272747627111115699786425661404251753563909796073693719892100826117696016199933758051724664767259873082065449750067969850300130711681203398028838322019592024428118016.000;32827352272747827443096725007673648098200347527320393769249389280771469481795836448080701017498785506763263997374339759270217221135887039829861954964098610017529745113088000.000	-0.656;0.796	#	#	#	#	#	#	#	#	#	0.560;1.157	-0.045;0.182	#	010100100000000100001010100000001000000000000000000000000000000000000000000000010100000000000000101000000000001100000100000010000010000000100000000000000000000000000000000000	0.222	0.860	1	58.03	9883	822	0.21		25	78
#	#	#	-0.030;0.285	-0.026;0.045	#	#	#	#	0.122;0.331	#	#	#	#	#	#	#	-0.116;0.284	#	#	#	#	#	#	#	#	#	-0.221;0.420	#	#	#	#	-0.029;0.047	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	1.000	1.000	1	68.49	9825	1115	0.18		25	25
1.598;4.826	#	#	#	0.080;0.131	#	#	#	#	#	0.159;0.769	#	#	#	#	#	#	#	-0.046;0.443	#	#	-0.043;0.354	#	#	3.496;9.104	#	#	#	#	#	0.134;0.475	#	0.080;0.207	010001000010010000011000000000010100000000000000000000000000010000000010000000010000000000000010010100000100010011001000000000000000000000000000100000000000000100000000000000	0.230	0.863	2	349.45	9794	1435	0.24		24	195
