Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-0.145;0.145	-0.105;0.305	-0.234;0.236	0.723;1.083	0.465;0.835	-0.167;0.333	0.820;1.180	0.618;0.898	-0.205;0.225	0.860;1.140	-0.103;0.377	-0.231;0.231	-0.190;0.190	0.815;1.185	-0.240;0.240	0.114;0.550	-0.056;0.311	010000	1.000	1.000	1	27.30	49348	19	1.00		30	30
-0.143;0.237	-0.054;0.306	#	-0.172;0.258	0.116;0.426	0.829;1.149	#	-0.168;0.312	-0.113;0.167	0.344;0.814	0.826;1.096	0.700;1.084	-0.098;0.182	0.202;0.692	0.715;0.975	-0.024;0.302	#	000010	1.000	1.000	1	47.89	49382	53	0.82		30	30
-0.079;0.221	-0.172;0.228	-0.178;0.232	-0.195;0.195	-0.167;0.193	0.500;0.980	-0.175;0.245	0.495;0.925	0.672;1.062	0.681;0.951	-0.110;0.190	0.709;1.121	0.802;1.102	-0.234;0.266	#	0.590;0.946	0.795;1.112	010000	1.000	1.000	1	59.24	49396	67	0.94		30	30
-0.103;0.177	-0.122;0.138	-0.164;0.216	-0.201;0.259	-0.171;0.209	-0.125;0.205	#	0.608;1.068	0.180;0.560	0.079;0.399	-0.155;0.205	#	0.349;0.719	0.050;0.410	0.688;0.988	0.581;1.056	0.613;1.059	001010	1.000	1.000	2	109.26	49403	74	0.88		30	30
0.009;0.309	#	0.502;0.802	0.775;1.225	0.815;1.185	0.629;0.969	-0.125;0.155	0.347;0.667	#	-0.046;0.404	0.172;0.652	#	-0.194;0.296	0.155;0.465	0.524;0.964	0.632;1.028	0.107;0.503	000001	1.000	1.000	1	42.06	49446	117	0.82		30	30
0.850;1.150	0.805;1.195	0.637;1.087	0.685;1.175	0.735;1.155	#	0.783;1.053	0.278;0.668	0.720;1.060	0.065;0.395	0.695;1.175	0.462;0.786	0.865;1.135	0.750;1.060	0.333;0.613	0.443;0.759	0.501;0.749	001000	1.000	1.000	3	65.99	49453	124	0.94		60	60
-0.314;-0.135	-0.130;0.130	-0.135;0.135	-0.200;0.200	-0.175;0.175	-0.155;0.215	-0.215;-0.193	-0.079;0.251	-0.161;0.189	-0.108;0.182	-0.235;0.235	-0.161;0.330	-0.137;0.163	-0.181;0.209	-0.645;0.335	-0.134;0.311	-0.133;0.303	010000	0.061	0.952	1	1.29	155	155	1.00		0	0
-0.155;0.265	-0.182;0.188	-0.178;0.302	-0.102;0.268	-0.074;0.346	0.027;0.327	#	0.430;0.820	-0.088;0.312	-0.017;0.283	-0.080;-0.051	0.288;0.750	-0.195;0.205	0.152;0.452	0.286;0.536	0.487;0.754	0.460;0.917	001000	0.100	1.000	1	3.00	173	173	0.94		0	0
-0.195;0.195	-0.210;0.210	0.395;0.885	0.117;0.447	0.455;0.825	0.288;0.708	0.518;0.978	-0.135;0.135	-0.195;0.195	0.471;0.871	0.285;0.645	0.097;0.402	-0.250;0.250	-0.200;0.200	-0.170;0.170	#	0.356;0.802	000001	1.000	1.000	1	43.91	49506	177	0.94		30	30
-0.049;0.211	-0.091;0.199	-0.106;0.264	-0.082;0.529	-0.054;-0.029	-0.069;0.221	-0.110;0.230	0.497;0.857	#	-0.073;0.237	-0.094;0.266	#	#	-0.157;0.203	0.517;0.917	0.528;0.874	0.537;1.013	100000	0.007	0.762	1	11.41	180	180	0.82		0	0
-0.116;0.184	-0.144;0.166	0.149;0.459	-0.016;0.414	-0.225;0.255	-0.080;0.270	-0.246;0.254	0.363;0.613	-0.172;0.218	0.055;0.435	-0.162;0.178	0.084;0.369	#	#	0.279;0.639	0.265;0.749	#	000110	1.000	1.000	2	112.76	49513	184	0.82		30	30
#	-0.014;0.376	0.163;0.543	0.033;0.523	0.163;0.413	-0.088;0.312	-0.093;0.407	0.021;0.511	-0.152;0.238	-0.145;0.175	0.061;0.411	0.431;0.854	-0.055;0.305	-0.072;0.248	0.597;0.887	0.033;0.488	0.235;0.712	100010	1.000	1.000	4	133.29	49516	187	0.94		30	30
0.140;0.600	#	0.357;0.637	0.835;1.165	-0.030;0.400	0.875;1.125	0.109;0.579	0.446;0.916	0.153;0.513	0.345;0.755	0.043;0.433	0.455;0.711	0.478;0.788	0.281;0.551	0.306;0.636	0.511;0.867	0.219;0.596	000001	1.000	1.000	1	81.93	49520	191	0.94		30	30
0.071;0.411	-0.038;0.382	0.056;0.406	0.404;0.704	0.281;0.761	0.046;0.426	0.767;1.227	0.566;0.816	-0.149;0.211	0.011;0.371	0.372;0.802	0.528;0.911	0.489;0.959	-0.166;0.184	0.528;0.838	0.365;0.701	0.543;0.791	100010	1.000	1.000	2	64.92	49542	213	1.00		30	30
0.140;0.410	-0.222;0.228	0.298;0.598	0.423;0.763	0.262;0.642	0.154;0.444	0.427;0.827	-0.170;0.170	0.184;0.604	0.532;0.862	0.754;1.014	0.039;0.393	0.361;0.711	0.241;0.671	-0.166;0.334	-0.161;0.245	0.146;0.473	000001	1.000	1.000	2	60.55	49559	230	1.00		30	30
0.142;0.562	0.180;0.430	0.028;0.418	0.079;0.469	0.043;0.413	#	0.188;0.668	0.177;0.477	0.158;0.568	0.379;0.442	0.075;0.575	#	0.148;0.518	0.102;0.422	-0.038;0.442	0.217;0.484	#	000010	0.024	0.867	1	1.60	239	239	0.82		0	0
0.171;0.581	-0.172;0.238	0.591;1.001	0.640;0.900	#	#	#	0.776;1.046	0.091;0.341	0.478;0.738	-0.152;0.158	0.427;0.770	0.022;0.342	-0.060;0.350	0.277;0.537	0.774;1.170	0.247;0.614	100001	1.000	1.000	3	57.04	49627	298	0.82		30	30
#	-0.221;0.279	#	-0.182;0.318	-0.083;0.207	-0.139;-0.008	-0.177;0.223	0.391;0.851	-0.175;0.275	-0.064;0.316	-0.117;0.253	0.399;0.811	-0.187;0.243	-0.068;0.282	0.350;0.637	0.457;0.892	0.490;0.788	100000	0.003	0.702	1	14.62	301	301	0.88		0	0
0.149;0.429	-0.094;0.156	0.750;1.250	0.765;1.235	0.875;1.125	0.840;1.160	0.224;0.504	0.640;1.020	-0.107;0.243	0.830;1.170	0.409;0.849	0.086;0.361	-0.176;0.184	0.457;0.887	-0.190;0.190	0.583;0.890	0.192;0.579	010000	1.000	1.000	1	30.94	49637	308	1.00		30	30
-0.117;0.133	0.170;0.550	0.284;0.594	0.795;1.205	#	0.679;0.929	0.484;0.844	-0.139;0.171	0.760;1.240	0.845;1.155	0.645;1.135	-0.167;0.176	0.354;0.644	-0.177;0.203	-0.170;0.170	-0.033;0.245	0.069;0.476	000010	1.000	1.000	1	37.87	49673	344	0.94		30	30
0.480;0.860	0.229;0.689	#	0.165;0.535	0.248;0.678	#	0.453;0.833	-0.127;0.263	#	0.332;0.642	0.354;0.774	0.116;0.401	0.405;0.865	0.381;0.791	0.075;0.395	0.147;0.394	-0.182;0.304	000100	1.000	1.000	1	55.66	49674	345	0.82		30	30
0.521;0.871	0.400;0.840	0.672;1.002	0.825;1.175	#	-0.209;0.211	0.850;1.150	#	-0.243;0.257	-0.141;0.149	0.825;1.175	-0.140;0.302	-0.228;0.262	#	-0.099;0.271	-0.008;0.368	-0.025;0.253	010000	1.000	1.000	1	40.62	49676	347	0.82		30	30
0.161;0.601	0.100;0.410	0.093;0.463	-0.005;0.385	#	0.007;0.497	#	0.377;0.817	-0.076;0.294	-0.033;-0.021	0.042;0.442	0.514;0.809	-0.017;0.453	0.017;0.337	0.432;0.802	0.311;0.777	0.871;0.948	000010	0.031	0.889	1	6.67	352	352	0.88		0	0
