-	/	0	00	04	0;	0cm	1	1-1/2	1-1/2-year	1-month	1-year	1-year-1-month	1-year-4-month	1-year-5-month	1/2	1/2/01	10	10-month	10-year	10-year-9-month	101	102	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	loss
#	#	0	0	0	0	0	0	0	0	0	0	0	1	0	#	#	0	0	0	0	0	0	000000000000000000000000000000000010000000000	0.362	0.951	3	191.10	9928	0	0.83		38	1196	0.049
0	0	1	1	0	0	0	0	0	0	#	1	0	0	0	1	#	0	0	0	#	#	0	100000000000000100000000000000000000000000000	0.646	0.978	1	40.75	9497	1	0.83		13	38	0.022
0	0	1	0	0	#	1	0	0	0	0	0	0	#	0	1	0	0	0	0	#	0	#	000000000000000000000000100000000000000000000	1.000	1.000	1	62.36	9498	2	0.83		13	13	0.000
0	0	0	0	0	0	1	0	0	0	0	1	0	#	0	1	1	0	0	0	0	0	1	000000000000000000000000100000000000000100000	1.000	1.000	5	17.30	9500	4	0.96		13	13	0.000
0	#	0	0	0	0	1	0	0	0	1	0	0	#	0	1	0	0	0	0	0	0	0	000000000000000000000000100000000000000000000	1.000	1.000	2	49.64	9501	5	0.91		13	13	0.000
0	0	#	0	0	0	0	0	1	0	0	0	#	0	0	0	0	0	0	0	1	0	0	000000000000000000000000000000000010000000000	1.000	1.000	4	41.40	9510	14	0.91		13	13	0.000
0	0	0	0	#	0	0	1	0	0	0	0	0	0	#	0	0	0	0	0	0	0	0	000000000100000000000000000000000000000000000	0.863	0.993	1	155.28	9775	19	0.91		66	79	0.007
0	0	0	0	0	0	0	0	0	0	1	0	#	0	0	0	0	0	0	0	0	1	1	000000000000000001000000000000000000000000000	1.000	1.000	5	23.29	9516	20	0.96		13	13	0.000
#	0	0	0	#	0	#	0	0	0	0	1	0	#	0	0	0	1	#	0	0	0	0	000010000000000000000000000000000000000000000	0.638	0.978	1	154.87	9518	22	0.78		13	26	0.022
0	0	0	1	0	0	0	0	0	1	#	0	0	0	0	0	0	0	0	#	0	1	0	000000000000000000000000000000000000100001000	1.000	1.000	5	10.27	9524	28	0.91		13	13	0.000
#	0	0	0	0	0	0	0	0	0	0	0	0	1	0	#	0	0	0	0	#	0	0	000000000000000000000000000000010000000000000	0.508	0.967	1	204.76	9908	35	0.87		181	645	0.033
0	0	0	0	#	0	0	0	1	1	1	1	0	0	0	0	1	#	0	0	0	0	0	000000000000000000000000000000000000100000000	1.000	1.000	6	11.19	9534	38	0.91		13	13	0.000
0	#	1	0	0	0	#	#	0	0	0	0	0	0	0	0	0	0	0	0	#	0	1	100000000000000000000000000000000000000000000	1.000	1.000	2	120.28	9849	39	0.83		26	26	0.000
0	0	#	0	0	#	0	0	0	0	0	0	0	0	0	#	0	#	0	0	0	0	#	100000000000000000000000000000000000000000000	0.543	0.970	1	203.23	9915	41	0.78		352	1071	0.030
0	0	0	#	0	0	0	0	0	#	0	0	1	0	0	#	0	0	0	0	0	0	0	000000000000000000000000000000000000001000000	1.000	1.000	1	183.71	9919	45	0.87		166	166	0.000
0	0	0	1	0	0	0	0	0	0	#	1	0	0	#	0	1	0	#	#	0	0	0	000000000000000000000000000000000000100001000	0.690	0.982	2	134.54	9727	46	0.83		53	156	0.018
0	0	1	1	0	0	0	0	#	0	#	0	0	0	0	1	0	0	0	1	0	0	0	100000000100000000000000000000000000000000000	1.000	1.000	2	23.69	9544	48	0.91		13	13	0.000
0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	#	0	000000000000000000000000000000000000010010000	0.495	0.965	1	31.58	9546	50	0.96		13	27	0.035
