Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0.184;0.575	#	#	-0.787;0.261	#	#	-0.023;0.162	#	#	#	#	#	#	#	#	#	000001011010100010000000101000010101000010000000000000000000000001000010110000010001000000000000000100010100010110000100000000000000000000000000000000100000000000000000000000	0.145	0.824	1	612.60	9828	65	0.09		29	1645
#	#	#	#	#	#	#	#	#	0.030;0.156	#	#	0.501;0.828	#	#	0.450;1.966	#	#	#	-9190801909209080177316568319008223220026557279922181009006929073466436045901025712219694576341815970108563146294997150137159882836804311427998557657258433210498224238886912.000;29193001929209300769992689451973758478574879584972843122383458612007885160451967089985393425325431142874682108173346334001088834417248396396506140545305366311814880458440704.000	#	#	#	#	#	#	#	#	#	#	-0.210;0.472	#	#	010001100010000110100010101000011010000000000001000000100000000010000000100000000000000000010010100001010101000100000100000000000000100000100000000000000000000000000000000000	0.102	0.796	2	621.00	9899	136	0.15		28	5036
#	#	#	0.344;0.571	#	#	#	#	#	#	0.348;0.571	#	#	#	#	-0.109;1.258	#	#	#	#	#	#	4.814;9.031	#	#	0.001;0.059	#	#	#	#	-0.051;0.205	#	#	010101100001100100000000000000000000000010000000000001000000000000000100010000010000000000000000100000000100010001000000110000000010000000000100000010100100000000000010000000	0.460	0.925	1	318.78	9908	145	0.18		28	56
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	-0.672;4.695	#	#	#	#	#	-0.005;0.550	#	#	#	#	010000000010000010011000001010010000000000000000000000000000000001000110101000010101000000010000000100110100110010000000000000000000000000000100000000000000000000010000000000	0.111	0.803	1	614.04	9737	325	0.06		28	9042
#	0.022;0.053	#	#	#	#	#	#	#	#	0.696;0.951	#	#	#	#	#	#	#	0.240;0.517	#	#	#	#	0.048;0.157	-0.485;6.425	#	#	0.541;0.905	#	#	#	#	0.118;0.207	010001100010001010001001100000010101000000000000000000000001000000000001000000000000101000000000000001010100010011100010011000000000000000000000000000000000010000000000000000	1.000	1.000	1	333.23	9773	361	0.21		27	27
#	#	#	#	#	#	-0.419;0.419	-2.325;2.325	#	#	#	#	#	#	#	#	#	#	#	#	-1.130;1.130	-0.305;0.305	#	#	#	-0.027;0.027	#	#	#	#	#	-0.267;0.267	#	011001011010101010011000001010010100000000000000000000000000000110000100110000010000000000010001010100010100010010101000000000000000000010000100000110000000000001000000001000	0.346	0.899	1	61.91	9966	554	0.18		27	54
#	#	#	#	#	#	#	#	-0.064;0.149	#	#	#	#	#	#	#	#	0.302;0.766	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	000001001010011010001001101000010101100000000000001000000000000001000010101000010000000000010001000101010100010011000000010001000000000000000000000000000000000000000011000000	0.092	0.788	1	579.92	9742	681	0.06		26	9158
#	0.005;0.033	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0.731;0.987	#	#	010100100000000100001010100000001000000000000000000000000000000000000000000000010100000000000000101000000000001100000100000010000010000000100000000000000000000000000000000000	0.222	0.860	1	63.49	9883	822	0.06		25	78
-1.655;2.610	0.005;0.033	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0.023;0.326	#	#	#	#	#	#	#	#	#	010100100000000100001010100000001000000000000000000000000000000000000000000000010100000000000000101000000000001100000100000010000010000000100000000000000000000000000000000000	0.514	0.936	1	75.45	9883	822	0.09		25	51
#	#	#	#	#	#	#	#	#	#	-0.280;0.280	#	#	-0.049;0.080	#	#	#	#	#	#	-1.130;1.130	#	#	#	-1.752;1.752	-0.027;0.027	#	-0.169;0.169	#	#	#	-0.267;0.267	#	011001011010101010011000001010010100000000000000000000000000000110000100110000010000000000010001010100010100010010101000000000000000000010000100000110000000000001000000001000	1.000	1.000	2	55.93	9966	905	0.21		26	26
