Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Att18	Att19	Att20	Att21	Att22	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-83.295;-67.462	#	#	0.008;0.115	#	-2.781;5.993	0.236;0.404	-0.031;0.137	#	#	#	#	#	0.012;0.070	#	0.166;1.169	#	2.661;3.996	#	#	1.129;2.035	#	100001	1.000	1.000	1	70.34	9937	56	0.41		51	51
#	-0.010;0.150	0.251;0.438	#	#	#	#	0.136;0.316	0.270;0.794	1.695;5.398	#	0.708;0.937	#	#	0.004;0.011	-0.463;0.984	#	#	#	#	#	-0.363;0.643	000001	1.000	1.000	1	50.71	9956	75	0.41		26	26
#	0.063;0.212	0.047;0.202	0.012;0.197	#	-2.076;6.097	#	-0.011;0.203	-0.218;0.603	2.574;9.116	#	#	#	0.034;0.082	0.013;0.025	#	#	#	#	#	0.482;1.579	#	010010	1.000	1.000	2	50.49	9966	85	0.45		26	26
-83.675;-66.130	#	#	0.119;0.301	#	2.283;6.129	#	-0.032;0.171	-0.049;0.475	-0.245;6.420	#	#	0.141;0.590	0.095;0.161	#	0.175;0.677	#	0.771;1.764	0.149;0.638	#	0.694;1.490	-0.135;1.068	100001	1.000	1.000	1	68.38	9972	91	0.59		26	26
-91.541;-63.297	0.065;0.135	#	0.081;0.151	-0.573;0.573	#	0.255;0.391	-0.021;0.220	#	1.883;5.216	-0.251;0.588	0.518;0.878	0.261;0.525	#	#	#	#	0.376;1.711	#	#	0.243;1.203	#	000001	0.135	0.670	1	80.90	9998	117	0.55		152	227
#	#	-0.060;0.178	#	#	3.135;9.986	#	-0.053;0.169	#	#	#	#	0.127;0.602	0.026;0.078	0.016;0.027	#	-0.109;0.477	#	0.323;0.680	0.138;0.181	#	#	110001	1.000	1.000	2	48.95	9628	138	0.41		25	25
-68.080;-67.790	#	0.034;0.148	0.016;0.165	#	#	-0.081;0.160	#	0.043;0.487	#	#	#	#	#	0.001;0.014	#	#	#	0.225;0.865	#	0.759;1.747	#	001110	0.000	0.286	1	26.86	157	157	0.36		0	0
#	0.146;0.202	#	0.054;0.174	#	3.481;9.731	#	0.001;0.112	-0.077;0.721	#	#	#	0.018;0.454	0.075;0.155	#	0.424;0.906	0.333;1.204	#	0.505;1.033	#	1.667;2.490	#	000010	1.000	1.000	2	87.44	9674	184	0.50		25	25
#	#	0.157;0.278	0.211;0.342	#	#	#	0.110;0.225	#	#	#	0.415;0.764	-0.022;0.360	#	#	-0.662;0.399	-0.004;0.783	#	0.228;0.501	#	#	-0.046;1.049	010000	1.000	1.000	1	57.82	9692	202	0.41		26	26
#	0.028;0.167	#	0.192;0.260	#	1.619;6.667	#	-0.060;0.271	#	1.294;5.244	0.169;0.946	#	-0.147;0.329	#	0.003;0.014	#	-0.351;0.821	#	0.102;0.469	0.072;0.112	#	-0.395;0.485	110000	1.000	1.000	1	68.39	9725	235	0.55		25	25
-79.993;-56.029	0.034;0.131	#	#	0.784;1.242	#	#	#	-0.059;0.499	1.423;5.126	0.045;0.600	#	0.308;0.506	#	#	0.574;1.210	-0.086;0.667	#	#	#	0.713;1.756	0.338;1.630	100001	1.000	1.000	1	56.02	9747	257	0.50		26	26
#	0.120;0.192	#	0.066;0.191	#	#	#	#	0.006;0.394	#	#	0.345;0.689	0.384;0.774	#	0.007;0.014	0.474;1.285	-0.386;0.870	-0.352;1.359	0.359;0.811	#	0.026;2.002	#	001000	1.000	1.000	2	63.75	9749	259	0.50		26	26
-107.893;-81.789	#	#	0.165;0.298	#	1.118;6.886	#	0.189;0.384	0.891;1.472	#	#	#	-0.086;0.237	0.032;0.131	0.004;0.011	#	#	-0.968;1.051	#	#	#	#	000110	1.000	1.000	2	36.46	9790	300	0.41		26	26
#	#	0.236;0.407	#	#	#	-0.037;0.140	#	0.243;1.052	0.475;6.771	#	#	#	0.072;0.114	0.005;0.012	#	#	1.633;4.201	#	0.046;0.105	0.636;2.200	0.715;1.630	001110	1.000	1.000	1	53.75	9810	320	0.45		25	25
#	0.040;0.120	0.082;0.203	0.126;0.201	#	0.607;8.419	#	#	0.038;0.436	#	0.007;0.846	#	#	#	0.011;0.017	#	0.067;0.905	0.691;2.368	#	0.104;0.149	0.371;1.304	-0.076;0.912	100000	1.000	1.000	2	45.26	9843	353	0.55		25	25
#	0.026;0.094	#	0.200;0.299	-0.326;0.326	1.623;7.872	0.059;0.209	0.232;0.400	#	#	#	0.261;0.660	#	0.056;0.143	#	#	#	-0.646;1.407	#	0.082;0.103	#	#	000110	0.003	0.500	1	21.50	415	415	0.45		0	0
#	-0.020;0.105	0.143;0.282	#	#	4.449;7.934	#	#	0.769;1.111	#	#	#	-0.038;0.252	#	#	-0.131;1.104	#	#	#	#	#	-0.193;0.489	001100	1.000	1.000	1	62.36	9909	419	0.32		48	48
#	#	#	-0.004;0.129	0.455;0.896	#	#	-0.001;0.148	#	#	#	0.337;0.485	#	#	0.003;0.011	0.335;0.933	#	#	#	#	0.031;1.512	#	100001	0.059	0.567	1	87.92	9960	420	0.32		195	344
#	-0.010;0.150	0.251;0.438	#	#	#	#	0.136;0.316	0.270;0.794	1.695;5.398	#	0.708;0.937	#	#	#	-0.463;0.984	#	#	#	#	#	-0.363;0.643	000001	1.000	1.000	2	54.30	9956	466	0.36		24	24
-86.401;-65.004	-0.010;0.150	0.251;0.438	#	#	#	#	0.136;0.316	0.270;0.794	1.695;5.398	#	0.708;0.937	#	#	0.004;0.011	-0.463;0.984	#	#	#	#	#	-0.363;0.643	000001	1.000	1.000	1	54.30	9956	466	0.45		24	24
#	#	#	#	0.455;0.896	#	#	-0.001;0.148	#	#	#	#	#	#	0.011;0.011	0.335;0.933	#	#	#	#	0.031;1.512	#	100001	0.001	0.394	1	91.67	470	470	0.23		0	0
#	#	#	#	-0.590;-0.104	#	0.192;0.347	#	0.032;0.453	#	-0.198;0.653	#	0.154;0.352	#	#	#	-0.020;0.617	0.741;2.281	#	0.062;0.113	#	#	011000	0.000	0.233	1	108.16	484	484	0.36		0	0
#	#	0.038;0.197	#	#	#	#	#	#	-0.439;5.856	#	#	-0.061;-0.028	0.007;0.131	0.001;0.014	#	#	-0.923;1.575	#	#	0.759;1.747	#	001110	0.007	0.533	1	125.80	491	491	0.32		0	0
#	-0.041;0.119	#	#	-0.300;0.300	#	#	#	0.773;1.547	#	0.358;0.873	#	#	#	0.003;0.011	-0.301;1.107	0.404;0.856	#	#	0.061;0.096	#	#	001110	0.141	0.676	1	55.00	9979	625	0.36		48	71
#	#	#	0.178;0.274	#	1.619;6.667	#	-0.060;0.208	0.244;0.655	1.294;5.244	0.169;0.946	#	-0.147;0.329	#	0.003;0.014	#	-0.351;0.821	#	0.102;0.469	0.072;0.112	#	-0.395;0.485	110000	1.000	1.000	2	70.60	9725	626	0.55		24	24
#	#	#	#	#	#	0.152;0.311	#	-0.175;0.315	-1.433;6.344	#	0.408;0.763	#	0.017;0.074	0.003;0.012	#	#	-0.360;1.899	#	#	#	-0.266;0.541	000001	0.044	0.535	1	82.12	9963	633	0.36		502	939
-106.593;-75.918	#	-0.006;0.181	#	-0.414;0.414	3.982;10.712	#	#	#	2.376;8.424	#	#	#	0.130;0.250	#	0.500;1.291	-0.115;0.555	#	#	#	0.409;1.232	#	000100	1.000	1.000	1	42.63	9761	662	0.41		24	24
#	#	#	-0.004;0.129	0.455;0.896	#	#	-0.001;0.148	-0.345;0.177	-1.419;5.369	#	0.337;0.485	#	#	0.003;0.015	#	#	#	#	#	#	#	100001	0.077	0.598	1	90.13	9960	668	0.32		213	356
-107.893;-81.789	#	#	#	#	1.118;6.886	#	0.189;0.384	0.891;1.472	#	#	#	-0.086;0.237	0.032;0.131	0.004;0.011	#	#	-0.968;1.051	#	#	#	#	000110	1.000	1.000	2	38.01	9790	691	0.36		24	24
-95.573;-65.190	#	0.071;0.154	0.024;0.189	-0.561;0.708	13.403;14.602	#	0.035;0.196	#	#	#	0.299;0.610	#	#	#	#	#	0.105;1.166	#	0.061;0.089	0.606;1.731	#	000110	0.001	0.375	1	129.25	702	702	0.45		0	0
#	#	0.236;0.407	#	#	#	-0.037;0.140	#	0.243;1.052	0.475;6.771	#	#	#	0.072;0.114	0.005;0.012	#	#	1.633;4.201	#	0.024;0.105	0.636;2.200	0.715;1.630	001110	1.000	1.000	1	56.82	9810	711	0.45		23	23
-83.295;-67.462	#	#	0.008;0.115	#	-2.781;5.993	0.236;0.404	-0.031;0.137	-0.129;0.567	#	#	#	#	0.012;0.070	#	0.166;1.169	#	2.661;3.996	#	#	1.129;2.035	#	100001	1.000	1.000	1	71.11	9937	835	0.45		47	47
#	#	0.053;0.157	0.081;0.151	-0.573;0.573	#	0.089;0.311	#	#	#	#	#	0.261;0.525	#	#	#	#	#	0.112;0.762	#	0.243;1.203	#	000001	0.217	0.736	1	110.29	9963	846	0.32		327	444
#	#	#	-0.004;0.129	0.455;0.896	#	#	-0.001;0.148	-0.345;0.177	#	#	0.337;0.485	#	#	0.004;0.015	#	#	#	#	#	0.031;1.512	#	100001	0.078	0.601	1	90.13	9960	861	0.32		209	348
#	0.063;0.212	0.047;0.202	0.012;0.197	#	-2.076;6.097	#	-0.011;0.203	-0.218;0.603	2.574;9.116	#	#	#	0.034;0.082	0.013;0.025	#	#	#	0.317;0.891	#	0.482;1.579	#	010010	1.000	1.000	1	55.21	9966	867	0.50		23	23
-71.234;-57.541	0.060;0.160	0.056;0.212	#	0.155;1.001	#	#	0.057;0.161	#	#	#	#	0.312;0.536	0.132;0.185	0.009;0.020	-0.337;1.091	#	0.630;2.924	#	#	#	0.327;1.494	110000	1.000	1.000	1	58.88	9986	887	0.50		23	23
#	0.026;0.154	#	-0.004;0.129	0.455;0.896	#	#	-0.001;0.148	-0.345;0.177	-1.419;5.369	#	0.337;0.485	#	#	0.003;0.015	#	#	#	#	#	#	#	100001	0.076	0.597	1	90.13	9960	915	0.36		206	345
#	#	-0.060;0.178	#	#	3.135;9.986	#	-0.053;0.169	#	#	#	#	0.127;0.602	0.026;0.078	0.016;0.027	#	#	#	0.323;0.680	0.138;0.181	#	#	110001	1.000	1.000	1	53.16	9628	920	0.36		22	22
