Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Att18	Att19	Att20	Att21	Att22	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	0.002;0.074	0.132;0.294	0.208;0.331	#	#	#	0.074;0.274	#	#	#	0.570;0.772	#	#	#	-0.208;1.181	#	#	0.249;0.484	#	#	#	001100	0.127	0.662	2	48.98	9909	28	0.32		102	154
#	#	#	#	#	#	#	0.004;0.238	-0.270;0.436	1.179;6.610	-0.135;0.310	#	0.486;0.750	-0.033;0.085	#	0.455;1.091	-0.434;0.621	#	0.340;0.876	0.133;0.168	#	0.117;0.960	000001	1.000	1.000	1	35.32	9980	99	0.50		26	26
-86.022;-69.332	#	#	#	#	#	#	#	0.018;0.622	#	0.086;0.530	#	#	#	#	#	0.068;0.503	-0.816;-0.333	#	#	#	-0.642;0.705	011100	0.000	0.167	1	12.01	104	104	0.27		0	0
#	#	0.026;0.242	#	0.129;1.028	#	0.153;0.389	-0.021;0.239	#	0.754;7.049	#	#	0.186;0.662	0.137;0.181	#	#	#	0.938;2.616	#	#	#	#	110000	1.000	1.000	2	57.52	9986	105	0.36		26	26
-98.356;-79.099	0.102;0.113	#	#	#	#	-0.031;0.252	#	0.055;0.636	2.070;9.106	0.157;0.737	#	-0.059;0.370	#	#	#	0.260;0.746	-0.516;1.743	0.153;1.209	#	1.099;1.950	-0.202;1.072	001100	0.003	0.500	1	7.50	123	123	0.55		0	0
#	#	#	0.015;0.161	-0.326;0.944	-0.415;7.638	#	#	#	#	-0.044;0.412	0.508;0.677	0.441;0.665	#	#	0.193;1.447	#	#	0.174;0.494	#	-0.229;1.692	-0.108;1.077	001010	1.000	1.000	2	74.12	9670	180	0.45		24	24
-87.707;-76.153	-0.033;0.168	0.013;0.241	#	#	#	#	-0.007;0.201	#	4.701;9.021	#	0.528;0.705	#	#	#	#	#	-0.388;2.099	#	#	0.539;2.569	#	011000	0.065	0.579	2	76.08	9991	231	0.36		172	297
-87.551;-64.015	-0.030;0.100	#	#	#	#	#	#	#	#	-0.114;0.775	0.347;0.587	-0.338;0.133	0.002;0.115	#	0.308;1.446	#	#	0.523;0.777	0.092;0.105	#	#	001110	0.012	0.500	1	80.88	297	297	0.41		0	0
#	0.043;0.101	#	#	-0.643;0.643	-0.098;6.992	0.053;0.353	#	-0.075;-0.029	#	#	#	0.078;0.494	#	0.004;0.013	#	-0.402;0.820	-0.565;1.487	0.210;0.565	#	-0.113;1.680	-0.165;0.733	000001	0.000	0.241	1	114.65	337	337	0.55		0	0
#	0.010;0.110	0.150;0.340	0.211;0.289	-0.476;0.476	#	#	0.193;0.439	0.484;1.389	#	#	0.319;0.603	-0.089;0.321	0.077;0.123	0.003;0.013	#	#	#	0.194;0.862	0.050;0.111	#	#	000110	0.136	0.671	2	51.13	9905	415	0.55		49	73
#	0.002;0.074	0.132;0.294	0.208;0.422	#	#	#	0.074;0.274	#	#	0.869;1.695	0.570;0.772	#	#	#	-0.208;1.181	#	#	0.249;0.484	#	#	#	001100	1.000	1.000	1	45.88	9909	419	0.36		49	49
#	0.002;0.074	0.132;0.294	0.208;0.331	#	#	#	0.074;0.274	#	#	#	0.570;0.772	#	#	#	-0.208;1.181	#	-0.349;1.362	0.249;0.484	#	0.794;1.480	#	001100	1.000	1.000	1	65.65	9909	419	0.41		24	24
-78.492;-59.663	0.012;0.131	#	0.059;0.137	#	-0.785;6.065	#	#	-0.051;0.405	#	#	#	0.227;0.425	0.045;0.091	#	#	#	0.136;1.402	#	0.065;0.120	#	#	000001	0.040	0.526	2	92.64	9998	455	0.41		488	928
#	#	-0.000;0.174	#	#	#	#	0.004;0.238	-0.270;0.436	1.179;6.610	-0.135;0.310	0.403;0.768	0.486;0.750	-0.033;0.085	#	0.455;1.091	-0.434;0.621	#	0.340;0.876	0.133;0.168	#	0.117;0.960	000001	1.000	1.000	1	37.10	9980	490	0.59		24	24
-96.975;-79.002	#	#	#	#	#	#	0.004;0.238	-0.270;0.436	1.179;6.610	-0.135;0.310	0.381;0.790	0.486;0.750	-0.033;0.085	#	0.455;1.091	-0.434;0.621	#	0.340;0.876	0.133;0.168	#	0.117;0.960	000001	1.000	1.000	1	37.10	9980	490	0.59		24	24
#	#	0.026;0.242	#	0.129;1.028	#	0.153;0.389	-0.021;0.239	#	0.754;7.049	#	#	0.186;0.662	0.137;0.181	#	#	-0.060;0.526	0.938;2.616	#	#	#	#	110000	1.000	1.000	1	62.63	9986	496	0.41		24	24
#	-0.005;0.108	#	#	1.003;1.796	-0.022;3.343	#	-0.064;0.173	#	-0.667;5.011	#	0.329;0.471	0.317;0.772	-0.011;0.062	0.005;0.010	#	-0.204;0.516	2.074;3.238	#	#	#	#	100000	0.061	0.571	1	93.97	9990	535	0.50		96	168
#	#	#	#	#	1.030;6.463	#	#	#	#	-0.073;0.504	0.746;0.882	#	0.010;0.050	#	#	#	1.121;3.449	0.181;0.454	#	#	#	100001	1.000	1.000	1	98.96	9636	537	0.27		23	23
-106.395;-83.287	#	#	0.166;0.297	#	2.500;5.504	#	#	#	2.252;10.892	0.331;1.059	0.283;0.540	-0.047;0.198	0.022;0.140	#	-0.056;1.313	1.470;1.989	#	#	0.058;0.087	#	-0.569;0.652	000110	1.000	1.000	2	51.42	9790	691	0.55		24	24
#	#	#	0.166;0.297	#	2.500;5.504	#	#	#	2.252;10.892	0.331;1.059	0.283;0.540	-0.047;0.198	0.022;0.140	0.002;0.013	-0.056;1.313	1.470;1.989	#	0.318;0.601	0.058;0.087	#	-0.569;0.652	000110	1.000	1.000	2	51.42	9790	691	0.59		24	24
#	0.121;0.216	#	#	#	#	#	#	#	9.346;12.455	#	#	#	#	#	0.579;1.081	#	-0.381;0.919	0.299;1.005	#	1.022;3.080	-0.142;0.307	001100	0.013	0.667	1	31.00	741	741	0.32		0	0
#	-0.008;0.128	0.177;0.365	0.227;0.316	-0.287;0.366	#	#	0.215;0.464	0.295;1.092	#	0.510;1.373	0.635;0.788	#	0.047;0.098	#	-0.105;1.110	0.353;0.956	0.054;1.013	0.376;0.772	0.061;0.110	#	#	001100	1.000	1.000	1	62.40	9907	808	0.64		23	23
#	-0.010;0.122	0.094;0.186	#	#	#	0.257;0.403	#	#	1.420;6.111	#	0.422;0.613	0.020;0.290	#	#	-0.462;1.163	-0.489;0.691	0.557;1.447	#	#	#	#	011000	0.132	0.667	1	107.96	9957	858	0.41		46	69
#	#	-0.000;0.174	#	#	#	#	0.004;0.238	-0.270;0.436	1.179;1.566	-0.135;0.310	0.403;0.768	0.486;0.750	-0.033;0.085	#	0.455;1.091	-0.434;0.621	#	0.340;0.876	0.133;0.168	#	0.117;0.960	000001	0.100	1.000	1	27.00	881	881	0.59		0	0
-87.707;-76.153	-0.033;0.168	0.013;0.241	#	#	#	#	#	#	4.701;9.021	#	0.528;0.705	#	#	#	#	#	-0.388;2.099	#	#	0.539;2.569	#	011000	0.044	0.536	2	77.51	9991	892	0.32		162	302
#	#	#	#	#	6.014;9.745	0.309;0.464	-0.059;0.175	-0.174;0.373	#	#	#	#	0.013;0.091	#	#	#	#	0.290;0.713	#	0.537;1.690	0.859;1.667	110001	1.000	1.000	1	35.07	9628	920	0.36		22	22
#	0.040;0.129	-0.035;0.248	0.042;0.112	#	0.814;4.395	0.268;0.449	#	#	#	-0.397;0.297	#	0.128;0.623	-0.004;0.053	0.012;0.016	-0.306;1.005	-0.052;0.383	#	#	#	#	#	100001	1.000	1.000	1	101.43	9636	928	0.50		22	22
#	#	#	#	#	#	-0.019;0.190	#	0.330;0.946	#	0.142;0.907	0.482;0.815	#	#	#	#	0.131;1.102	#	0.709;1.208	0.067;0.092	#	#	000100	1.000	1.000	1	68.49	9654	946	0.32		22	22
#	0.129;0.218	#	#	#	4.563;8.649	#	-0.042;0.154	#	0.820;9.090	-0.180;0.634	0.216;0.626	#	0.086;0.144	#	#	#	#	#	#	#	#	000010	1.000	1.000	2	40.25	9674	966	0.32		22	22
-74.297;-54.184	-0.007;0.030	#	#	#	-0.098;5.070	0.176;0.295	#	#	-0.293;4.801	#	0.335;0.614	#	-0.007;0.058	#	-0.026;0.746	#	#	0.100;0.402	0.070;0.098	#	#	000001	1.000	1.000	1	146.26	9713	1005	0.45		23	23
-83.845;-62.448	0.051;0.144	#	0.188;0.264	-0.334;0.424	2.169;10.462	0.136;0.263	#	#	#	-0.055;0.562	#	-0.042;0.274	#	#	#	-0.234;0.904	#	#	#	#	-0.302;0.560	110000	1.000	1.000	2	57.69	9725	1017	0.45		23	23
-87.551;-64.015	#	#	0.117;0.237	-0.552;0.594	#	-0.042;0.188	0.346;0.484	#	0.705;8.235	#	0.347;0.587	#	0.002;0.115	#	0.308;1.446	-0.140;0.714	#	0.137;0.961	0.060;0.105	#	#	001110	1.000	1.000	1	38.97	9810	1102	0.55		22	22
#	0.121;0.216	#	#	#	#	0.206;0.369	#	#	5.049;12.455	#	#	#	#	#	0.579;1.081	#	-0.381;0.919	0.299;1.005	#	1.022;3.080	-0.142;0.307	001100	1.000	1.000	1	51.86	9840	1132	0.36		22	22
#	#	#	0.208;0.331	#	#	0.006;0.119	#	#	#	#	0.570;0.772	#	#	#	#	#	#	0.243;0.789	0.046;0.103	#	-0.233;0.933	001100	0.052	0.554	2	45.81	9909	1153	0.27		113	204
#	#	#	0.208;0.331	#	#	0.006;0.133	#	#	#	#	0.570;0.772	#	#	#	#	#	#	0.243;0.789	0.046;0.095	0.730;1.498	#	001100	0.127	0.662	1	51.10	9909	1199	0.27		45	68
-87.707;-76.153	-0.033;0.168	#	#	#	#	#	#	#	4.701;9.021	#	0.528;0.705	#	#	#	-0.484;0.365	#	-0.388;2.099	#	#	0.539;2.569	#	011000	1.000	1.000	3	95.80	9991	1239	0.32		89	89
-82.977;-53.236	0.025;0.114	0.273;0.416	#	-0.402;0.832	-0.995;7.538	#	0.118;0.333	#	#	#	#	#	0.034;0.091	#	#	-0.056;0.832	0.554;1.402	0.144;0.586	0.055;0.108	0.035;0.996	#	000001	1.000	1.000	1	43.89	9956	1248	0.55		22	22
-81.878;-62.193	0.003;0.141	#	#	#	#	-0.031;0.119	0.129;0.412	0.055;0.636	#	0.157;0.737	0.256;0.622	#	0.009;0.025	0.000;0.013	#	#	#	0.243;0.789	0.046;0.103	#	#	001100	0.000	0.148	1	311.58	1259	1259	0.50		0	0
-87.454;-64.015	#	#	0.034;0.146	#	3.098;10.789	#	#	#	3.922;9.353	0.703;1.147	#	#	0.023;0.091	#	#	0.271;1.067	-0.075;1.088	0.137;0.955	0.060;0.085	1.171;2.653	-0.830;0.639	001110	1.000	1.000	1	53.96	9973	1265	0.55		22	22
#	#	#	#	#	4.214;12.506	#	0.004;0.238	-0.270;0.436	1.179;6.610	#	#	0.486;0.750	-0.033;0.085	#	0.455;1.091	-0.434;0.621	#	#	0.133;0.168	0.290;1.690	0.117;0.960	000001	1.000	1.000	2	38.09	9980	1272	0.50		22	22
#	#	#	#	0.129;1.028	#	0.153;0.389	-0.021;0.239	#	0.754;7.049	-0.063;0.677	#	0.186;0.662	0.137;0.181	0.010;0.019	#	#	#	#	#	#	#	110000	1.000	1.000	1	65.21	9986	1278	0.36		22	22
#	#	#	-0.033;0.124	1.003;1.796	-0.022;3.343	#	#	#	#	#	#	0.317;0.772	-0.011;0.062	0.005;0.010	#	#	2.074;3.238	#	#	#	#	100000	0.054	0.558	2	85.22	9990	1317	0.32		110	197
#	#	#	#	#	0.814;6.463	#	#	#	#	-0.073;0.504	0.746;0.882	0.128;0.623	-0.004;0.053	#	#	#	1.121;3.449	0.144;0.577	#	#	#	100001	1.000	1.000	1	102.78	9636	1319	0.32		21	21
-78.492;-59.663	0.012;0.131	#	0.059;0.137	#	-0.387;4.902	0.170;0.383	#	-0.051;0.405	#	#	#	0.227;0.425	#	#	#	#	0.136;1.402	#	#	#	#	000001	0.045	0.538	1	97.00	9998	1347	0.36		463	861
#	#	0.055;0.139	0.034;0.146	#	3.098;10.789	-0.042;0.108	#	0.309;0.811	#	#	#	-0.110;0.129	#	0.003;0.016	#	#	#	0.137;0.878	0.060;0.105	#	-0.115;0.639	001110	0.072	0.591	1	81.58	9993	1377	0.45		156	264
#	0.036;0.168	0.051;0.191	#	-0.398;0.430	#	#	#	#	#	#	#	0.054;0.417	0.018;0.077	#	1.064;1.816	#	-0.388;2.099	#	#	0.539;2.569	#	011000	0.132	0.667	1	44.45	9997	1443	0.36		44	66
#	#	-0.035;0.117	#	-0.161;0.721	0.814;6.463	#	#	-0.057;0.251	-0.728;4.703	#	#	#	-0.004;0.050	#	#	-0.303;0.568	0.580;1.812	#	#	#	-0.040;0.408	100001	0.053	0.556	1	79.61	9983	1479	0.41		110	198
-95.309;-83.327	0.156;0.314	#	-0.002;0.191	-0.405;0.405	#	#	0.007;0.157	#	#	#	#	-0.071;0.305	0.125;0.247	#	#	#	#	#	#	#	#	000100	1.000	1.000	2	59.95	9831	1514	0.32		21	21
#	#	-0.035;0.117	-0.018;0.133	#	0.814;6.463	#	#	-0.057;0.434	-0.728;4.703	-0.397;0.504	0.278;0.597	0.144;0.355	-0.004;0.050	#	#	#	#	0.144;0.185	#	#	#	100001	1.000	1.000	2	143.48	9942	1536	0.45		43	43
#	0.003;0.113	#	#	#	#	#	#	#	4.763;12.292	#	#	#	#	#	#	#	#	#	0.070;0.095	1.099;1.126	#	001100	1.000	1.000	1	62.90	9907	1541	0.18		22	22
-88.460;-65.780	0.134;0.229	0.066;0.154	#	#	#	#	#	#	1.807;8.472	#	#	0.402;0.626	0.030;0.148	#	#	#	#	0.170;0.866	#	0.080;1.439	-0.073;0.537	001000	0.137	0.672	2	47.26	9877	1560	0.41		43	64
-72.548;-69.266	-0.010;0.122	0.094;0.186	#	#	2.391;6.116	0.156;0.383	0.104;0.230	#	-1.423;5.281	0.066;0.794	#	0.020;0.290	#	0.003;0.013	-0.462;0.830	#	1.074;1.698	0.108;0.748	#	-0.270;1.259	#	011000	1.000	1.000	1	190.38	9906	1589	0.64		21	21
#	#	#	#	0.401;1.054	6.197;10.523	#	#	-0.197;0.555	-1.064;5.725	-0.166;0.513	#	0.309;0.666	#	#	0.455;0.882	#	#	0.448;0.768	#	0.362;2.118	#	000001	1.000	1.000	1	37.80	9980	1663	0.41		21	21
#	#	0.034;0.164	#	#	-0.785;6.065	0.170;0.383	#	-0.051;0.405	#	#	#	0.227;0.425	0.045;0.091	#	#	#	0.136;1.402	#	#	#	#	000001	0.045	0.538	1	94.86	9998	1675	0.32		448	833
-87.463;-58.364	-0.028;0.134	#	#	1.978;2.004	#	0.236;0.485	-0.088;0.192	#	#	-0.168;0.462	#	#	#	#	#	#	#	#	#	-0.362;1.037	#	110000	0.000	0.226	1	208.88	1684	1684	0.32		0	0
-78.492;-59.663	0.012;0.131	#	0.059;0.137	-0.389;0.458	#	0.170;0.383	#	-0.051;0.405	#	#	#	0.227;0.425	#	0.001;0.013	#	#	0.136;1.402	#	#	#	#	000001	0.045	0.537	1	96.63	9998	1696	0.41		445	828
#	-0.005;0.108	#	#	1.003;1.796	-0.022;3.343	#	-0.064;0.173	#	-0.667;5.011	#	0.329;0.471	0.119;0.772	-0.011;0.062	0.005;0.010	#	-0.204;0.516	2.074;3.238	#	#	#	#	100000	0.061	0.571	1	93.97	9990	1708	0.50		84	147
#	-0.033;0.114	#	0.099;0.224	#	#	-0.012;0.110	#	#	#	#	0.389;0.705	-0.014;0.191	0.036;0.082	-0.004;0.014	-0.462;0.811	0.071;0.841	0.945;1.869	#	#	0.539;2.569	0.087;0.625	011000	0.042	0.529	1	64.55	9922	1763	0.55		144	272
-75.186;-60.637	#	-0.035;0.117	#	#	#	#	#	#	#	-0.397;0.504	#	0.194;0.465	-0.004;0.050	0.003;0.012	-0.306;1.005	#	1.132;2.740	0.144;0.577	#	#	#	100001	0.086	0.613	1	96.46	9942	1783	0.41		231	377
-108.321;-81.361	#	0.138;0.335	#	#	2.500;5.504	#	#	#	#	#	#	#	0.077;0.140	0.003;0.013	#	1.470;1.989	#	0.194;0.862	#	0.419;1.434	-0.569;0.652	000110	1.000	1.000	2	52.69	9790	1864	0.41		21	21
#	#	-0.035;0.117	-0.018;0.133	#	0.814;6.463	#	-0.026;0.150	-0.218;0.251	-0.728;4.703	-0.397;0.504	#	0.144;0.355	0.001;0.050	#	#	-0.303;0.568	0.580;1.812	#	#	#	#	100001	0.043	0.534	1	85.98	9983	1870	0.50		167	313
-87.707;-76.153	-0.033;0.125	0.013;0.241	#	#	#	#	0.025;0.228	#	#	#	0.452;0.665	#	0.022;0.082	0.001;0.014	#	0.071;0.841	0.945;1.426	#	#	0.539;2.569	0.087;0.625	011000	0.284	0.777	1	82.65	9922	1872	0.50		143	184
#	#	#	0.060;0.135	#	#	#	#	#	5.049;12.455	#	#	#	#	#	0.579;1.081	#	-0.381;0.919	0.299;1.005	#	1.022;3.080	-0.142;0.307	001100	1.000	1.000	1	51.31	9840	1914	0.32		20	20
