-	/	0	00	04	0;	0cm	1	1-1/2	1-1/2-year	1-month	1-year	1-year-1-month	1-year-4-month	1-year-5-month	1/2	1/2/01	10	10-month	10-year	10-year-9-month	101	102	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	0	0	#	0	#	#	0	#	#	1	1	#	0	#	0	0	0	#	#	#	#	0	000000000000000000000000000000000000101000000	0.293	0.884	1	49.13	645	0	0.52		2	25
#	0	1	#	#	0	0	0	0	0	#	1	#	#	0	0	0	0	0	#	0	#	0	100000000000000000000000000000000000000000000	0.925	0.992	4	63.15	972	1	0.65		23	23
#	#	0	0	0	#	0	0	0	#	0	0	#	0	#	1	#	#	0	#	#	0	0	000000000000000000000000000000000001000000000	0.434	0.920	4	104.22	934	2	0.57		10	75
#	#	0	#	#	0	#	0	0	#	#	#	0	0	#	#	0	0	#	#	0	#	1	000000000000000000000000000000000000000001000	0.578	0.947	2	38.40	899	3	0.43		14	25
1	0	0	0	0	#	0	#	0	#	#	0	#	1	#	0	0	#	0	0	#	0	#	000010000000000000000000000000000000000000000	0.856	0.985	4	133.18	913	4	0.61		38	46
1	#	0	0	#	0	#	#	#	0	0	1	0	#	#	0	1	#	0	0	#	#	0	000010000000000000000000000000001000000000000	1.000	1.000	1	6.00	650	5	0.57		2	2
1	#	#	0	#	0	#	#	#	0	0	0	#	0	#	0	#	0	0	0	0	#	0	000010000000000000000000000000000000000000000	0.830	0.982	2	161.33	974	6	0.57		110	113
0	0	#	#	#	0	#	#	#	#	#	#	0	#	#	0	#	#	0	#	0	0	#	100000000000000000000000000000000000000000000	0.486	0.930	4	130.76	972	7	0.35		97	359
1	#	0	#	0	#	#	#	#	0	#	#	#	1	0	0	#	1	0	0	0	#	0	000010000000000000000000000000000000000000000	0.460	0.925	2	57.85	950	9	0.52		13	44
#	0	#	1	#	#	#	#	#	0	0	1	#	0	0	0	0	#	#	0	#	0	#	100000000000000000000000000000000000000001000	0.740	0.970	1	57.33	10	10	0.48		4	9
