Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-0.205;0.215	-0.213;0.217	0.093;0.503	0.574;0.834	0.534;0.854	0.853;1.113	0.015;0.505	0.489;0.779	-0.182;0.188	0.468;0.808	#	0.345;0.728	-0.148;0.152	-0.178;0.182	0.473;0.783	0.350;0.756	0.199;0.547	010000	1.000	1.000	1	54.44	49395	66	0.94		30	30
0.800;1.200	0.013;0.463	#	0.321;0.601	#	0.096;0.546	0.762;1.172	0.655;1.095	0.171;0.581	#	0.487;0.787	0.583;0.946	0.442;0.862	0.174;0.434	0.344;0.834	0.596;0.863	0.558;1.004	000010	1.000	1.000	1	72.76	49412	83	0.82		30	30
0.805;1.195	0.780;1.220	0.732;0.992	0.750;1.110	0.740;1.150	0.413;0.793	#	0.278;0.668	0.740;1.040	0.025;0.435	0.695;1.175	0.418;0.831	0.830;1.170	0.695;1.115	0.343;0.603	0.373;0.828	0.426;0.823	001000	1.000	1.000	1	49.03	49453	124	0.94		30	30
0.001;0.441	-0.055;0.335	0.536;0.826	-0.015;0.395	-0.179;0.321	0.195;0.655	0.018;0.418	#	0.615;1.105	0.363;0.723	#	-0.138;0.314	-0.178;0.322	0.459;0.779	-0.235;0.235	0.188;0.613	-0.205;0.212	000001	1.000	1.000	1	54.62	49465	136	0.88		30	30
-0.072;0.238	-0.069;0.241	-0.062;0.358	0.167;0.497	0.261;0.621	0.073;0.363	#	0.324;0.674	-0.016;0.244	-0.166;0.244	-0.133;0.317	-0.119;0.146	-0.139;0.291	0.168;0.648	#	0.295;0.741	0.027;0.493	000110	1.000	1.000	1	111.66	49725	159	0.88		60	60
0.187;0.507	-0.075;0.325	-0.073;0.177	-0.159;0.191	-0.049;0.221	0.544;0.964	#	0.580;0.840	0.344;0.674	0.273;0.613	-0.143;0.327	0.544;1.006	-0.152;0.328	0.227;0.477	0.425;0.875	0.609;1.005	0.588;1.044	000110	0.056	0.750	1	115.89	49493	164	0.94		30	60
0.063;0.356	0.326;0.339	-0.155;0.295	-0.192;0.308	-0.051;0.209	-0.102;0.168	-0.083;0.347	0.552;0.852	-0.168;0.292	-0.179;0.271	-0.127;0.253	0.481;0.923	-0.202;0.298	-0.106;0.264	#	0.537;0.864	#	001000	0.003	0.710	1	5.71	174	174	0.88		0	0
-0.165;0.165	#	0.480;0.800	0.052;0.512	#	0.263;0.733	0.573;0.923	-0.190;0.190	-0.245;0.245	0.461;0.881	0.335;0.595	0.028;0.470	-0.195;0.195	-0.205;0.205	-0.235;0.235	0.260;0.626	0.386;0.773	000001	1.000	1.000	1	56.83	49506	177	0.88		30	30
-0.236;0.244	-0.218;0.282	0.150;0.156	-0.195;0.195	-0.212;0.218	#	-0.166;0.194	0.758;1.148	-0.201;0.209	-0.148;0.212	-0.237;0.302	0.827;1.132	-0.039;0.401	-0.169;0.201	0.757;1.197	0.718;1.212	0.796;1.163	100000	0.100	1.000	1	3.00	180	180	0.94		0	0
#	#	0.292;0.702	0.800;1.200	-0.000;0.370	0.790;1.210	0.164;0.524	0.526;0.836	0.208;0.458	0.385;0.715	0.103;0.373	0.421;0.745	0.433;0.833	#	0.276;0.666	0.551;0.828	0.279;0.537	000001	1.000	1.000	1	91.55	49520	191	0.82		30	30
