landmass	zone	area	population	language	religion	bars	stripes	colours	circles	crosses	saltires	quarters	sunstars	crescent	triangle	icon	animate	text	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	#	#	#	1	2	#	#	#	0	0	1	#	#	0	0	0	1101010	1.000	1.000	1	10.38	903	0	0.42		8	8
#	#	-2323.290;4173.290	-266.560;378.560	10	2	#	0	#	#	0	0	0	0	#	#	0	#	0	0100100	1.000	1.000	2	27.50	904	1	0.58		8	8
#	4	3650.490;15075.510	59.640;402.360	1	1	#	#	#	#	0	0	1	#	0	0	0	0	#	1010100	1.000	1.000	2	7.88	905	2	0.63		8	8
4	#	#	-342.880;382.880	#	#	0	0	2	#	0	0	#	1	#	#	#	#	0	1100000	0.000	0.448	4	34.91	908	5	0.47		8	30
3	4	#	-269.160;275.160	#	#	3	#	#	#	0	0	0	#	0	#	#	0	#	0100101	1.000	1.000	2	24.00	909	6	0.47		8	8
#	2	-5479.570;7289.570	#	#	5	#	#	#	#	#	0	#	0	0	#	#	1	#	1101001	0.035	0.714	1	17.51	910	7	0.37		8	16
#	#	-6720.600;6720.600	#	1	1	0	#	#	0	1	1	#	0	#	0	#	1	0	1111101	1.000	1.000	1	13.12	911	8	0.58		8	8
5	1	#	341.280;1026.720	6	#	#	#	4	#	0	#	0	#	0	0	#	0	0	0110101	1.000	1.000	2	10.88	913	10	0.58		8	8
#	3	#	#	#	0	#	3	3	0	#	0	0	0	0	#	0	0	#	1011000	0.045	0.733	3	39.36	916	13	0.58		8	15
4	1	#	-228.920;254.920	#	#	0	6	#	#	0	#	0	0	#	#	#	#	#	1001110	1.000	1.000	3	8.12	918	15	0.42		8	8
#	#	73.320;15306.680	#	1	1	#	0	#	#	1	1	#	#	0	0	#	0	0	1010100	1.000	1.000	3	21.96	919	16	0.53		23	23
#	#	-4032.360;4032.360	#	1	1	#	0	5	0	0	0	#	#	#	1	0	0	#	1101110	1.000	1.000	4	12.38	921	18	0.58		8	8
2	#	-1851.280;4421.280	-202.720;230.720	2	#	#	#	#	#	0	#	0	#	#	0	0	0	#	1000100	0.000	0.383	2	49.87	922	19	0.47		8	38
