landmass	zone	area	population	language	religion	bars	stripes	colours	circles	crosses	saltires	quarters	sunstars	crescent	triangle	icon	animate	text	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
3	#	-3290.300;3430.300	-158.280;164.280	1	0	#	0	3	0	#	#	0	0	0	0	0	#	0	0100101	1.000	1.000	1	7.12	909	6	0.74		8	8
#	#	#	#	6	0	#	#	4	#	#	0	0	2	#	#	#	0	#	1101010	1.000	1.000	1	6.75	912	9	0.37		8	8
#	#	#	537.840;830.160	6	4	#	3	#	#	#	0	0	0	#	#	#	0	#	0110101	1.000	1.000	2	6.38	913	10	0.42		8	8
#	1	-6036.560;6508.560	-208.760;234.760	10	#	0	6	#	#	#	0	#	0	0	0	0	#	0	1001110	1.000	1.000	4	4.75	918	15	0.63		8	8
5	1	#	#	5	#	0	0	#	0	#	#	0	#	0	0	#	#	#	1001000	1.000	1.000	1	4.75	925	22	0.47		8	8
#	#	#	#	1	1	#	#	#	#	0	1	0	0	#	#	#	0	0	0101010	1.000	1.000	3	6.12	927	24	0.42		8	8
#	#	-5821.530;6051.530	-247.040;267.040	2	#	#	#	3	0	0	0	0	1	#	#	0	#	0	1010100	0.035	0.714	2	7.60	929	26	0.58		8	16
4	#	#	-125.000;127.000	10	#	#	11	3	0	0	#	1	1	0	0	#	0	#	1010100	1.000	1.000	5	6.38	930	27	0.63		8	8
4	4	#	#	#	5	#	3	#	#	0	#	0	#	0	#	0	0	#	0110100	1.000	1.000	2	11.75	935	32	0.47		8	8
#	#	#	#	#	6	#	0	2	0	0	0	0	#	0	0	#	#	0	1001000	1.000	1.000	1	3.31	925	37	0.53		23	23
6	#	#	#	1	#	0	0	7	#	#	1	1	0	0	0	1	1	#	1111101	1.000	1.000	1	5.25	943	40	0.63		8	8
1	4	#	-135.120;147.120	3	#	2	#	2	0	0	#	#	#	0	0	#	#	#	1000010	1.000	1.000	1	5.00	951	48	0.53		8	8
#	#	#	#	7	#	0	#	#	#	1	1	#	0	#	#	1	1	#	1111101	1.000	1.000	1	4.50	953	50	0.37		8	8
5	#	-8092.730;8260.730	-210.680;212.680	#	#	1	#	4	0	0	#	#	#	0	0	0	0	0	1100110	1.000	1.000	1	8.12	954	51	0.63		8	8
4	#	-7612.680;7620.680	#	#	0	#	2	#	0	#	#	0	#	0	#	#	#	#	1101011	1.000	1.000	1	5.12	955	52	0.37		8	8
#	1	#	#	1	#	0	#	#	#	0	#	0	#	#	#	1	1	0	1011100	1.000	1.000	2	6.25	956	53	0.42		8	8
4	2	-6608.590;6608.590	-226.800;226.800	#	#	#	0	#	#	#	0	#	#	0	0	0	0	0	1100100	1.000	1.000	2	7.75	963	60	0.58		8	8
3	#	#	-291.320;293.320	6	#	#	#	#	0	#	0	#	#	0	0	#	1	0	0101100	0.000	0.467	4	9.20	964	61	0.47		8	15
#	#	-5307.650;9253.650	#	2	0	3	0	4	0	#	0	#	0	#	0	#	1	0	1100101	1.000	1.000	1	6.38	841	67	0.63		8	8
5	1	#	#	10	7	0	0	4	#	0	#	#	#	#	0	1	#	0	1010110	1.000	1.000	2	6.50	972	69	0.58		8	8
#	1	-7111.640;7225.640	-129.040;133.040	3	7	0	#	#	#	#	#	1	1	0	#	#	0	#	1101100	1.000	1.000	1	6.00	975	72	0.53		8	8
#	3	#	-241.920;241.920	#	1	0	0	#	0	0	#	#	#	#	0	#	#	0	1010100	1.000	1.000	1	5.50	979	76	0.47		8	8
#	1	#	#	#	7	0	2	2	0	#	0	0	1	0	0	0	#	#	0010100	1.000	1.000	2	4.38	985	82	0.63		8	8
3	#	-6588.600;6852.600	#	#	1	#	9	#	0	1	0	1	#	#	#	0	0	0	0010100	1.000	1.000	3	4.75	991	88	0.58		8	8
4	#	#	-124.040;138.040	#	#	0	0	2	1	#	#	0	#	#	0	#	#	0	1000100	1.000	1.000	2	6.25	993	90	0.47		8	8
5	#	#	-228.480;396.480	#	#	1	0	2	#	0	#	#	1	#	#	0	#	#	0100100	1.000	1.000	1	4.12	998	95	0.42		8	8
#	1	#	-294.480;330.480	7	#	0	#	#	1	0	0	1	1	#	#	#	#	#	1010100	1.000	1.000	2	4.57	877	103	0.47		7	7
#	4	-7504.670;7504.670	-257.040;257.040	#	#	#	#	4	#	#	#	0	#	0	#	1	#	#	0111100	1.000	1.000	1	6.71	753	108	0.37		7	7
4	#	-2303.290;4193.290	#	#	5	#	#	4	#	#	#	0	0	#	1	0	#	0	0111010	0.000	0.429	1	10.45	888	114	0.47		7	14
#	#	#	#	#	#	0	0	#	#	#	0	0	7	#	1	#	#	#	1101000	1.000	1.000	2	6.43	890	116	0.32		7	7
6	2	#	-39.560;353.560	10	#	0	#	2	0	#	0	#	0	#	0	#	#	#	1000100	1.000	1.000	3	4.42	969	121	0.53		14	14
#	4	#	#	#	#	#	0	#	0	#	1	1	#	#	0	1	1	#	1111101	1.000	1.000	1	7.95	900	126	0.42		13	13
5	#	#	#	9	7	0	#	2	1	#	0	#	#	0	#	0	0	0	1000100	1.000	1.000	3	5.71	902	128	0.58		7	7
5	#	-6542.630;7570.630	#	10	#	#	5	3	0	#	0	#	0	0	#	0	0	0	1010100	1.000	1.000	1	8.67	906	132	0.63		6	6
4	#	#	-158.320;174.320	3	#	#	0	3	#	0	#	0	1	#	0	#	#	0	0100000	0.000	0.429	1	10.24	901	165	0.53		13	13
5	1	#	-228.480;396.480	#	#	1	0	2	#	0	0	#	1	#	#	0	#	#	0100100	1.000	1.000	1	5.17	998	224	0.53		6	6
2	3	#	#	#	1	#	0	#	#	#	#	#	0	0	0	1	1	1	1111100	1.000	1.000	2	4.50	878	233	0.53		6	6
1	#	#	-191.520;191.520	1	1	#	3	#	0	#	#	0	0	#	#	#	#	#	0010000	0.000	0.429	1	11.50	883	238	0.42		6	6
#	2	-5545.530;6327.530	-274.240;290.240	10	#	0	7	#	#	#	0	#	1	0	#	1	#	0	1101110	1.000	1.000	1	6.80	886	241	0.58		5	5
3	#	-5601.510;5823.510	-122.040;140.040	5	#	#	3	#	0	#	#	0	1	#	#	#	1	#	1001000	0.000	0.143	1	5.17	892	247	0.47		6	6
1	#	#	-307.440;307.440	1	1	0	#	6	#	#	#	#	#	#	#	#	#	0	1101000	0.000	0.143	1	6.36	894	249	0.37		12	12
5	#	-6542.630;7570.630	#	10	3	#	5	#	0	0	0	#	#	0	#	0	0	0	1010100	1.000	1.000	1	9.60	906	261	0.63		5	5
5	1	#	#	6	#	#	3	#	#	0	0	0	0	0	#	1	0	#	0100100	0.004	0.571	2	6.59	947	268	0.58		12	12
2	3	#	#	#	#	3	0	2	0	0	0	#	#	0	0	0	#	0	1000100	1.000	1.000	1	7.20	922	277	0.63		5	5
4	#	#	127.000;173.060	10	#	#	11	3	0	0	#	1	1	0	0	#	0	#	1010100	0.100	1.000	1	1.67	285	285	0.63		0	0
#	2	-4592.410;4592.410	-367.920;367.920	#	1	0	3	3	#	0	#	#	#	0	#	0	0	0	0011100	1.000	1.000	1	10.00	936	291	0.63		5	5
4	4	#	#	#	#	0	5	#	0	0	0	0	0	#	0	#	#	0	0010000	0.000	0.143	1	11.00	937	292	0.58		6	6
6	#	-3136.280;3136.280	-171.360;171.360	#	1	0	0	5	#	0	#	0	#	#	1	#	1	0	0001100	0.000	0.143	1	7.83	938	293	0.63		6	6
6	#	-3136.280;3136.280	-171.360;171.360	#	1	0	0	5	#	0	#	0	#	#	1	#	1	0	1010001	0.000	0.429	1	7.83	938	293	0.63		6	6
6	#	-3136.280;3136.280	-171.360;171.360	#	1	#	0	5	#	0	#	#	#	#	#	#	1	0	1011101	1.000	1.000	1	8.60	938	293	0.47		5	5
5	#	-7192.700;8488.700	-271.280;303.280	#	#	0	3	5	0	0	0	0	1	#	0	1	0	0	1101010	0.035	0.714	1	9.33	961	316	0.79		6	6
5	#	-7192.700;8488.700	-271.280;303.280	#	#	0	3	5	0	0	0	0	1	#	0	1	0	0	0000100	0.000	-0.143	1	9.33	961	316	0.79		6	6
1	4	-5491.500;5709.500	-284.320;300.320	2	#	3	#	2	0	#	0	#	#	#	0	0	0	0	0010100	1.000	1.000	1	6.60	973	328	0.68		5	5
#	#	#	#	#	4	#	0	#	0	0	#	#	#	#	0	#	0	#	0010101	1.000	1.000	2	3.00	980	335	0.32		5	5
4	#	-4368.390;4368.390	-236.880;236.880	#	#	0	0	#	0	1	1	#	0	#	0	1	#	0	0100001	0.000	-0.143	2	8.00	983	338	0.63		6	6
3	#	-6588.600;6852.600	#	#	1	#	9	2	0	1	0	1	#	#	#	0	0	0	0010100	1.000	1.000	1	7.00	991	346	0.63		5	5
#	#	#	-228.480;396.480	#	#	1	0	2	#	0	#	#	#	#	#	0	#	#	0100100	1.000	1.000	1	5.60	998	353	0.32		5	5
#	#	#	-332.640;332.640	#	#	0	0	#	1	0	#	1	#	#	0	#	#	#	1000000	0.000	0.429	1	5.50	877	361	0.37		4	4
#	2	-5545.530;6327.530	-274.240;290.240	10	#	0	7	#	#	#	#	#	1	0	#	1	#	0	0000110	0.000	0.143	1	6.80	886	370	0.53		5	5
4	#	-2303.290;4193.290	#	#	5	#	#	#	#	#	#	0	0	#	1	#	#	0	0111010	0.000	0.365	1	12.67	888	372	0.37		4	9
#	4	#	#	#	#	#	0	#	0	#	#	1	#	#	0	1	1	1	1111101	1.000	1.000	1	9.50	900	384	0.42		4	4
5	#	#	#	#	7	0	#	2	1	#	0	#	#	0	#	0	0	0	1000100	1.000	1.000	1	8.00	902	386	0.53		4	4
1	4	#	324.589;457.800	#	1	#	13	#	0	#	0	#	#	#	0	0	0	0	1010100	0.100	1.000	1	2.75	389	389	0.58		0	0
5	1	#	-233.880;239.880	#	6	0	3	#	#	#	0	#	0	0	0	#	#	#	1010100	1.000	1.000	1	13.00	778	391	0.53		5	5
5	#	#	#	#	#	#	3	#	#	0	0	#	0	#	#	#	#	0	0000100	0.000	0.203	1	10.91	954	391	0.32		19	19
4	#	-3697.370;4591.370	-337.840;377.840	8	#	#	0	2	0	#	#	0	#	0	#	#	0	0	1100000	1.000	1.000	1	10.50	908	392	0.58		4	4
#	1	-6036.560;6508.560	-208.760;234.760	10	#	0	6	#	#	#	0	#	0	0	0	0	1	0	1001110	1.000	1.000	1	7.75	918	402	0.68		4	4
1	#	#	-357.840;357.840	1	1	0	#	#	1	#	0	0	#	0	#	1	#	#	1001100	0.000	-0.143	1	9.25	924	408	0.53		4	4
5	1	#	#	5	#	0	0	2	0	#	#	0	#	0	0	#	#	0	1001000	1.000	1.000	1	6.25	925	409	0.58		4	4
6	#	-3136.280;3136.280	-171.360;171.360	#	1	#	0	5	#	0	#	0	0	#	#	#	1	0	1011101	1.000	1.000	1	9.25	938	422	0.58		4	4
#	#	#	-296.400;308.400	10	3	#	#	#	0	#	#	#	#	0	#	1	#	#	1001000	0.004	0.571	2	4.80	942	426	0.32		5	10
5	#	#	-316.520;318.520	8	2	0	2	#	#	0	#	0	0	0	0	#	#	0	1100100	0.178	0.841	1	7.44	988	433	0.63		9	9
1	#	#	-135.120;147.120	3	#	2	#	2	0	0	#	#	#	0	0	#	#	#	1000010	1.000	1.000	2	7.50	951	435	0.47		4	4
1	4	#	-135.120;147.120	3	#	2	#	2	0	0	#	#	#	0	0	0	#	#	1000010	1.000	1.000	1	7.50	951	435	0.58		4	4
#	1	-4592.410;4592.410	#	1	#	0	#	#	#	0	#	0	#	#	#	1	1	0	1001100	0.035	0.714	1	8.60	956	440	0.47		5	5
#	#	-3007.270;3041.270	-371.960;373.960	#	#	0	5	#	0	#	0	0	0	0	#	1	#	#	0000011	0.000	-0.143	1	8.25	966	450	0.53		4	4
5	#	-1906.310;5038.310	-234.880;238.880	10	6	#	#	3	#	#	#	0	#	#	1	#	#	0	1000000	0.000	0.429	4	6.40	968	452	0.47		5	5
5	1	-1906.310;5038.310	#	10	6	#	#	3	#	#	#	0	1	#	1	#	#	0	1011000	1.000	1.000	1	6.75	968	452	0.53		4	4
6	#	-5263.470;-3193.471	#	10	#	0	#	2	#	#	0	#	0	0	#	#	#	#	1000100	0.100	1.000	1	6.00	453	453	0.42		0	0
1	4	-5491.500;5709.500	-284.320;300.320	2	#	3	#	2	0	#	0	#	#	#	0	0	0	#	0010100	1.000	1.000	1	6.50	973	457	0.63		4	4
#	#	#	#	6	#	#	#	#	1	#	0	#	22	#	0	0	#	1	0011000	0.000	0.429	2	7.00	974	458	0.37		5	5
#	1	-7111.640;7225.640	#	3	7	0	#	4	#	#	#	1	1	0	#	#	0	#	1101100	1.000	1.000	2	8.25	975	459	0.53		4	4
#	#	-3486.320;3682.320	#	#	#	#	3	4	0	#	#	0	1	#	#	0	#	0	0000010	0.000	0.008	1	12.17	976	460	0.42		13	17
#	3	-5373.480;5379.480	-241.920;241.920	#	1	0	0	#	0	0	0	#	#	#	0	#	#	0	0010100	0.035	0.714	1	6.80	979	463	0.58		5	5
4	#	-4368.390;4368.390	-236.880;236.880	#	#	0	0	#	0	1	1	#	0	#	#	1	#	0	0100001	0.000	-0.143	2	8.60	983	467	0.58		5	5
4	#	-4368.390;4368.390	-236.880;236.880	#	#	0	0	#	0	1	1	#	0	#	#	1	#	0	1011100	0.000	0.429	2	8.60	983	467	0.58		5	5
#	1	#	#	#	7	0	2	2	0	#	0	#	1	0	0	0	#	#	0010100	1.000	1.000	1	6.50	985	469	0.58		4	4
#	1	#	#	#	2	0	0	2	1	#	0	#	#	#	#	#	#	0	1000000	0.035	0.714	2	7.00	993	477	0.42		8	8
2	#	#	-327.600;327.600	#	0	3	#	#	0	0	#	#	#	#	0	0	0	#	0010100	0.004	0.571	1	6.50	875	488	0.47		4	8
#	4	#	#	#	1	0	0	#	#	#	0	0	7	#	1	#	#	#	1101000	1.000	1.000	1	9.33	890	503	0.42		3	3
5	#	#	#	9	7	0	#	2	1	#	0	#	#	0	#	0	0	#	1000100	1.000	1.000	1	8.67	902	515	0.53		3	3
1	4	1970.340;16755.660	#	#	1	#	13	#	0	#	#	#	#	#	0	0	0	0	1000100	0.035	0.714	1	7.00	905	518	0.53		3	3
5	#	-6542.630;5276.450	#	10	#	0	5	3	#	#	0	#	0	0	#	0	#	0	0010000	0.000	0.429	1	9.00	906	519	0.58		3	3
3	#	-3290.300;3430.300	-158.280;164.280	1	0	#	0	3	0	#	#	0	0	0	0	#	#	0	0100101	1.000	1.000	2	12.00	909	522	0.68		3	3
3	1	#	#	#	#	2	#	#	#	#	#	0	#	0	0	#	#	#	1000100	0.005	0.592	2	7.29	915	528	0.32		7	7
#	#	#	-136.200;166.200	1	#	0	#	3	0	1	#	#	#	0	#	0	0	0	1000100	0.035	0.714	1	10.29	887	532	0.53		11	11
1	4	-7504.670;7504.670	-257.040;257.040	#	#	#	#	8	#	#	#	0	#	#	0	1	#	#	0110000	0.000	-0.429	1	9.67	924	537	0.42		3	3
5	1	#	#	5	#	0	0	#	0	#	#	0	#	0	0	1	#	#	1001000	1.000	1.000	1	6.00	925	538	0.53		3	3
1	4	-3983.360;4081.360	#	#	#	0	#	3	#	#	#	#	0	#	#	0	#	#	0010100	0.000	0.393	1	9.96	923	541	0.37		10	16
#	3	#	-269.360;325.360	#	#	#	3	2	0	0	#	0	0	0	0	0	0	0	0010100	1.000	1.000	3	9.67	931	544	0.68		3	3
4	4	#	#	#	5	0	5	#	0	0	0	0	0	#	0	#	#	0	1110100	1.000	1.000	1	13.80	937	550	0.63		5	5
#	#	#	-296.400;308.400	10	3	#	#	2	0	#	#	#	#	0	#	1	0	#	1001000	1.000	1.000	1	6.00	942	555	0.42		3	3
