-	/	0	00	04	0;	0cm	1	1-1/2	1-1/2-year	1-month	1-year	1-year-1-month	1-year-4-month	1-year-5-month	1/2	1/2/01	10	10-month	10-year	10-year-9-month	101	102	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	#	#	0	#	#	0	#	#	#	1	1	1	#	#	0	#	#	#	#	0	0	#	000000000000000000000000000000000000101000000	0.861	0.985	1	36.00	645	0	0.39		2	3
0	0	1	0	0	0	#	#	#	0	#	1	0	#	#	#	#	0	0	0	0	#	0	100000000000000000000000000000000000000000000	0.917	0.991	3	59.73	966	1	0.61		29	31
#	0	#	#	0	0	#	0	#	0	0	#	#	0	0	1	#	#	0	1	0	0	#	000000000000000000000000000000000001000000000	0.463	0.926	2	69.62	934	2	0.57		10	54
0	#	0	1	#	0	#	0	0	0	0	#	#	0	#	0	0	#	#	0	#	0	1	000000000000000000000000000000000000000001000	0.861	0.985	2	22.33	648	3	0.61		3	3
#	0	0	0	0	#	0	#	0	0	#	0	#	#	0	0	#	#	0	0	#	#	0	000010000000000000000000000000000000000000000	0.604	0.951	4	198.24	923	4	0.57		109	236
#	#	#	0	0	0	#	0	#	0	#	#	0	1	#	0	1	#	#	#	0	#	0	000010000000000000000000000000001000000000000	0.689	0.963	1	52.15	871	5	0.48		6	17
0	0	1	0	0	0	#	0	0	#	#	#	#	#	0	0	0	#	#	#	0	#	0	100000000000000000000000000000000000000000000	0.906	0.990	5	102.27	997	7	0.57		66	72
#	0	#	1	#	#	#	#	#	#	#	0	#	#	#	0	#	#	#	#	0	#	#	100000000000000000000000000000000000000000000	0.421	0.917	1	49.64	559	8	0.22		4	22
0	#	#	#	#	0	#	#	0	#	0	#	0	#	0	0	#	0	#	#	0	0	0	100000000000000000000000000000000000000001000	0.340	0.898	2	162.09	655	10	0.48		4	266
#	0	0	#	#	0	#	0	#	0	0	#	#	#	0	#	0	0	0	#	#	#	#	000000000100000000000000000000000000000000000	0.439	0.921	2	186.40	915	11	0.43		54	386
1	1	0	0	0	0	#	0	0	#	#	0	0	0	#	0	#	#	0	#	0	0	0	000010000000000000000000000000001000000000000	0.910	0.991	3	105.34	993	13	0.70		31	38
0	#	0	0	0	#	0	#	#	#	#	#	0	0	0	0	0	#	0	0	0	#	#	000000000000001000000000000000000000000000000	0.397	0.912	4	192.23	860	14	0.57		5	142
#	#	0	#	#	0	#	#	0	0	#	#	0	#	#	#	#	1	#	0	#	#	#	000000000010000000000000000000000000000000000	0.414	0.916	2	94.87	833	15	0.30		18	110
#	0	#	#	#	#	#	0	#	#	0	0	0	#	#	0	0	#	0	#	0	0	#	000010000000000000000000010000000000000000000	0.324	0.893	1	187.30	661	16	0.43		2	343
0	0	#	#	#	#	#	0	#	0	1	#	0	#	#	#	#	#	1	0	#	#	0	000000000000000000000000000000000000000001000	0.825	0.981	1	16.29	985	17	0.39		7	7
#	#	#	#	0	#	#	#	0	#	#	0	#	#	0	#	1	#	1	#	#	0	1	000000000000000000000000100000000000000001000	0.740	0.970	1	6.33	663	18	0.35		2	3
1	1	#	#	0	0	0	#	#	0	#	0	0	1	#	0	0	#	0	#	0	#	0	000000000000000000000000000000001000000000000	0.508	0.935	1	117.75	950	19	0.61		36	57
0	#	0	0	0	#	0	0	#	#	#	#	#	#	0	#	#	#	0	0	#	0	#	000000000000000000000100000000000000000000000	0.414	0.916	2	181.32	959	23	0.43		17	221
#	1	0	#	0	0	#	0	#	0	0	#	0	1	#	#	#	0	#	#	#	#	0	000010000000000000000000000000001000000000000	0.746	0.971	1	120.54	871	25	0.48		35	63
0	0	0	#	#	#	0	0	0	#	#	#	0	0	#	0	#	0	0	#	0	#	0	000000000100000000000000000000000000000000010	0.298	0.886	1	169.10	671	26	0.57		2	167
#	#	0	0	#	0	0	0	#	0	#	#	#	#	#	0	#	#	#	#	0	#	#	000000000000000000000000000000010000000000000	0.400	0.912	3	172.14	964	30	0.35		73	559
#	#	0	#	#	#	#	#	0	#	0	1	0	1	0	#	#	1	#	#	0	#	#	000010000000000000000000000000000000000000000	0.497	0.932	1	53.49	677	32	0.39		8	25
#	0	#	#	#	#	#	0	#	#	0	0	0	0	0	0	1	#	#	#	#	#	#	000000000000000000000000000000100000000000000	0.457	0.925	2	65.42	845	33	0.39		5	23
#	#	0	#	#	0	#	0	0	0	1	#	0	#	0	#	#	0	0	#	#	0	#	000000000000000000000000000000000000000001000	0.543	0.941	1	91.80	986	34	0.48		21	42
0	0	0	0	0	#	0	#	#	0	#	#	0	#	0	0	#	0	#	#	#	0	#	000000000000000000000001000000000000000000000	0.454	0.924	6	180.38	994	35	0.52		31	181
#	#	0	#	0	0	0	#	0	0	#	0	1	#	0	#	#	#	#	#	0	0	#	000000000000000000000000000000000000001000000	0.980	0.998	1	92.99	940	37	0.48		22	22
#	#	0	0	#	#	#	#	#	0	0	#	#	#	0	0	0	1	#	0	#	1	0	000010000000000000000000000000001000000000001	0.211	0.856	1	67.32	683	38	0.48		2	29
#	#	#	0	0	0	0	#	#	1	0	#	#	#	0	0	1	#	1	#	#	0	#	000000000000000000000000000000000000100000000	1.000	1.000	1	3.50	684	39	0.48		2	2
#	#	0	0	0	#	0	0	#	0	#	0	#	1	1	#	0	1	#	#	0	1	0	000010000000000000000000000000000000000000000	0.574	0.946	2	43.02	849	42	0.61		6	14
#	0	0	#	#	#	#	#	0	#	1	1	0	#	#	0	1	0	0	0	0	0	#	000000000000000000000000000000000000100000000	0.696	0.964	1	30.20	986	43	0.57		4	5
