Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	#	#	#	#	#	-0.014;0.123	#	#	#	#	0.057;0.281	#	#	-0.022;0.063	#	#	#	#	#	#	#	#	#	#	0.338;0.668	#	#	#	#	#	010101101010000010101010101000010010000000100001000000100000000010000010110000010000000000010010001001010001010111100000010000000000000000110100000010000010000000000000000000	0.059	0.753	1	627.94	9778	15	0.12		29	7151
#	0.001;0.026	#	#	#	#	#	#	#	#	#	0.000;0.031	-0.160;0.348	#	#	#	#	#	#	#	#	#	#	#	0.042;6.251	#	#	#	#	#	#	#	#	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.527	0.938	1	84.68	9825	62	0.12		29	57
#	#	#	#	#	#	#	#	#	0.077;0.263	#	#	#	#	-30.890;11.668	#	#	#	#	#	#	#	#	0.033;0.316	#	#	#	#	#	#	#	#	-0.055;0.090	010100100000000100001010100000001000000000000000000000000000000000000000000000010100000000000000101000000000001100000100000010000010000000100000000000000000000000000000000000	0.520	0.937	1	84.74	9883	120	0.12		28	56
#	#	#	#	-0.024;0.039	#	#	#	#	#	#	#	#	#	-18.006;18.006	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0.772;1.189	#	#	011001011010101010011000001010010100000000000000000000000000000110000100110000010000000000010001010100010100010010101000000000000000000010000100000110000000000001000000001000	0.180	0.842	4	73.39	9966	203	0.09		29	84
#	#	#	#	#	#	0.235;0.620	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	-0.017;0.144	001000000010101010010000001010010000000010000000000000000000000001000100001000010000000000010000100101010001010110100110010001000000010010000000000100100000000000000000000000	0.079	0.776	2	572.48	9717	305	0.06		28	6878
#	#	#	#	#	#	#	#	#	#	#	0.058;0.123	#	#	#	#	#	#	#	#	#	#	#	#	1.120;3.623	#	-0.004;0.013	#	#	#	#	#	#	000000010101001001010101010110000101000000000000000000000001000000001001000000010010000000001011010100000000010011000000000000000000000000000000000000000000010000000000000000	0.116	0.806	2	676.72	9721	309	0.09		28	2372
5.293;10.249	#	#	-0.045;0.558	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	010101001010000010101010101000011010000000010000000000000000000000000010000000100100000000000010001001000100010101100000100010010000000000000000000000000000000000000000000100	0.090	0.786	2	574.01	9745	333	0.06		28	3184
#	0.001;0.026	#	#	#	#	#	#	#	#	#	0.000;0.031	-0.160;0.348	#	#	#	#	#	#	#	#	#	#	#	0.042;6.251	#	#	#	-0.059;0.529	#	0.658;1.056	#	#	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.520	0.937	1	84.87	9825	413	0.18		27	54
#	#	#	#	#	-0.591;0.802	#	#	#	0.077;0.263	#	#	#	#	-30.890;11.668	#	#	#	#	#	#	#	#	0.033;0.316	#	#	#	#	#	#	#	#	-0.055;0.090	010100100000000100001010100000001000000000000000000000000000000000000000000000010100000000000000101000000000001100000100000010000010000000100000000000000000000000000000000000	0.514	0.936	1	84.92	9883	471	0.15		26	53
#	#	0.033;0.064	#	#	#	#	#	#	0.028;0.178	#	0.072;0.114	0.646;0.990	#	#	#	0.002;0.075	#	#	#	0.318;3.061	#	#	0.082;0.291	2.813;6.017	0.026;0.054	#	#	#	#	#	#	0.022;0.185	011001001000000010000000101000010000000000000000000000100000000000000000100000010100010000000000000101010001010100100000000000000000100000000000000010000000000000000000000000	0.177	0.841	2	377.42	9713	652	0.30		26	106
