-	/	0	00	04	0;	0cm	1	1-1/2	1-1/2-year	1-month	1-year	1-year-1-month	1-year-4-month	1-year-5-month	1/2	1/2/01	10	10-month	10-year	10-year-9-month	101	102	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	#	0	#	0	0	#	0	#	0	1	1	1	#	0	0	0	0	0	#	0	0	0	000000000000000000000000000000000000101000000	0.861	0.985	2	25.33	645	0	0.74		2	3
#	0	#	0	#	0	#	0	#	#	#	1	0	#	0	0	#	#	#	#	0	0	#	100000000000000000000000000000000000000000000	0.551	0.942	6	79.83	972	1	0.43		35	80
0	#	0	#	#	#	#	#	0	0	#	#	0	#	#	#	0	0	0	1	0	0	0	000000000000000000000000000000000001000000000	0.464	0.926	4	118.03	987	2	0.52		16	80
#	#	0	1	0	#	#	0	#	0	0	#	0	0	0	0	0	0	0	#	0	0	1	000000000000000000000000000000000000000001000	1.000	1.000	1	31.00	648	3	0.70		2	2
1	#	0	#	#	#	#	0	0	0	0	#	#	1	#	0	#	0	#	0	#	#	#	000010000000000000000000000000000000000000000	0.728	0.969	2	130.98	935	4	0.43		92	101
#	1	#	0	0	#	0	0	0	0	#	1	0	1	#	#	1	0	0	0	0	0	0	000010000000000000000000000000001000000000000	1.000	1.000	1	6.00	650	5	0.74		2	2
#	#	#	0	0	0	0	#	#	#	#	0	0	#	#	#	0	#	#	#	#	#	0	000010000000000000000000000000000000000000000	0.510	0.935	1	153.19	991	6	0.35		190	533
0	#	#	0	#	#	#	#	#	#	0	#	0	0	#	#	0	0	#	#	#	#	#	100000000000000000000000000000000000000000000	0.464	0.926	4	143.21	972	7	0.30		74	362
#	#	1	1	0	#	#	0	0	#	0	0	0	#	0	0	#	#	0	#	0	0	#	100000000000000000000000000000000000000000000	0.836	0.982	3	34.60	653	8	0.57		4	5
#	#	1	#	#	#	0	#	#	0	#	#	#	#	#	0	#	#	0	0	#	#	#	100000000000000000000000000000000000000001000	0.594	0.949	2	95.16	922	10	0.26		6	98
0	#	#	#	0	0	#	#	#	0	#	#	#	#	0	1	0	0	#	1	#	0	0	000000000100000000000000000000000000000000000	0.745	0.971	4	100.00	915	11	0.48		36	52
1	1	0	#	0	0	0	0	#	0	0	#	#	#	#	0	#	#	0	#	#	#	#	000010000000000000000000000000001000000000000	0.707	0.966	1	115.80	935	13	0.48		77	116
0	0	0	0	#	0	#	#	#	0	#	#	#	#	#	#	0	0	#	#	0	#	0	000000000000001000000000000000000000000000000	0.389	0.910	1	154.10	860	14	0.43		6	290
1	#	0	#	#	#	0	0	#	#	#	#	0	1	1	0	#	1	#	#	0	#	0	000000000010000000000000000000000000000000000	0.445	0.922	1	21.61	780	15	0.48		6	24
1	#	0	#	0	#	#	0	#	0	#	#	#	0	#	#	0	0	0	0	0	0	#	000010000000000000000000010000000000000000000	0.552	0.942	1	145.94	16	16	0.52		2	101
0	#	0	1	#	#	0	0	0	0	1	#	0	#	#	#	#	#	1	#	0	#	0	000000000000000000000000000000000000000001000	0.825	0.981	2	23.43	985	17	0.52		7	7
#	0	#	1	#	#	1	#	0	0	1	#	#	0	0	#	1	#	#	0	#	0	#	000000000000000000000000100000000000000001000	1.000	1.000	1	4.50	663	18	0.48		2	2
1	1	0	#	0	0	#	#	#	#	#	0	#	1	#	0	#	0	#	0	#	0	#	000000000000000000000000000000001000000000000	0.565	0.944	1	111.23	935	19	0.48		36	44
#	#	#	0	0	0	#	#	#	0	#	#	0	#	0	0	0	0	#	0	0	#	0	000000000000000000000100000000000000000000000	0.377	0.907	2	170.83	959	23	0.52		17	390
#	#	0	0	#	#	0	#	#	#	#	0	#	0	#	0	0	#	#	#	#	#	#	000000000100000000000000000000000000000000010	0.255	0.872	1	158.39	671	26	0.30		2	293
#	#	0	0	#	#	0	0	0	#	#	1	#	#	0	0	#	1	0	#	#	#	0	000000000000000000000000000000010000000000000	0.706	0.966	5	41.43	958	30	0.48		18	26
#	0	0	#	#	0	#	0	#	#	#	1	#	#	#	#	0	1	#	#	0	#	0	000010000000000000000000000000000000000000000	0.562	0.944	2	35.23	820	32	0.39		11	27
#	0	#	0	0	0	0	0	0	0	#	#	#	#	0	0	#	#	#	#	#	#	#	000000000000000000000000000000100000000000000	0.405	0.914	1	149.95	980	33	0.43		18	372
0	0	0	#	0	0	#	#	#	#	#	#	#	#	0	0	0	#	#	0	#	#	#	000000000000000000000000000000000000000001000	0.446	0.922	6	170.94	899	34	0.39		32	192
0	#	#	#	#	0	#	0	#	#	#	0	0	0	0	0	0	#	#	0	#	0	0	000000000000000000000001000000000000000000000	0.446	0.922	2	180.41	994	35	0.52		24	161
0	#	#	#	0	0	0	0	0	0	#	0	#	0	0	1	0	#	#	#	#	0	#	000000000000000000000000000000000000001000000	0.481	0.929	1	95.07	940	37	0.57		15	68
1	1	0	0	0	0	#	#	#	0	#	0	#	#	0	#	#	#	#	#	0	1	#	000010000000000000000000000000001000000000001	0.587	0.948	1	26.67	683	38	0.48		2	6
#	#	0	#	0	0	0	#	0	1	0	1	0	0	0	#	1	#	#	#	0	#	#	000000000000000000000000000000000000100000000	1.000	1.000	2	8.00	684	39	0.57		2	2
#	0	#	#	#	0	#	#	#	#	0	0	#	1	0	#	0	#	#	#	0	0	#	000000000000000000000000000000010000000000000	0.573	0.946	2	134.02	992	41	0.39		28	69
#	#	#	0	#	0	0	0	0	1	1	#	#	#	#	#	1	#	#	#	#	#	1	000000000000000000000000000000000000100000000	1.000	1.000	2	6.67	688	43	0.39		3	3
1	0	#	#	#	#	0	0	#	#	0	#	#	#	0	0	#	#	0	#	0	#	0	000010000000000000000000000000000000000000001	0.558	0.943	1	133.18	694	49	0.43		11	145
0	#	#	#	#	#	#	#	#	#	#	1	0	#	0	0	#	#	#	#	#	#	#	000000000100000000000000000000000000000001000	0.327	0.894	1	58.43	697	52	0.22		2	145
#	#	0	#	0	0	0	#	0	0	#	0	0	0	#	#	#	#	0	#	0	0	0	000000000100000000000000000000000000000000000	0.478	0.929	1	163.19	990	54	0.57		73	276
#	0	1	#	#	#	#	#	#	#	1	1	0	0	#	#	0	0	0	0	0	#	#	000000000100000000000000000000000000000000000	0.327	0.894	2	28.08	702	57	0.48		2	21
#	0	0	#	#	0	0	#	0	#	#	#	0	0	1	#	0	#	#	#	0	#	0	000010000000000000000000000000000000000000000	0.678	0.962	1	29.76	991	58	0.48		8	14
#	#	#	0	0	0	#	0	#	#	#	#	#	0	0	1	0	#	0	#	0	#	0	000000010000000000000000000000000000000000000	0.377	0.907	1	101.58	706	61	0.48		2	98
#	0	0	0	0	1	#	0	1	0	#	#	0	0	0	#	#	0	0	#	0	#	#	000000000000000000000000000000000000000000010	0.825	0.981	4	20.57	984	62	0.61		7	7
0	0	#	#	0	0	0	0	#	0	1	#	0	0	0	0	0	#	0	#	0	0	#	000000000001000000000000000000000000000001000	0.319	0.892	1	78.23	709	64	0.70		2	35
#	0	#	0	#	0	#	0	#	#	#	1	0	#	0	0	#	#	#	#	0	#	0	100000000000000000000000000000000000000000000	0.526	0.938	1	84.67	972	65	0.43		27	75
