landmass	zone	area	population	language	religion	bars	stripes	colours	circles	crosses	saltires	quarters	sunstars	crescent	triangle	icon	animate	text	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
4	#	-7020.630;7092.630	-311.480;313.480	6	5	#	2	4	#	0	#	0	#	0	#	#	#	#	1101010	1.000	1.000	3	16.25	903	0	0.53		8	8
#	1	#	#	10	2	#	0	#	#	#	#	0	#	0	#	#	0	0	0100100	0.045	0.733	2	41.34	904	1	0.42		8	15
1	#	2082.350;16643.650	#	1	#	#	#	3	0	0	#	1	50	#	#	#	0	#	1010100	1.000	1.000	2	14.62	905	2	0.47		8	8
#	1	#	#	#	3	0	5	#	0	0	0	#	0	0	0	0	#	#	1010100	1.000	1.000	2	27.75	648	3	0.58		8	8
5	#	#	#	10	6	0	3	3	#	#	#	0	0	#	#	0	0	0	1010100	1.000	1.000	3	18.00	907	4	0.58		8	8
#	4	#	-297.520;337.520	#	2	#	#	2	#	#	#	0	1	0	0	#	#	0	1100000	1.000	1.000	1	31.50	263	5	0.47		8	8
3	#	-7210.650;7350.650	#	1	#	3	#	#	0	0	#	#	0	0	#	0	0	0	0100101	1.000	1.000	2	23.00	909	6	0.58		8	8
4	#	-4583.490;6393.490	-103.040;159.040	#	#	0	#	#	1	0	#	#	0	#	#	#	1	#	1101001	0.000	0.429	2	16.33	910	7	0.42		8	16
#	4	#	-307.440;307.440	1	1	0	#	6	#	#	1	1	#	#	#	1	1	0	1111101	0.045	0.733	1	18.24	524	8	0.58		8	15
#	1	-5712.510;5712.510	-307.440;307.440	6	#	0	3	#	#	#	0	#	#	0	#	#	#	#	1101010	0.000	0.161	2	50.50	783	9	0.42		8	31
5	1	19.710;6516.290	#	#	4	0	3	#	#	0	#	0	0	0	0	#	0	0	0110101	1.000	1.000	6	9.12	913	10	0.68		8	8
#	1	#	-164.320;168.320	8	#	0	#	4	0	#	#	0	#	#	#	#	0	#	1010110	0.002	0.528	2	76.35	914	11	0.42		8	46
#	1	-4704.420;4704.420	#	#	0	2	#	#	#	0	0	0	0	#	#	1	0	0	1001110	1.000	1.000	2	18.75	915	12	0.58		8	8
#	2	#	-125.040;137.040	10	#	#	0	4	0	#	#	0	#	#	0	0	1	#	1100011	1.000	1.000	3	14.50	917	14	0.53		8	8
#	#	#	#	#	#	0	#	5	1	#	0	0	0	#	0	0	#	0	1001110	1.000	1.000	3	21.25	918	15	0.47		8	8
#	#	#	#	#	#	0	#	#	#	1	#	#	6	0	#	#	0	0	1010100	1.000	1.000	3	10.62	919	16	0.32		8	8
#	#	-2971.380;5541.380	-197.680;225.680	2	0	3	0	2	#	0	#	0	#	0	#	#	#	0	1000100	0.035	0.714	4	35.35	922	19	0.58		8	16
#	#	-7903.710;8001.710	#	2	#	#	#	#	0	1	0	#	#	0	#	#	0	#	1010100	1.000	1.000	4	34.75	923	20	0.37		8	8
1	4	-3337.300;3383.300	#	1	1	#	2	8	#	#	0	0	0	0	0	#	#	1	1111111	1.000	1.000	1	6.50	924	21	0.68		8	8
#	1	14897.330;29906.670	6.880;541.120	#	#	0	#	2	#	#	0	#	#	#	0	#	#	#	1001000	1.000	1.000	1	18.38	925	22	0.37		8	8
#	4	-4021.360;4043.360	#	1	1	#	#	3	0	0	1	0	0	0	#	#	#	#	0101010	1.000	1.000	2	22.50	927	24	0.58		8	8
1	#	#	-196.640;216.640	2	6	#	5	3	#	0	#	0	1	#	#	#	#	0	1010100	1.000	1.000	2	22.50	671	26	0.53		8	8
4	#	-8065.730;8287.730	#	10	#	0	11	#	0	#	#	1	#	#	#	0	#	#	1010100	1.000	1.000	3	17.50	930	27	0.42		8	8
2	3	-471.290;6025.290	-103.040;159.040	#	0	#	#	2	#	#	#	#	#	0	#	#	#	0	0010100	0.045	0.733	4	36.31	931	28	0.42		8	15
#	4	-3023.270;3025.270	-186.480;186.480	#	1	0	0	#	0	1	0	0	#	0	0	0	0	#	1010100	1.000	1.000	4	45.67	984	29	0.74		16	16
6	3	-2800.250;2800.250	#	1	1	#	#	4	1	#	#	#	5	#	0	0	#	0	1011100	1.000	1.000	2	7.50	933	30	0.58		8	8
#	4	-4632.420;4776.420	-228.840;234.840	#	5	0	#	#	#	0	0	0	0	0	0	#	#	0	0110100	0.214	0.857	2	28.45	937	32	0.63		16	16
#	2	#	#	#	1	0	#	#	0	0	#	0	1	0	#	#	0	#	0011100	1.000	1.000	4	25.62	936	33	0.47		8	8
6	#	#	-201.600;201.600	#	#	0	#	5	0	#	#	#	0	0	#	#	1	0	1011101	1.000	1.000	2	8.00	938	35	0.47		8	8
5	#	#	#	10	#	0	0	2	#	#	0	0	#	#	0	#	#	0	1001000	1.000	1.000	3	40.05	942	37	0.47		16	16
#	4	-3563.320;3605.320	#	2	#	0	3	2	0	#	#	0	#	#	0	0	#	0	0010100	0.008	0.619	3	48.22	941	38	0.58		16	24
