Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	0.139;0.389	0.512;0.792	0.840;1.160	0.810;1.190	0.634;0.964	-0.125;0.155	0.297;0.717	0.012;0.492	-0.061;0.419	0.257;0.567	0.523;0.789	-0.099;0.201	#	0.619;0.869	#	0.067;0.543	000001	1.000	1.000	1	43.40	49446	117	0.82		30	30
-0.164;0.236	0.305;0.755	0.030;0.360	0.100;0.550	0.373;0.743	0.307;0.787	0.142;0.582	0.465;0.725	#	0.344;0.744	0.320;0.610	#	0.378;0.698	0.650;1.000	0.508;0.978	0.396;0.673	0.471;0.769	000010	1.000	1.000	1	82.36	49476	147	0.88		30	30
#	-0.119;0.341	-0.070;0.210	-0.192;0.042	-0.066;0.224	-0.212;0.278	-0.073;0.337	0.527;0.877	-0.104;0.282	#	-0.172;0.492	0.559;0.844	-0.117;0.213	-0.071;0.229	0.863;0.921	0.498;0.904	#	001000	0.003	0.712	1	6.10	174	174	0.82		0	0
0.286;0.666	-0.079;0.361	-0.022;0.258	0.494;0.884	0.070;0.540	0.284;0.594	0.535;0.875	0.068;0.378	0.476;0.776	-0.091;0.289	#	-0.021;0.293	0.121;0.581	0.218;0.508	0.038;0.388	0.178;0.534	0.335;0.712	000001	1.000	1.000	1	81.07	49515	186	0.94		30	30
0.522;0.902	#	0.611;1.001	0.620;1.060	0.615;1.005	0.468;0.888	0.437;0.847	0.230;0.480	0.288;0.768	0.078;0.538	#	0.293;0.745	0.581;0.831	0.269;0.519	0.274;0.774	0.161;0.458	0.277;0.664	000001	1.000	1.000	2	41.09	49528	199	0.88		30	30
0.800;1.200	0.450;0.860	0.445;0.695	0.501;0.791	0.775;1.225	0.569;0.959	0.775;1.225	0.003;0.273	#	0.579;0.829	#	#	0.373;0.743	0.292;0.652	0.344;0.794	0.225;0.522	0.625;1.051	010000	1.000	1.000	2	28.67	49573	244	0.82		30	30
0.084;0.504	#	0.112;0.372	-0.141;0.349	-0.016;0.264	-0.156;0.264	0.347;0.777	0.277;0.577	#	#	0.138;0.548	#	0.392;0.692	-0.206;0.264	0.156;0.606	0.326;0.623	0.513;0.800	000100	1.000	1.000	1	94.74	49583	254	0.76		30	30
0.318;0.788	0.693;0.983	0.090;0.470	0.198;0.688	0.221;0.631	0.035;0.495	-0.170;0.320	0.470;0.820	0.116;0.526	0.035;0.515	0.711;1.021	0.058;0.383	#	-0.164;0.246	#	0.676;1.151	0.218;0.655	000010	1.000	1.000	1	56.40	49593	264	0.88		30	30
0.109;0.469	-0.099;0.161	0.830;1.170	0.870;1.130	0.825;1.175	0.790;1.210	0.129;0.599	0.625;1.035	-0.102;0.238	0.755;1.245	0.444;0.814	0.022;0.424	-0.171;0.179	0.427;0.917	-0.225;0.225	0.588;0.885	0.192;0.579	010000	1.000	1.000	2	30.46	49637	308	1.00		30	30
#	-0.019;0.351	-0.063;0.234	-0.208;0.269	#	#	#	0.327;0.727	-0.132;0.338	-0.151;-0.151	-0.063;0.257	0.447;0.811	-0.142;0.318	-0.025;0.415	0.326;0.786	0.422;0.887	0.440;0.808	100000	0.003	0.706	1	10.09	309	309	0.76		0	0
